,,,,,,,Annex 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009 ODA Portfolio Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CY 2009 LIST OF ODA GRANTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Figures in US Million Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrantID,Project_Title,Funding_Source,Executing_Agency,Implementing_Agency,Grant_Amount_(Donor's_Currency),Grant_Amount_(US$M),Disbursement_(US$M),Project_Start-Closing_Date,Starting_Date,Closing_Date,Sector,Region,Subregion,Status,Status2,Reporting_Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Local Government Finance and Budget Reform,ADB,DILG,,0.80,0.80,0.62,3/14/08-11/18/09,14-Mar-08,15-Apr-10,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Agusan River Basin,ADB,DENR,,0.97,0.97,0.91,04/28/05-12/31/08,25-Apr-05,28-Feb-09,"Agriculture, Environment and Agrarian Reform",Unspecified,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Local Government and Fiscal Management,ADB,DILG,,1.80,1.80,1.64,11/13/06-03/9/09,13-Nov-06,15-Dec-09,Governance and Institutions Development,Unspecified,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,"Enhancing the Autonomy, Accountability and Efficiency of the Judiciary and Improving the Administration of Justice",ADB,SC,,0.80,0.80,0.67,09/26/06-12/31/08,26-Sep-06,31-Mar-09,Governance and Institutions Development,Nationwide,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Strengthening Regulations and Governance,ADB,DOF,,0.80,0.80,0.53,02/14/07-2/28/10,14-Feb-07,28-Feb-10,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Strengthening Investment Climate and Competitiveness,ADB,NEDA,,0.80,0.80,0.39,3/27/07-2/28/10,27-Mar-07,28-Feb-10,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Enhancing Revenue Collection and Strengthening of the Criminal Prosecution of Tax Evasion Cases,ADB,DOF,,0.50,0.50,0.17,-1/16/0812/31/08,16-Jan-08,30-Dec-09,Governance and Institutions Development,Unspecified,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
