sequence,city,trade_or_business_name,printer_name,registered_address,permanent_accreditation_number,date_of accreditation,email_address,contact_number
RDO 1,"Laoag City, Ilocos Norte",Crown Printers,Daniel M. Gaces,Hernando Ave. Cor Gomburza St. Laoag City,001MP20140000000003,3/7/2014,crown_printers@yahoo.com,(077) 772-0927
RDO 1,"Laoag City, Ilocos Norte",Ilocos Publishing Corporation,Sergio tchalian suatengco,M H del Pilar St. Brgy. 23 Laoag City,001MP20140000000004,3/11/2014,ilocostimes@yahoo.com,(077) 771-1378
RDO 1,"Laoag City, Ilocos Norte",Laoag A B C Copy Center and Printing Press,Richard C. Ruiz,#22 Gen Segundo Ave. Brgy. 13 Laoag City,001MP20140000000002,1/21/2014,abcprinting.ruiz@yahoo.com,"772-0231/0917/(077)550-6293"
RDO 1,"Laoag City, Ilocos Norte",Princean Printers,Emerlyn S. Andres,Primo Lazaro Ave. Cor Flor St. Brgy. 2 Laoag City,001MP20140000000001,1/21/2014,fidel.andres@yahoo.com,"773-2702/0920/(077)804-7797"
RDO 1,"Laoag City, Ilocos Norte",Suburban Printers,Melanie Esther Orille Bartolome,Gen Luna St. Brgy. 25 Laoag City,001MP20140000000005,3/12/2014,spp-genluna@yahoo.com,(077) 770-4395
RDO 2,"Vigan City, Ilocos Sur",5 V'S Printing Shop,"Verzosa, Rodolfo Torres","Del Pila St. Vigan City, Ilocos Sur",002MP20140000000002,2/20/2014,5vsprintingshop@yahoo.com,0906-1234323
RDO 2,"Vigan City, Ilocos Sur",Aldel Printing Press,Victorio Alcantara II,"Gov A Reyes St. Vigan City, Ilocos Sur",002MP20130000000002,12/26/2013,vicalcantara@yahoo.com,(077) 722-2051
RDO 2,"Vigan City, Ilocos Sur",Imprenta Neuava Segovia,Imprenta Neuava Segovia,"Archbishop Place, Vigan City,Ilocos Sur",002MP20130000000003,12/26/2013,imprenta_nuevasegovia@yahoo.com,(077) 722-2018
RDO 2,"Vigan City, Ilocos Sur",Lascota Orinting Press,Rodolfo B. Lascota,"Del Pilar agudin, Ilocos Sur",002MP20130000000004,12/26/2013,rblascota65@gmail.com,0927-5570707
RDO 2,"Vigan City, Ilocos Sur",Unibelt Printing Press,Joven Gerardo Fama,"Tamag, Vigan City, Ilocos Sur",002MP20140000000001,1/28/2014,gjoven66@yahoo.com,0933-5035795
RDO 2,"Vigan City, Ilocos Sur",Vigan Printing Press,Rizal R. Lapira,"Burgos St. Vigan City, Ilocos Sur",002MP20130000000001,12/26/2013,viganprintingpress@yahoo.com,(077) 722-2387
RDO 3,"San Fernando, La Union",Agoo Printing Press,Jesus Tongson Panay,"San Nicolas Sur, Agoo, La Union",003MP20130000000002,12/19/2013,es_panay@yahoo.com,(072) 710-0455
RDO 3,"San Fernando, La Union",Co Ubando Printing Press,Jonathan Ubando Oviedo,"P. Burgos St. San Fernando City, La Union",003MP20130000000007,12/19/2013,oviedojonathan@yahoo.com,0921-6940400
RDO 3,"San Fernando, La Union",Ehson Publishing,Feliciano Hufana Sison,"San Agustin East, Agoo, La Union",003MP20130000000005,12/19/2013,ehsonpublishing@yahoo.com,0919-4539673
RDO 3,"San Fernando, La Union",EU Ortega Printing Press,Evaristo Ubaldo Ortega,"093 Ortega Highway, Brgy. I,San Fernando City,La Union",003MP20130000000001,12/19/2013,ortegaprinting@yahoo.com,(072) 242-3092
RDO 3,"San Fernando, La Union",Hannah Safia Press and Office Supplies,Maricel Castro Corpuz,"Central West, Bauang, La Union",003MP20130000000004,12/19/2013,cel_ortsac@yahoo.com,0906-2845832
RDO 3,"San Fernando, La Union",Jeth Printing Press,Ernesto Ibasan Ubando Sr.,"San Agustin East, Agoo, La Union",003MP20130000000006,12/19/2013,jeth.printingpress@yahoo.com,0906-3524008
RDO 3,"San Fernando, La Union",Malayan Printery,Benjamin Opinaldo Dyquiangco,"Casuga St. Brgy. I, San Fernando City, La Union",003MP20130000000008,12/19/2013,lumalayanprintery@yahoo.com,(072) 700-0616
