region,province_or_city_or_municipality,date_of_conviction,number_of_conviction,number_of_persons_convicted,acts_commited,number_of_years_of_imprisonment,amount_of_fines,,
Region 4,Batangas City,"November 9, 2005",1,1,Use of Trafficked Persons (Sec. 11),6-months of community service,-,,
Region 5,Batangas City,"November14, 2005",1,1,Use of Trafficked Persons (Sec. 11),6-months of community service,-,,
Region 9,Zamboanga City,"November 29, 2005",1,2,Qualified Trafficking,Life imprisonment,P 2 Million (TIP) and P 500000 (IR) fine,,
National Capital Region,Quezon city,"December 8, 2005",4,2,Qualified Trafficking,4 - Life imprisonment,P 8 Million,,
Region 9,Zamboanga City,"March 27, 2008",1,1,Qualified Trafficking,Life imprisonment,P 5 Million,,
Region 7,Cebu City,"July 20, 2008",1,2,Qualified Trafficking,Life imprisonment,P 3 Million each,,
Region 11,Davao City,"July 27, 2008",1,1,Qualified Trafficking,Life imprisonment,P 2 Million,,
Region 4,Batangas City,"March 10, 2009",1,1,Qualified Trafficking,Life imprisonment,P 2 Million,,
Region 10,Iligan City,"August 7, 2008",3,1,3 counts of Qualified Trafficking,3 counts of Life Imprisonment,P 2 Million each,,
Region 9,Zamboanga City,"October 10, 2009",1,1,"Trafficking in persons, Sec. 4(a) ",20-years of imprisonment,P 1 Million (TIP) and P 500000 (IR) fine,,
National Capital Region,Paranaque City,"November 27, 2009",1,2,Trafficking in Persons,20-years of imprisonment,P 1 Million each,,
National Capital Region,Quezon City,"January 16, 2009",1,1,Trafficking in Persons,20 years,P 1 Million,,
Region 7,Cebu City,"March 9, 2010",1,1,Qualified Trafficking,Life imprisonment,P 3 Million ,,
National Capital Region,Manila,"August 6, 2010",1,2,Qualified Trafficking,Life imprisonment,P 2 Million each ,,
Region 1,Laoag City,"August 6, 2010",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
National Capital Region,Manila,"October 29, 2010",3,1,"Trafficking in persons, Sec. 5",Three 10 - 12 years of imprisonment ,-,,
National Capital Region,Pasay City,"November 17, 2010",1,1,Acts the promote trafficking (Sec.5),16 years of imprisonment,P 500000,,
