quarter,particulars_1,particulars_2,costs,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),"Kernmantel Rope, Carabiner, Tactical Belt",311100,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),Rescue 8,37500,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),CPR Dummies,75000,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),"Flat Web, Rescue Swivel, Rappeling Gloves, Anchor Plate, Terrain Protector",189583,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),Camper's Tent,203000,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),Scoop Stretcher,20000,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),Throwing Buoy,28500,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),"Carabiner ""D"" and Rescue 8",96000,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),Trailer and Stand for Rubber Boat and Outboard Motor,48200,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),Chain Saws and Tree Saw,267000,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),Canopy Tents,24000,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),Brand New Fire Extinguishers,25948,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),Portable and Base Radio,131300,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),Deskcop Computers,82000,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),100 pcs. Camper's Mat,75000,,,,,,,,
q1-q4,Capital Outlay(Vigilance /WASSAR),Total,1614131,,,,,,,,
q1,Other Supplies,14 units fireextinguishers refill,16800,,,,,,,,
q1,Other Supplies,24 pcs uniforms(long sleeves and pants),34800,,,,,,,,
q1,Other Supplies,7 units fireextinguishers refill,8400,,,,,,,,
q1,Other Supplies,batteries,456,,,,,,,,
q1,Other Supplies,7 units fireextinguishers refill,6000,,,,,,,,
q1,Other Supplies,7 units fireextinguishers refill,6000,,,,,,,,
