particulars,amount
Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - Traveling Expenses,14885
Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - Meetings or Seminars or Training,374692
Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - Office Supplies,8472.3
Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - Medical Supplies,103505
Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - Fuel or Oil or Lubricant,60170.11
Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - Telephone (Landline or Cellular) ,0
Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - Photocopying,2646
Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - General Services,639737.12
Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - Repair and Maintenance - Office Equipment,0
Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - Repair and Maintenance - Rescue Equipment,0
Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - Repair and Maintenance - Furnitures and Fixtures,0
Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - Repair and Maintenance - IT Equipment and Software,0
Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - Repair and Maintenance - Motor Vehicles,24890
Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - Repair and Maintenance - Motor Vehicles (Spare Parts),54275
"Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - Repair and Maintenance - Motor Vehicles (Tire, Batteries and Accessories)",12467
Less: Disbursements - Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses - Insurance,0
Less: Disbursements - Pre-Disaster Preparedness Programs - Capital Outlay - Building Outlay,0
Less: Disbursements - Pre-Disaster Preparedness Programs - Capital Outlay - Equipment Outlay,307500
Less: Disbursements - Pre-Disaster Preparedness Programs - Capital Outlay - Various Capital Outlay (Lumpsum Appropriation),0
Less: Disbursements - Pre-Disaster Preparedness Programs - Capital Outlay - Flood Control Program,0
Less: Disbursements - Pre-Disaster Preparedness Programs - Capital Outlay - Evacuation Area Improvement,0
Less: Disbursements - Post Disaster Programs,0
Less: Disbursements - Payment of Premiums on Calamity Insurance,0
Balance,40831673.32
