particulars,amount
Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - Traveling Expenses,39520.5
Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - Meetings or Seminars or Trainings Expenses,409221.2
Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - Office Supplies Expenses,97648.56
Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - Medical Supplies Expenses,88797.42
"Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - Fuels, Oils and Lubricants",138981.7
Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - Photocopying Expenses,7261.5
Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - General Services,1068487.12
Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - Repair and Maintenance - Motor Vehicles (Spare Parts),22461
"Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - Repair and Maintenance - Motor Vehicles (Tires, Batteries and Accessories)",29424
Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - Contingency,125425.6
Less: Disbursements - Pre-Disaster Preparedness Programs - Capital Outlay - Office Equipment,199631
Less: Disbursements - Pre-Disaster Preparedness Programs - Capital Outlay - Communication Equipment,198600
Less: Disbursements - Post - Disaster Programs,184148.8
Less: Disbursements - Payment of Premiums on Calamity Insurance,200000
Balance,54805657.33
