particulars,amount
Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - Traveling Expenses,10185
Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - Training Expenses,164490
Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - Office Supplies Expense,8349.8
Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - General Services,723127.12
"Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - Gasoline, Oil and Lubricants",67515.85
Less: Disbursements - Pre-Disaster Preparedness Programs - Maintenance and Other Operating Expenses - Other MOOE,94371.5
Less: Disbursements - Pre-Disaster Preparedness Programs - Capital Outlay - 1 Unit Projector,44920
Less: Disbursements - Post Disaster Programs,-
Less: Disbursements - Payment of Premiums on Calamity Insurance,-
Balance,56164725.03
