Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Sector,Region,1QA,2QA,3QA,4QA,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Disbursement_Rate,Cumulative_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulative_Cancellation,Disbursement_Ratio,Loan_Signing_Date,Loan_Closing_Date,Revised_Closing_Date,Loan_Effectivity_Date,Length_In_Years,Age_In_Years,Delay_In_Years,Time_Elapsed,Utilization_Rate,Balance,TE-UR,Loan_Status
1224P,Second Cordillera Highland Agricultural Resource Management Project,OFID,Project,DA,"Agriculture, Natural Resources and Agrarian Reform","Abra,Apayao,Benguet,Ifugao,Kalinga,Mt. Province",0.00,0.00,0.00,0.00,0.00,0.00,1.42,0.00,0.00,1.42,0.00,0.00,0.00,0.00,0,10.00,10.00,0.00%,0.00,6.40,10.00,10.00,0.00%,6.40,0,0.00%,12/17/08,7/31/13,7/31/14,2/4/09,5.49,3.91,-1.58,71.19%,0.00%,10.00,71.19%,Ongoing
1225P,Agrarian Reform Communities Project II,OFID,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform","II,III,IVA,IVB,V,VII,IX,X,XI",0.00,0.00,0.00,0.00,0.00,3.32,12.24,17.45,0.00,33.01,0.00,0.00,0.00,0.00,0,30.00,30.00,0.00%,0.00,26.70,30.00,30.00,0.00%,26.70,0,0.00%,12/17/08,12/31/13,,3/4/09,4.83,3.83,-1.00,79.30%,0.00%,30.00,79.30%,Ongoing
1446P,Road Improvement and Institutional Development Project,OFID,Project,DPWH,Infrastructure,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,30.00,30.00,0.00%,0.00,0.30,30.00,30.00,0.00%,0.30,0,0.00%,7/20/12,6/30/17,,9/17/12,4.79,0.29,-4.50,6.01%,0.00%,30.00,6.01%,Ongoing
1772-PHI,Infrastructure for Rural Productivity  Enhancement Sector,ADB,Project,DA,"Agriculture, Natural Resources and Agrarian Reform","IV, V, VIII, IX, X, XI, XII, XIII, ARMM",0.00,0.20,1.38,0.00,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,10.38,10.38,0.00%,58.41,58.41,75.00,58.41,100.00%,0.00,16.589,15.18%,10/22/01,6/30/08,8/16/12,2/4/02,10.54,10.91,0.38,103.56%,100.00%,0.00,3.56%,Closed
200665240,Provincial Towns Water Supply Programme III,Germany,Project,LWUA,Infrastructure,,0.00,0.00,0.00,0.85,0.85,0.15,0.15,0.84,1.30,2.44,0.00,0.00,0.00,0.00,0,14.04,14.04,34.84%,1.11,10.97,13.23,13.23,10.12%,9.86,0,6.05%,6/30/09,12/31/13,,3/28/11,2.76,1.76,-1.00,63.83%,8.39%,12.12,55.44%,Ongoing
200765172,Local Government Unit Investment Programme II,Germany,Project,LBP,Infrastructure,,0.00,4.81,0.00,0.87,5.68,2.98,2.98,0.00,0.00,5.96,0.00,0.00,0.00,0.00,0,5.95,5.95,95.30%,8.99,9.07,9.07,9.07,99.12%,0.08,0,95.46%,4/7/10,12/31/10,6/20/12,10/18/10,1.67,2.21,0.53,131.75%,99.12%,0.08,32.63%,Closed
2137-PHI,Health Sector Development Project,ADB,Project,DOH,Social Reform and Community Development,"I, II, IV",0.37,0.13,0.17,0.39,1.06,1.11,1.10,1.10,0.00,3.31,0.00,0.00,0.00,0.00,0,2.59,2.59,31.93%,11.47,13.00,13.00,13.00,88.21%,1.53,0,40.75%,1/10/05,12/31/11,5/16/13,1/12/05,8.35,7.97,-0.37,95.54%,88.21%,1.53,7.33%,Ongoing
2311-PHI,Integrated Coastal Resources Management Project,ADB,Project,DENR,"Agriculture, Natural Resources and Agrarian Reform","II,III,  V, VII, XI",0.54,0.19,1.14,2.64,4.51,2.44,2.43,3.07,1.27,9.21,0.00,0.00,0.00,0.00,0,25.39,25.39,48.97%,12.92,30.42,33.80,33.80,42.47%,17.50,0,17.76%,3/28/07,6/30/13,6/30/14,6/29/07,7.01,5.51,-1.50,78.66%,38.22%,20.88,40.44%,Ongoing
2465-PHI,Agrarian Reform Communities Project II,ADB,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform","I,II,IV-A,VII,IX,X,XI",0.00,0.07,0.00,0.51,0.57,2.32,8.62,19.50,17.11,47.54,0.00,0.00,0.00,0.00,0,64.37,64.37,1.20%,6.21,41.30,70.00,70.00,15.02%,35.10,0,0.89%,12/8/08,6/30/15,,3/4/09,6.33,3.83,-2.50,60.55%,8.86%,63.80,51.69%,Ongoing
2507-PHI,Philippine Energy Efficiency Project,ADB,Project,DOE,Infrastructure,,1.36,0.37,0.10,0.83,2.66,0.34,6.93,6.93,7.27,21.47,0.00,0.00,0.00,0.00,0,26.26,26.26,12.39%,7.50,23.60,31.10,31.10,31.80%,16.09,0,10.13%,3/2/09,10/31/11,12/31/13,5/28/09,4.60,3.60,-1.00,78.25%,24.13%,23.60,54.12%,Ongoing
