particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,"from_other_lgu",from_other _sources,total
Sources of Funds,Current Appropriations,14608773.09,34087137.21,-,-,-,-
Sources of Funds,Continuing Aprropriations,-,-,-,-,-,-
Sources of Funds,"Previous Year Appropriation transferred to Special Trust Fund",-,14663469.74,-,-,-,-
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,14608773.09,48750606.95,-,-,-,-
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,7994815.4,7979365.4,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,-,-,-,-,-
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Utilization,Transfers to other LGUs or NGAs,-,2500000,-,-,-,-
Utilization,Other Purposes,-,12899288.83,-,-,-,-
Utilization,Total Utilization,7994815.4,23378654.23,-,-,-,-
Utilization,Unutilized Balance,6613957.69,25371952.72,-,-,-,-
