particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"9,474,407","3,796,854","23,006,286","691,630","46,531,405","15,704,533","366,226","83,534,931","10,187,686","12,658,872","1,481,283","1,329,034","1,856,434","9,969,209","22,474,787","1,681,526","802,269","1,744,121","13,358","262,022","5,232,299","57,157","56,575","218,695","253,131,599"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"929,955","134,082","68,988","4,879","215,158","202,723",0,"3,642","151,015","15,606","188,989",0,"9,307",0,"2,680,985","40,503","5,566","100,148","6,000","14,930",1,"5,653",0,0,"4,778,130"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"308,694","25,679","9,246",494,"70,059","172,098",0,0,"56,923","8,506","77,663",0,"1,955",0,"548,487","3,292","1,216","78,776",0,"11,003",0,"1,947",0,0,"1,376,038"
               Senate Electoral Tribunal,"1,000","1,500",550,200,"2,500","4,400",0,0,"3,000",300,"3,706",0,200,0,"17,177",200,0,750,0,0,0,0,0,0,"35,483"
          Commission on Appointments,"1,450","4,888","2,912",0,"11,291","22,125",0,0,"1,500","1,500","9,708",0,"1,000",0,"220,376","1,250","1,250","14,602",0,500,1,1,0,0,"294,354"
          House of Representatives,"618,267","100,279","55,000",185,"123,230",200,0,"3,642","85,009","5,000","95,000",0,"5,169",0,"1,886,965","33,511","3,000","5,620",0,"3,277",0,"3,705",0,0,"3,027,059"
               House Electoral Tribunal,544,"1,736","1,280","4,000","8,078","3,900",0,0,"4,583",300,"2,912",0,983,0,"7,980","2,250",100,400,"6,000",150,0,0,0,0,"45,196"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"344,191","34,647","290,265","1,933","151,147","22,001",0,200,"122,242","80,500","16,112","600,000","55,324",0,"255,411","5,010","8,000","63,502","1,000","2,246",0,"3,500",0,12,"2,057,243"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"344,191","34,647","290,265","1,933","151,147","22,001",0,200,"122,242","80,500","16,112","600,000","55,324",0,"255,411","5,010","8,000","63,502","1,000","2,246",0,"3,500",0,12,"2,057,243"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"16,520","4,853","2,925",0,"5,878","10,905",0,"184,000","2,620",450,454,0,385,0,"13,451",0,0,"14,150",0,280,0,0,0,0,"256,871"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"954,559","226,044","305,132","85,830","985,860","227,961",0,"3,129,613","173,691","1,022,544","5,868",0,"426,720",0,"989,643","59,199","65,609","53,370",0,"17,623","1,188,571","5,657",0,0,"9,923,494"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"954,559","226,044","305,132","85,830","985,860","227,961",0,"3,129,613","173,691","1,022,544","5,868",0,"426,720",0,"989,643","59,199","65,609","53,370",0,"17,623","1,188,571","5,657",0,0,"9,923,494"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"782,704","180,031","468,616","19,353","2,829,354","146,914",4,"5,153,524","258,602","1,303,239","31,392",0,"120,952",0,"1,934,137","63,127","85,592","128,775",310,"8,184","14,132","2,927","3,277","3,835","13,538,981"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"580,283","128,973","273,166","12,827","2,146,113","93,142",4,"5,015,353","162,375","1,107,404","27,847",0,"42,647",0,"1,425,388","44,068","76,459","120,948",290,"4,896","14,087","2,051","1,707","3,471","11,283,499"
          Agricultural Credit Policy Council,600,800,410,0,700,"2,179",0,0,"1,361",250,110,0,69,0,"1,800",100,5,300,0,80,0,0,0,0,"8,764"
          Bureau of Fisheries and Aquatic Resources,"147,616","34,656","167,905","4,851","600,173","36,677",0,"88,000","56,578","146,704","1,607",0,"70,542",0,"366,984","10,638","7,117","4,106",10,"1,647",0,171,"1,170",0,"1,747,152"
          Cotton Development Administration,"1,250",450,"1,000",30,"2,100",160,0,0,430,90,209,0,151,0,"2,385",125,0,210,0,50,0,30,0,0,"8,670"
          Fertilizer and Pesticide Authority,"3,996","1,520","2,005",10,"4,086",300,0,0,"3,937",352,110,0,686,0,"5,817",230,20,230,0,41,0,0,0,0,"23,340"
          Fiber Industry Development Authority,"11,076","2,611","1,674",512,"11,930","9,072",0,0,"5,777","2,443",768,0,697,0,"16,326","1,450",263,862,0,143,0,130,0,0,"65,734"
          Livestock Development Council,"1,450",662,300,0,"1,482",0,0,0,475,400,190,0,200,0,"1,790",316,130,"1,215",0,70,0,120,0,0,"8,800"
          National Agricultural and Fishery Council,"8,142","2,000","1,350",0,"5,184",50,0,"14,095","3,900",891,162,0,"1,042",0,"4,988",0,139,110,0,100,0,50,0,364,"42,567"
          National Meat Inspection Service,"8,300","2,169","4,650",50,"8,100",450,0,"36,000","7,070","6,300",150,0,580,0,"17,765","2,700",123,0,0,179,0,0,0,0,"94,586"
          Philippine Carabao Center,"9,676","4,456","14,193",955,"36,476","4,140",0,76,"12,999","33,766",129,0,"3,466",0,"76,753","1,477","1,191",292,0,930,0,255,400,0,"201,630"
          Philippine Center for Postharvest Development,,,,,,,,,,,,,,,,,,,,,,,,,
                and Mechanization,"10,315","1,734","1,963",118,"13,010",744,0,0,"3,700","4,639",110,0,872,0,"14,141","2,023",145,502,10,48,45,120,0,0,"54,239"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"18,651","17,019","12,117",0,"37,475","7,834",13,0,"43,885","12,255","5,156",0,"4,363",0,"214,158","15,721","3,160","22,282",0,795,0,15,0,0,"414,899"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"18,467","16,563","12,020",0,"36,864","6,664",13,0,"43,365","9,539","5,046",0,"4,309",0,"212,920","15,700","2,400","21,875",0,760,0,15,0,0,"406,520"
          Government Procurement Policy Board -,,,,,,,,,,,,,,,,,,,,,,,,,
                Technical Support Office,184,456,97,0,611,"1,170",0,0,520,"2,716",110,0,54,0,"1,238",21,760,407,0,35,0,0,0,0,"8,379"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"1,024,970","684,854","1,580,041","50,837","6,732,873","42,409",0,"11,226,195","1,345,105","2,665,703","14,716",0,"60,084",0,"424,365","403,877","42,432","52,326",0,"30,073",0,20,"9,356",0,"26,390,236"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,018,662","682,190","1,566,476","50,783","6,712,244","40,437",0,"11,226,195","1,311,979","2,661,945","14,348",0,"59,127",0,"379,934","401,103","41,872","50,808",0,"29,970",0,0,"9,256",0,"26,257,329"
          National Book Development Board,280,473,315,0,812,"1,759",0,0,793,300,110,0,80,0,"3,542","1,620",165,"1,250",0,33,0,5,0,0,"11,537"
          National Council for Children's Television,40,199,0,49,49,0,0,0,0,"1,661",38,0,30,0,"1,413",440,240,105,0,20,0,0,100,0,"4,384"
          National Museum,"4,500","1,600","6,200",0,"5,961",0,0,0,"28,095",150,110,0,235,0,"23,620",476,100,75,0,0,0,0,0,0,"71,122"
