particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"7,282,357","2,785,456","15,908,691","1,986,284","38,604,879","9,702,605","234,309","29,853,601","7,939,153","8,597,618","2,956,711","1,835,491","11,298,519","264,052","25,694,719","1,091,465","792,040","1,390,565","1,812","188,044","792,457","60,552","53,690","94,310","169,409,380"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"837,090","113,559","55,342",267,"155,500","151,159","27,171","2,700","114,565","16,554","167,457",0,"6,743",0,"2,958,777","19,093","4,520","93,849",0,"25,516",0,"8,972",0,0,"4,758,834"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"216,715","13,215","3,120",8,"33,198","127,035",0,0,"44,647","1,691","71,688",0,"1,167",0,"775,344","3,623","1,497","76,101",0,"22,066",0,785,0,0,"1,391,900"
               Senate Electoral Tribunal,"1,429","1,473","5,679",74,"5,276","1,472",0,0,"2,304",516,"3,384",0,116,0,"40,629",0,0,380,0,189,0,0,0,0,"62,921"
          Commission on Appointments,647,"1,917",806,0,"4,524","21,103",0,0,757,99,"8,572",0,375,0,"190,898",257,0,"11,231",0,150,0,"4,482",0,0,"245,818"
          House of Representatives,"618,102","96,060","45,555",185,"111,413",0,0,"2,700","63,800","13,796","81,196",0,"4,905",0,"1,947,997","15,213","3,000","5,620",0,"3,085",0,"3,705",0,0,"3,016,332"
               House Electoral Tribunal,197,894,182,0,"1,089","1,549","27,171",0,"3,057",452,"2,617",0,180,0,"3,909",0,23,517,0,26,0,0,0,0,"41,863"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"252,233","32,321","174,419",179,"109,173","53,834",0,58,"114,189","21,011","10,207","652,700","22,504",0,"322,860","5,763","1,910","58,274",0,"1,853",0,"2,986",0,0,"1,836,474"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"252,233","32,321","174,419",179,"109,173","53,834",0,58,"114,189","21,011","10,207","652,700","22,504",0,"322,860","5,763","1,910","58,274",0,"1,853",0,"2,986",0,0,"1,836,474"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"8,122","2,777","2,488",0,"5,725","7,557",0,"73,185",997,858,390,"3,000",248,0,"15,909",0,0,"16,908",0,271,0,0,0,0,"138,435"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"381,590","68,090","127,971","3,623","314,355","142,039","8,843","614,794","100,749","218,523","8,186",0,"368,926",0,"1,046,764","22,185","42,796","39,270",60,"2,150","331,540",96,39,0,"3,842,589"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"381,590","68,090","127,971","3,623","314,355","142,039","8,843","614,794","100,749","218,523","8,186",0,"368,926",0,"1,046,764","22,185","42,796","39,270",60,"2,150","331,540",96,39,0,"3,842,589"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"591,100","143,826","274,954","17,453","3,461,156","120,474",0,"2,610,630","236,526","591,438","7,672",0,"85,619",0,"2,310,261","31,161","18,470","35,406",230,"5,358",89,"7,233","1,244",26,"10,550,326"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"341,285","96,449","181,660","10,799","2,850,069","75,711",0,"2,490,217","141,363","437,713","4,503",0,"37,225",0,"1,650,085","19,301","12,470","27,667",0,"3,715",89,"5,932","1,158",26,"8,387,437"
          Agricultural Credit Policy Council,589,797,425,0,741,"1,277",0,0,"1,361",251,110,0,59,0,"1,192",101,2,490,0,76,0,0,0,0,"7,471"
          Bureau of Fisheries and Aquatic Resources,"163,899","26,904","57,026","1,867","440,419","29,450",0,0,"60,880","121,829","1,647",0,"16,137",0,"529,501","5,900","3,044","3,378",0,868,0,984,86,0,"1,463,819"
          Cotton Development Administration,557,499,358,20,"1,206",83,0,0,474,94,190,0,145,0,"1,933",75,0,261,0,17,0,20,0,0,"5,932"
          Fertilizer and Pesticide Authority,"2,563","1,064",866,8,"6,889",233,0,0,"3,000",314,95,0,294,0,"5,873",271,5,229,0,40,0,0,0,0,"21,744"
          Fiber Industry Development Authority,"14,001","2,131","1,806",421,"11,905","8,874",0,0,"4,685","1,964",768,0,690,0,"16,758",584,989,"1,638",0,69,0,87,0,0,"67,370"
          Livestock Development Council,"1,049",295,253,0,"2,208",0,0,0,684,96,108,0,176,0,"2,941",0,295,169,0,28,0,8,0,0,"8,310"
          National Agricultural and Fishery Council,"40,327","6,238",627,0,"59,144",1,0,"108,001","3,081","15,530",0,0,"24,085",0,"28,547",174,54,284,0,20,0,10,0,0,"286,123"
          National Meat Inspection Service,"8,594","2,906","4,975",50,"7,438",420,0,0,"7,545","6,960",150,0,400,0,"20,615","1,720",50,0,30,180,0,0,0,0,"62,033"
          Philippine Carabao Center,"9,765","4,933","20,417","4,270","66,592","4,149",0,0,"9,567","5,080",15,0,"5,572",0,"39,142","1,971",869,647,200,270,0,116,0,0,"173,575"
          Philippine Center for Postharvest Development,,,,,,,,,,,,,,,,,,,,,,,,,
                and Mechanization,"8,471","1,610","6,541",18,"14,545",276,0,"12,412","3,886","1,607",86,0,836,0,"13,674","1,064",692,643,0,75,0,76,0,0,"66,512"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"11,505","9,601","7,873",39,"30,885","5,234",46,"40,399","29,408","7,664","4,559",0,"1,973",0,"87,470","10,143",517,"13,506",0,584,0,28,0,0,"261,434"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"11,505","9,601","7,873",39,"30,885","5,234",46,"40,399","29,408","7,664","4,559",0,"1,973",0,"87,470","10,143",517,"13,506",0,584,0,28,0,0,"261,434"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"852,722","399,449","1,407,455","27,639","3,854,208","22,483","1,871","5,657,347","780,347","1,738,928","15,271",0,"50,318",0,"2,965,594","352,149","5,467","22,918",62,"19,307",30,640,"1,877","1,045","18,177,127"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"847,217","397,118","1,398,283","27,601","3,837,656","20,645","1,871","5,657,347","751,672","1,731,488","15,068",0,"49,671",0,"2,926,501","350,346","5,034","20,922",62,"19,101",30,622,"1,877","1,044","18,061,176"
          National Book Development Board,392,726,177,0,587,"1,629",0,0,480,198,110,0,86,0,"4,160","1,178",134,"1,611",0,24,0,5,0,0,"11,497"
          National Council for Children's Television,827,195,0,38,269,0,0,0,4,"5,659",0,0,12,0,"1,112",102,267,14,0,102,0,0,0,0,"8,601"
          National Museum,"2,948","1,026","2,656",0,"5,961",18,0,0,"25,631",41,83,0,223,0,"23,620",280,0,297,0,20,0,0,0,1,"62,805"
          Philippine High School for the Arts,"1,338",384,"6,339",0,"9,735",191,0,0,"2,560","1,542",10,0,326,0,"10,201",243,32,74,0,60,0,13,0,0,"33,048"
,,,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"147,762","84,119","218,464","11,373","843,328","11,483","26,923","127,674","755,087","400,098","90,535",0,"40,564",0,"650,706","16,769","4,297","40,758",6,"10,990",548,"11,189","5,699",747,"3,499,119"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          NATIONAL CAPITAL REGION,"19,089","29,226","31,138",449,"336,733","4,974","26,776","80,321","365,191","70,322","45,562",0,"12,010",0,"172,094","6,194",803,"10,079",0,"2,469",0,879,0,0,"1,214,309"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,620,"1,033","1,410",0,"8,169",0,0,0,"10,047","1,859",135,0,246,0,355,134,74,0,0,70,0,75,0,0,"24,227"
               Marikina Polytechnic College,46,210,"1,066",0,"1,025",0,0,0,"3,645",76,110,0,40,0,97,6,51,67,0,0,0,21,0,0,"6,460"
               Philippine Normal University,796,"2,414","1,235",0,"7,598",58,0,0,"14,771","4,896",87,0,"1,821",0,"17,149",22,67,0,0,163,0,159,0,0,"51,236"
