project_title,location,date_issue,appropriation,caf,aro_number,released,remarks
Streets and Parks Lighting Project,-,1/31/2012,6972375,-,191,6972375,Implemented 100%
Concreting of Road at Pagalungan Proper Completion,Pagalungan,-,1200000,CAF,276,179847.2,-
Concreting of Road at Pagalungan Proper Completion,Pagalungan,-,-,-,315,593037.77,-
Concreting of Road at Pagalungan Proper Completion,Pagalungan,-,-,-,379,426096.36,Completed 6-4-2012
Concrete Paving of Camaman-an Indahag Road (Sitio Paglaum Section),Camaman-an,-,3050561,CAF,340,2675769.57,Substantially Completed
Concrete Paving of Molave St. from Sampaloc St. to Water District (completion),Bugo,-,1729200,CAF  4/10,390,1509790.73,on-going 90%
Proposed Drainage  System from Entrance of Capistrano Complex to Guusa Creek,Gusa,-,1302000,CAF 3/13,510,1170193.08,on-going 89.95%
Widening and Concrete Paving of Agusan- Balubal Road,-,-,3666667,-,238,3666667,completed- Tax Credit
Construction of Pedestrian Bridge Across Calacapan Creek ,Indahag,-,893900,CAF 3/12,322,450807,completed
Construction of Pedestrian Bridge Across Calacapan Creek ,Indahag,-,-,-,373,409840.69,6/26/2012
Proposed Bleacher with Roofing and Complete Electrical Lights,Tablon,-,5339350,CAF 3/12,356,773593.29,-
Proposed Bleacher with Roofing and Complete Electrical Lights,Tablon,-,-,-,517,1833470.07,-
Proposed Bleacher with Roofing and Complete Electrical Lights,Tablon,-,-,-,710,2124349.04,90.28%- Ongoing
Concrete Paving with Drainage along R Borja from  Velez St. to Capistrano St. (Gap Portion),B-11,-,3025950,CAF 3/30,355,438361.13,-
Concrete Paving with Drainage along R Borja from  Velez St. to Capistrano St. (Gap Portion),B-11,-,-,-,462,2229930.9,on-going 89.77%
Concreting of Road at Sambaan Village (Line II and Line IV) Zone II,Patag,-,1800000,CAF 7/12,552,1615846.34,on-going 89.84%
Asphalting of the Landfill-SM Road,-,-,2500000,CAF 3/30,244,2500000,completed- Tax Credit
Concrete Paving of St. Ignatius St. and Extension with Drainage,Kauswagan,-,3839450,-,574,3126579.75,on-going 84.36%
Concrete Paving of Capistrano St. (Gap Portion) between J.R. Bora and Yacapin Sts.,B-10,-,800800,CAF 4/10,328,798377.37,completed- 6-21-2012
Construction of Drainage System along Capitol Subd. Road,B-24,-,551741,CAF 4/30,320,82634.41,-
Construction of Drainage System along Capitol Subd. Road,B-24,-,-,-,380,196257.77,-
Construction of Drainage System along Capitol Subd. Road,B-24,-,-,-,502,222647.59,on-going 89.46%
Improvement of Stage at Lumbia Covered Court,Lumbia,4/18/2012,516600,CAF 5/3,485,513394.74,completed- 7/17/2012
Concrete Paving of Shoulder along Yacapin St. Roxas at Quirino St. and J.R. Borja St. with Drainage,B-34,4/23/2012,1243000,CAF 4/30,389,179519.72,-
Concrete Paving of Shoulder along Yacapin St. Roxas at Quirino St. and J.R. Borja St. with Drainage,B-34,-,-,-,458,868959.2,-
Concrete Paving of Shoulder along Yacapin St. Roxas at Quirino St. and J.R. Borja St. with Drainage,B-34,-,-,-,497,148319.18,completed- 8/9/2012
Construction of Multi-Purpose Gymnasium (continuing),Agusan,-,1244500,CAF 5/2,354,181617.53,-
Construction of Multi-Purpose Gymnasium (continuing),Agusan,-,-,-,387,777899.77,-
Construction of Multi-Purpose Gymnasium (continuing),Agusan,-,-,-,499,251266.22,-
Construction of 3 Storey M.P Bldg (2nd and 3rd floor),B-30,-,1566800,CAF 5/14,386,232130.96,-
Construction of 3 Storey M.P Bldg (2nd and 3rd floor),B-30,-,-,-,459,526558.14,-
Construction of 3 Storey M.P Bldg (2nd and 3rd floor),B-30,-,-,-,520,442311.86,-
Construction of 3 Storey M.P Bldg (2nd and 3rd floor),B-30,-,-,-,714,346538.79,completed- 12/05/12
Construction of Drainage System at Zone 2 (IMPOG),Agusan,-,500000,CAF 5/14,599,74835.78,-
Construction of Drainage System at Zone 2 (IMPOG),Agusan,-,-,-,620,378811.48,on-going 89.33%
Concrete Paving of Iponan- Bakingon San Simon Roads (Bakingon Section),Baikingon,-,3000000,CAF 5/17/2012,551,2608304.28,on-going 90.03%
Raising up of Pathway and Drainage System at Zone 1 and 5,Brgy. 26,-,2555450,CAF 6/11,496,369858.8,-
Raising up of Pathway and Drainage System at Zone 1 and 5,Brgy. 26,-,-,-,516,938121.67,-
