pariculars,reference,amount
"Payment of the remaining balance  to B. Vicencion construction for 51% work accomplishment in connection with the Piloting of Cagbayang-Caybago-Cag-anahaw Road, Calbayog City",JEV-2012-01-000112 Ck#549144,1000000
"Payment of the remaining balance to RV construction for 75.62% work accomplishment in connection with the Reblocking of Tabawan-Looc Road, Calbayog City",JEV-2012-01-000114 Ck#549145,400000
"Payment of the remaining balance to RV Construction for 55.17% work accomplishment in connection with the Concreting of Migara-Lapaz Road, Calbayag City",JEV-2012-01-000115 Ck#549146,600000
"Payment to PS Labasbas Construction for 15% mobilization in connection with the construction of Reinforce Concrete Box Culvert Mabini II-Rizal II Road Section, Calbayog City",JEV-2012-01-000122 Ck#549149/549150,104836.44
"Payment to PS Labasbas Construction for 15% mobilization in connection with the construction of Reinforce Concrete Box Culvert Mabini II-Catabuunan Road Section, Calbayog City",JEV-2012-01-000129 Ck#549151/549152,104848.91
"Final Payment to RV Construction for 100% work accomplishment in connection with the Reblocking of Calbayog-Migara Road, Calbayog City",JEV-2012-01-000317 Ck#549157/549158,1273139.72
"Final payment to RV Construction for 100% work accomplishment in connection with the Reblocking of Tabawan-Looc Road, Calbayog City",JEV-2012-01-000329 Ck#549153/541954,365193.18
"Balance payment to  B. Vicencion  Construction for 51% work accomplishment in connection with the Piloting of Cagbayag-Caybago-Cag-anahaw Road, Calbayog City",JEV-2012-02-00109 Ck#549296,1000000
"Paymnet to PS Labasbas Construction for 15% mobilization in connection with the construction of Riprap and Headwall, De Victoria-San Isidro Road Section, Calbayog City",JEV-2012-03-002384 Ck#549965/549966,224883.96
"Second and final payment to B. Vicencio Construction for 100% work accomplishment in connection with the Piloting of Cagbayang-Caybago-Cag-anahaw Road, Calbayog City",JEV-2012-03-002657 Ck#549959/549960,4897658.84
"Final payment to RV Construction for 100% work accomplishment in connection with the Reblocking of Tabawan-Guinbaoyan Sur Road, Calbayog City",JEV-2012-03-002660 Ck#549961/549962,999492.41
"Final payment to RV Construction for 100% work accomplishment in connection with the Reblocking of Tabawan-Guinbaoyan Sur Road, Calbayog City",JEV-2012-03-002660 Ck#549961/549962,999492.41
"Second and final payment to RV Construction for 100% work accomplishmentin connection with the Concreting of Migara-Lapaz Road, Calbayog City",JEV-2012-03-003279 Ck#17175/17176,1344230.08
"First and final payment to RV Construction for 100% work accomplishment in connection with the Construction of Slope Protection along Calbayog-Migara Road, Calbayog City ",JEV-2012-03-003283 Ck#17173/17174,1997960.9
Grand Total,Grand Total,15311736.85
