year,donations,health-related_medical_mission,education_or_scholarship,livelihood,calamity_relief,infrastructure,skills_transfer,total
1990,232,65670105,10000000,27270451,146566789, -, -,249507345
1991,128,22585899.2,6078000, -,116960448, -, -,145624347.2
1992,111,4790592,12857500,326912,7041119.1,17000, -,25033123.1
1993,146,27627901,48784477,606000,2881622, -, -,79900000
1994,116,47488132,17975949.43,1083000,1094524.29, -, -,67641605.72
1995,67,17541349,13492500, -,105684,155800, -,31295333
1996,98,35947000,14354000,60000,3246331.33,430000, -,54037331.33
1997,124,40805552,11553290.5,563000,3534400,533003.7, -,56989246.2
1998,128,65840658.01,3708756,390000, -,597874.6, -,70537288.61
1999,182,85157667.43,1085307, -,1822605.1,491426.08, -,88557005.61
2000,184,82399175.37,19290619.79, -,185600,4077300, -,105952695.2
2001,200,56869862.27,7795572,292115,364091.4,557105, -,65878745.67
2002,291,136767710.2,9052647.95,50000,101551.5,860034, -,146831943.7
2003,263,113182693.8,75959553.17,148600,433470,1333698.2, -,191058015.1
2004,344,121824324.7,6034703.77,135700,554632.32,10405885.91, -,138955246.7
2005,267,357952974.1,3911260.67,1433428.3,6519601,2018693.25, -,371835957.4
2006,257,146826897.9,6206910.54,355665.23,1836268.89,3087338, -,158313080.6
2007,191,90648951.37,4284874.1,199500,921172.7,6063639.3, -,102118137.5
2008,285,126324975.5,3997384.9,163000,595792.87,2149494.65,17449311.55,150679959.5
2009,534,28311960.15,1488713.68,833250,1923442.8,5252846.5,21665893.89,59476107.02
2010,495,99074814.66,908782.79,818255,1442772.8,5738595.31,11105669.34,119088889.9
2011,405,39129996.68,934898.55,534200,1623002.4,3554066.63,9503012.69,55279176.95
2012,353,73468942.18,1840523.17,0,792403.8,7674124.16,2723049.24,86499042.55
Total,5401,1886238135,281596225,35263076.53,300547325.3,54997925.29,62446936.71,2621089623
