year,number_of_donations,number_of_beneficiaries,province_assisted
1990,232,2046990,"Abra, Apayao, Benguet, Bohol, Cagayan, Cordillera, Kalinga, La Union, Metro Manila, Misamis Oriental, Nueva Ecija, Nueva Vizcaya, Pampanga, Pangasinan, Sorsogon,Tarlac"
1991,128,1917218,"Agusan del Norte, Albay, Baguio, Benguet, Bohol, Bulacan, Camarines Sur, Cavite, Cebu, Davao del Sur, Isabela, La Union, Leyte, Metro Manila, Pampanga, Pangasinan, Sorsogon, South Cotabato, Tawi-Tawi, Tarlac, Quezon, Zambales"
1992,111,363449,"Aklan, Batanes, Batangas, Benguet, Bukidnon, Cagayan, Camarines Sur, Capiz, Cebu, Davao del Sur, Eastern Samar, Leyte, Metro Manila, Negros Occidental, Northern Leyte, Northern Samar, Palawan, Pampanga, Pangasinan, Quezon, Rizal, Romblon, Sorsogon, Surigao del Norte, Tarlac, Zambales"
1993,146,2479807,"Batangas, Bulacan, Camarines Sur, Catanduanes, Cavite, Cebu, Cotabato, Davao del Sur, Ilocos Sur, Iloilo, Isabela, La Union, Leyte, Marinduque, Nueva Ecija, Oriental Mindoro, Palawan, Pampanga, Pangasinan, Samar, Surigao del Sur, Tarlac, Zambales, Zamboanga del Norte"
1994,116,759827,"Abra, Aklan, Bataan, Bohol, Bulacan, Camarines Sur, Camarines Norte, Catanduanes, Cavite, Davao Oriental, Isabela, Leyte, Metro Manila, Mindoro Occidental, Misamis Oriental, Sulu, Negros Occidental, Negros Oriental, Palawan, Pampanga, Quezon, Rizal, Romblon, Sorsogon, Surigao del Sur, Zambales, Zamboanga del Norte"
1995,67,808405,"Albay, Batangas, Bohol, Camarines Sur, Capiz, Cavite, Cebu, Ifugao, Iloilo, Laguna, Metro Manila, Mindoro Oriental, Misamis Oriental, Pampanga, Palawan, Quezon, Rizal, Sorsogon, Tawi-Tawi, Zambales, Zamboanga del Norte"
1996,98,994360,"Aklan, Albay,  Bataan, Benguet, Bohol, Bulacan, Camarines Sur, Cebu, Camarines Norte, Catanduanes, Davao del Sur, Iloilo, Laguna, La Union, Leyte, Marinduque, Masbate, Metro Manila, Misamis Oriental, Negros Occidental, Northern Samar, Nueva Ecija, Pampanga, Pangasinan, Quezon, Rizal, Romblon, Sorsogon, South Cotabato, Surigao del Sur, Zambales, Zamboanga del Sur"
1997,124,566344,"Aklan, Albay, Benguet, Bohol, Bukidnon, Bulacan, Camarines Sur, Cagayan, Capiz, Cavite, Cebu, Eastern Samar, Davao del Sur, Ilocos Norte, Iloilo, Isabela, Laguna, Lanao del Norte, La Union, Marinduque, Metro Manila, Negros Occidental, Negros Oriental, North Cotabato, Palawan, Pangasinan, Rizal, Samar, Sorsogon, Surigao del Norte, Tarlac, Western Samar"
1998,128,212598,"Agusan del Norte, Albay, Aurora, Bulacan, Cagayan, Camarines Sur, Capiz, Cebu, Davao del Sur, Ifugao, Ilocos Norte, Ilocos Sur, Iloilo, Isabela, La Union, Leyte, Marinduque, Masbate, Metro Manila, Misamis Oriental, Negros Oriental, Northern Samar, Palawan, Pampanga, Pangasinan, Rizal, South Cotabato, Surigao del Sur, Western Samar, Zambales"
1999,182,318897,"Albay, Banaue, Batangas, Benguet, Bohol, Bukidnon, Bulacan, Cagayan, Camarines Sur, Capiz, Catanduanes, Cavite, Cebu, Davao del Sur, Eastern Samar, Ilocos Sur, Iloilo, La Union, Leyte, Metro Manila, Misamis Occidental, Misamis Oriental, Northern Samar, Nueva Vizcaya, Palawan, Pampanga, Quezon, Rizal, Sorsogon, Surigao del Norte, Tarlac, Western Samar, Zambales, Zamboanga del Sur"
2000,184,228015,"Abra, Albay, Batangas, Benguet, Bohol, Bulacan, Cagayan, Camarines Sur, Cavite, Cebu, Cordillera, Davao del Sur, Ilocos Norte, Ilocos Sur, Iloilo, Isabela, La Union, Laguna, Leyte, Masbate, Metro Manila, Misamis Oriental, Negros Occidental, Negros Oriental, Northern Samar, Nueva Vizcaya, Occidental Mindoro, Palawan, Pampang, Pangasinan, Quezon, Rizal, South Cotabato, Southern Leyte, Surigao del Norte, Surigao del Norte, Surigao del Sur, Western Samar, Zambales, Zamboanga del Norte, Zamboanga del Sur"
2001,200,723434,"Abra, Agusan del Norte, Aklan, Albay, Antique, Aurora, Bataan, Batangas, Benguet, Bohol, Bulacan, Cagayan Valley, Camarines Norte, Camarines Sur, Camiguin, Capiz, Cavite, Cebu, Davao del Sur, Davao Oriental, Eastern Samar, Guimaras, Ilocos Norte, Iloilo, Isabela, La Union, Laguna, Lanao del Norte, Lanao del Sur, Leyte, Marinduque, Metro Manila, Misamis Oriental, Negros Occidental, Negros Oriental, North Cotabato, Northern Samar, Nueva Ecija, Nueva Vizcaya, Oriental Mindoro, Palawan, Pampanga, Pangasinan, Quezon, Quirino, Rizal, Sorsogon, South Cotabato, Southern Leyte, Surigao del Norte, Western Samar, Zambales, Zamboanga del Norte"
2002,291,668872,"Abra, Agusan del Norte, Aklan, Albay, Antique, Batangas, Bohol, Bulacan, Cagayan, Camarines Norte, Camarines Sur, Camiguin, Cavite, Cebu, Davao del Norte, Davao del Sur, Eastern Samar, Guimaras, Ilocos Norte, Ilocos Sur, Iloilo, La Union, Laguna, Leyte, Misamis Oriental, NCR, Negros Occidental, Negros Oriental, Nueva Ecija, Occidental Mindoro, Oriental Mindoro, Pampanga, Pangasinan, Quezon, Quirino, Rizal, Sarangani, South Cotabato, Surigao del Norte, Tarlac, Western Samar, Zambales, Zamboanga del Norte"
2003,263,388338,"Aklan, Antique, Aurora, Batangas, Benguet, Bohol, Bukidnon, Bulacan, Cagayan Valley, Camarines Norte, Camarines Sur, Capiz, Catanduanes, Cavite, Cebu, Davao de Sur, Guimaras, Ifugao, Ilocos Norte, Ilocos Sur, Iloilo, Isabela, Kalinga, La Union, Laguna, Lanao del Sur, Leyte, Misamis Occidental, Negros Oriental, North Cotabato, Northern Samar, Nueva Ecija, Nueva Vizcaya, Occidental Mindoro, Oriental Mindoro, Palawan, Pampanga, Pangasinan, Quezon, Rizal, Sorsogon, South Cotabato, Southern Leyte, Sulu, Surigao del Norte, Tarlac, Western Samar, Zambales, Zamboanga del Norte, Zamboanga del Sur"
2004,344,279342,"Abra, Agusan del Norte, Aklan, Albay, Bataan, Batangas, Bohol, Bulacan, Cagayan Valley, Camarines Sur, Capiz, Catanduanes, Cavite, Cebu, Compostela Valley, Davao del Norte, Davao del Sur, Eastern Samar, Guimaras, Ifugao, Ilocos Norte, Ilocos Sur, Iloilo, Isabela, Kalinga, La Union, Laguna, Lanao del Norte, Leyte, Maguindanao, Masbate, Metro Manila, Misamis, Mt. Province, Northern Samar, Negros Occidental, Negros Oriental, Nueva Ecija, Nueva Vizcaya, Occidental Mindoro, Oriental Mindoro, Palawan, Pampanga, Pangasinan, Quezon, Rizal, Romblon, Sorsogon, Southern Leyte, South Cotabato, Sulu, Surigao del Norte, Tawi-Tawi, Western Samar, Zambales, Zamboanga del Norte"
