region,higher_education_institution,number_of_faculty,number_of_students,faculty_student_ratio
I (Ilocos Region),The Adelphi College,405,26,1 is to 16
I (Ilocos Region),Malasiqui Agno Valley College,450,31,1 is to 15
I (Ilocos Region),Agoo Computer College Philippines,56,14,1 is to 4
I (Ilocos Region),Asbury College,357,11,1 is to 32
I (Ilocos Region),Asia Career College Foundation,212,15,1 is to 14
I (Ilocos Region),Baccarra Medical Center School of Midwifery,34,10,1 is to 3
I (Ilocos Region),CICOSAT Colleges,867,50,1 is to 17
I (Ilocos Region),Colegio de Dagupan,5727,118,1 is to 49
I (Ilocos Region),Dagupan Colleges Foundation,101,16,1 is to 6
I (Ilocos Region),Data Center College of the Philippines-Laoag City,1224,56,1 is to 22
I (Ilocos Region),Divine Word College of Laoag,2200,110,1 is to 20
I (Ilocos Region),Divine Word College of Urdaneta,101,20,1 is to 5
I (Ilocos Region),Divine Word College of Vigan,1088,47,1 is to 23
I (Ilocos Region),Escuela De Nuestra Senora De La Salette,73,19,1 is to 4
I (Ilocos Region),The Great Plebeian College,404,36,1 is to 11
I (Ilocos Region),Lorma Colleges,2960,169,1 is to 18
I (Ilocos Region),Luna Colleges,837,21,1 is to 40
I (Ilocos Region),University of Luzon,6977,204,1 is to 34
I (Ilocos Region),Lyceum Northern Luzon,2391,62,1 is to 39
I (Ilocos Region),Mary Help of Christians College Seminary,69,21,1 is to 3
I (Ilocos Region),National College of Science and Technology-La Union,91,20,1 is to 5
I (Ilocos Region),Northern Christian College,919,66,1 is to 14
I (Ilocos Region),Northern Luzon Adventist College,594,49,1 is to 12
I (Ilocos Region),"Northern Philippines College for Maritime, Science and Technology",2896,87,1 is to 33
I (Ilocos Region),Northwestern University,3607,172,1 is to 21
I (Ilocos Region),Osias Educational Foundation,312,14,1 is to 22
I (Ilocos Region),Palaris College,384,29,1 is to 13
I (Ilocos Region),Panpacific University North Philippines-Urdaneta City,6689,194,1 is to 34
I (Ilocos Region),Pangasinan Merchant Marine Academy,3657,24,1 is to 152
I (Ilocos Region),Perpetual Help College of Pangasinan,900,49,1 is to 18
I (Ilocos Region),Polytechnic College of La union,1588,54,1 is to 29
I (Ilocos Region),Philippine College of Science and Technology,3184,104,1 is to 31
I (Ilocos Region),PIMSAT Colleges-Dagupan,1436,32,1 is to 45
I (Ilocos Region),Saint Columban's College,185,18,1 is to 10
I (Ilocos Region),Saint Louis College-San Fernando City,5066,176,1 is to 29
I (Ilocos Region),"Saint Mary's College-Sta. Maria, Ilocos Sur",301,9,1 is to 33
I (Ilocos Region),Saint Paul College of Ilocos Sur,392,47,1 is to 8
I (Ilocos Region),San Carlos College,648,54,1 is to 12
I (Ilocos Region),Sea and Sky College,891,34,1 is to 26
I (Ilocos Region),Union Christian College,1096,78,1 is to 14
I (Ilocos Region),University of Pangasinan,8232,196,1 is to 42
I (Ilocos Region),NJ Valdez Colleges Foundation,182,19,1 is to 10
I (Ilocos Region),Virgen Milagrosa University Foundation,2566,275,1 is to 9
I (Ilocos Region),Metro-Dagupan Colleges,368,35,1 is to 11
I (Ilocos Region),Pass College,520,39,1 is to 13
I (Ilocos Region),AMA Computer College-Dagupan City,185,11,1 is to 17
I (Ilocos Region),AMA Computer College-Laoag City,288,16,1 is to 18
I (Ilocos Region),Lyceum Northwestern University,5087,191,1 is to 27
I (Ilocos Region),Macro Colleges,71,10,1 is to 7
I (Ilocos Region),Sta. Veronica College,127,12,1 is to 11
I (Ilocos Region),"STI College-San Fernando City, La Union",656,18,1 is to 36
I (Ilocos Region),STI College-Dagupan City,178,21,1 is to 8
I (Ilocos Region),AMA Computer College-La Union,267,12,1 is to 22
I (Ilocos Region),Golden West Colleges,719,31,1 is to 23
I (Ilocos Region),Lyceum Northwestern University-Urdaneta Campus,206,37,1 is to 6
I (Ilocos Region),Data Center College of the Philippines-Vigan City,197,11,1 is to 18
I (Ilocos Region),Colegio San Jose De Alaminos,103,19,1 is to 5
I (Ilocos Region),Our Lady of Manaoag College,201,25,1 is to 8
I (Ilocos Region),South Ilocandia College of Arts and Technology,45,16,1 is to 3
I (Ilocos Region),La Union College of Science and Technology,130,9,1 is to 14
I (Ilocos Region),Luzon College of Science and Technology-Urdaneta,225,16,1 is to 14
I (Ilocos Region),Mystical Rose College of Science and Technology,125,18,1 is to 7
I (Ilocos Region),Saint Therese College Foundation,188,8,1 is to 24
I (Ilocos Region),ABE International College of Business and Accountancy,575,24,1 is to 24
I (Ilocos Region),La Finn's Scholastica,304,26,1 is to 12
I (Ilocos Region),"Philippine Central College of Arts, Science and Technology",0,14,1 is to 0
I (Ilocos Region),Panpacific University North Philippines-Tayug,1174,58,1 is to 20
I (Ilocos Region),Kingfisher School of Business and Finance,524,27,1 is to 19
I (Ilocos Region),Northern Ilocandia College of Science and Technology,367,19,1 is to 19
I (Ilocos Region),AIE College,81,21,1 is to 4
I (Ilocos Region),St. Camillus College of Manaoag Foundation,75,21,1 is to 4
I (Ilocos Region),International College for Excellence,132,30,1 is to 4
I (Ilocos Region),Philippine College of Northwestern Luzon,413,41,1 is to 10
I (Ilocos Region),Philippine Darakbang Theological College,51,13,1 is to 4
I (Ilocos Region),Saint John Bosco College of Northern Luzon,216,22,1 is to 10
I (Ilocos Region),Rosales-Wesleyan Bible College,124,11,1 is to 11
I (Ilocos Region),La Union Christian Comprehensive College,48,5,1 is to 10
I (Ilocos Region),Immaculate Conception School of Theology,88,15,1 is to 6
I (Ilocos Region),Polytechnic Colleges of Region I,43,18,1 is to 2
I (Ilocos Region),WCC Aeronautical and Technological College,199,8,1 is to 25
I (Ilocos Region),PIMSAT Colleges-San Carlos City,158,11,1 is to 14
II (Cagayan Valley),Aldersgate College,826,68,1 is to 12
II (Cagayan Valley),University of Cagayan Valley,6416,226,1 is to 28
II (Cagayan Valley),Eveland Christian College,16,10,1 is to 2
II (Cagayan Valley),Fuzeko Polytechnic College,3,5,1 is to 1
II (Cagayan Valley),Isabela Colleges,520,24,1 is to 22
