name_of_project, amount ,date_utilized, amount_paid , balance 
"Construction of Sewerage Treatment Plant (STP) at Rosario District Hospital, Brgy. Namunga, Rosario, Batangas",3996773.8,4/24/2013,599516.07,3397257.73
"Construction of Sewerage Treatment Plant (STP) at Calatagan Medicare Hospital, Brgy. II,Calatagan, Batangas",4128740.86,4/30/2013,618600.42,3510140.44
"Construction of Sewerage Treatment Plant (STP) at Laurel Memorial District Hospital,Brgy. Santor, Tanauan City",4001343.99,4/30/2013,599525.7,3401818.29
"Construction of Sewerage Treatment Plant (STP) at Lobo Municipal Hospital, Brgy. Fabrica,Lobo, Batangas",4124600,5/29/2013,618690,3505910
Rehabilitation of Façade of the Eight (8) Public Hospitals in the Province of Batangas,1215764.03,-,-,1215764.03
Installation of Build Up Signage (3' x 11') at Twelve (12) Public Hospitals in the Province of Batangas,1963050.6,-,-,1963050.6
"Construction of Facilities at Martin Marasigan Memorial Hospital, Brgy. Pob. 3, Cuenca,Batangas (Phase II)",12325706.09,-,-,12325706.09
"Improvement of Facilities at Lobo Municipal Hospital, Brgy. Fabrica, Lobo, Batangas (Phase II)",5200000,-,-,5200000
"Construction of Day Care Center or OB Montessori at Brgy. Binubusan, Lian, Batangas",2018587.11,4/30/2013,302788.07,1715799.04
"Construction of Day Care Center or OB Montessori at Brgy. San Miguel, Sto. Tomas",1112204.74,-,-,1112204.74
"Construction of Day Care Center at Brgy. Bagum Bayan, Tanauan City, Batangas",1000000,-,-,1000000
"Completion of Multi-Purpose Bldg. at Brgy. Tayuman, Lobo, Batangas",1376601.95,-,-,1376601.95
"Completion of Multi-Purpose Bldg. at Brgy. Gulibay, Bauan, Batangas",4200138.14,-,-,4200138.14
"Completion of Multi-Purpose Bldg. at Brgy. Calumpang East, San Luis, Batangas",3336974.89,-,-,3336974.89
"Completion of Multi-Purpose Bldg. of Mohon E/S, Brgy. Bihis, Sta. Teresita, Batangas",4634747,6/19/2013,695212.05,3939534.95
"Construction of Multi-Purpose Bldg. at Padre Garcia NHS, Brgy. Poblacion, Padre Garcia",6876450,6/19/2013,1031467.5,5844982.5
"Construction of Multi-Purpose Bldg. at Brgy. Talaibon, Ibaan, Batangas",2864202.66,-,-,2864202.66
"Construction of Multi-Purpose Bldg. at Brgy. Poblacion 2, Sta. Teresita, Batangas",1000000,-,-,1000000
"Construction of the 3rd Floor Multi-Purpose Bldg. at Brgy. Sta. Anastacia, Sto. Tomas",2721424.02,-,-,2721424.02
"Construction of the 2nd Floor Multi-Purpose Bldg. at Brgy. Masalisi, Lemery",1000000,-,-,1000000
"Improvement of 3 Bays Multi-Purpose Bldg. at San Miguel E/S, Brgy. San Miguel, Sto. Tomas, Batangas",1500000,-,-,1500000
"Rehabilitation or Improvement of Multi-Purpose Bldg. at Brgy. San Lucas, Lipa City, Batangas",901101.68,5/10/2013,135165.25,765936.43
"Improvement of Multi-Purpose Bldg. at Brgy. San Martin, San Luis, Batangas",1000000,-,-,1000000
"Improvement of Multi-Purpose Bldg. at Brgy. Poblacion, Lobo, Batangas",500000,-,-,500000
Rehabilitation or Improvement of Waiting Sheds at Various Municipalities,934456.94,-,-,934456.94
"Installation of Solar Electrification at Brgy.  Alas-as, San Nicolas, Batangas",798805.99,-,-,798805.99
"Installation of Streetlights at Brgy. Inosluban,Lipa City",3366085.46,-,-,3366085.46
"Construction of Balete Municipal Health Center at Brgy. Poblacion, Balete, Batangas",9741000,5/20/2013,1461150,8279850
"Drilling of Production Well, Installation of Submersible Pump and Construction of Elevated Water Tank (5,500 gals) at Brgy. Miranda, Talisay, Batangas",4215873.83,-,-,4215873.83
"Drilling of Production Well, Installation of Submersible Pump and Construction of Elevated Water Tank (5,500 gals) at Brgy. Dita, Lemery, Batangas",3669510.19,4/30/2013,550426.53,3119083.66
"Drilling of Production Well, Installation of Submersible Pump and Construction of Elevated Water Tank (5,500 gals) at NAVERA NHS, Brgy. Concepcion, Batangas City",2625005.99,5/9/2013,393750.9,2231255.09
"Installation of Submersible Pump and Construction of Elevated Water Tank (5,500 gals) at Brgy. Sta. Maria (Sitio Dayap), Laurel,Batangas",3596818.77,4/30/2013,539522.82,3057295.95
"Installation of Submersible Pump and Waterlines at Brgy. Leviste, Rosario, Batangas",1900000,-,-,1900000
"Construction of One (1) Unit Artesian Well at Brgy. Malabrigo, Lobo, Batangas",257227.25,-,-,257227.25
"Rehabilitation or Improvement of Pavement of Provincial Road at Brgy. Sico and Janao-janao,San Juan, Batangas",5957677.32,-,-,5957677.32
"Rehabilitation/Improvement of Pavement of Provincial Road at Brgy. Bolbok, Tuy, Batangas",5692865.6,4/30/2013,853929.84,4838935.76
"Rehabilitation or Improvement of Pavement of Provincial Road at Brgy. Lucsuhin, Calatagan,Batangas",4274393.34,5/6/2013,640462.88,3633930.46
Rehabilitation or Improvement of Pavement of Provincial Road at Brgy. Muzon along Municipalities of San Luis and Alitagtag,6827299.46,-,-,6827299.46
"Rehabilitation or Improvement of Pavement of Provincial Road connecting Sections of Brgy. Pob. 2 Road, Cuta West Road and Cuta East Road, Sta. Teresita, Batangas",4137642.27,-,-,4137642.27
"Rehabilitation or Improvement of Pavement of Provincial Road Section of Brgy. Dalipit East Road, Alitagtag, Section of Brgy. Dalipit West and East Roads and Section of Bungahan Road,Cuenca, Batangas",3414000,-,-,3414000
"Rehabilitation or Improvement of Pavement of Provincial Road at Brgys. San Felix, San Jose,Sta. Ana Sect., Sto. Tomas, Batangas",2000000,-,-,2000000
"Rehabilitation or Improvement of Pavement of Provincial Road at Brgys. Sambungan and Real,Calatagan, Batangas",2286086.88,-,-,2286086.88
"Concreting of Palsara-Kinalaglagan Bridge Approach along Balete and Mataas na Kahoy Road, Batangas",3193000,-,-,3193000
"Concreting of Provincial Road at Brgy. Luya,San Luis, Batangas",1460688.88,-,-,1460688.88
"Concreting of Provincial Road at Brgy. San Miguel, Sto. Tomas, Batangas",1296710.62,-,-,1296710.62
"Concreting of Various Brgy. Road at Municipality of San Jose, Batangas",1750000,-,-,1750000
"Concreting of Various Brgy. Road at Lipa City,Batangas",3000000,-,-,3000000
"Concreting of Various Brgy. Road at Municipality of Calatagan, Batangas",3000000,-,-,3000000
"Concreting of Various Brgy. Road at Municipality of Rosario, Batangas",2000000,-,-,2000000
"Concreting of Various Brgy. Road at Municipality of Agoncillo, Batangas",2800000,-,-,2800000
"Concreting of Various Brgy. Road at Municipality of San Juan, Batangas",2353576.27,-,-,2353576.27
"Concreting of Brgy. Road at Brgy. Talumpok Silangan, Batangas City",1000000,-,-,1000000
"Concreting of Brgy. Road at Brgy. Leviste,Laurel, Batangas",1000000,-,-,1000000
"Concreting of Brgy. Road at Brgy. Halang, Taal,Batangas",700000,-,-,700000
"Concreting of Brgy. Road at Brgy. Natunuan North, San Pascual, Batangas",500000,-,-,500000
"Concreting of Brgy. Road at Quilo-quilo North and Construction of Concret Pavement at Municipal Cultural Center Compound at Brgy. Quilo-quilo North, Padre Garcia, Batangas",1000000,-,-,1000000
"Rehabilitation of Brgy. Road at Brgy. Anilao East, Mabini, Batangas",1000000,-,-,1000000
"Rehabilitation of Brgy. Road at Brgy. Quisumbing, Calaca, Batangas",1750000,-,-,1750000
"Rehabilitation and Improvement of Road at Brgy. San Mariano, San Pascual, Batangas",1500000,-,-,1500000
"Rehabilitation or Improvement and Reblocking of Brgy. Road at Brgy. Suplang, Tanauan City",2568725.9,-,-,2568725.9
"Asphalt Overlay of Brgy. Road at Brgy. Poblacion IV, San Jose, Batangas",1000000,-,-,1000000
"Asphalt Overlay of Provincial Road at Ibaan to San Jose, Batangas",15644934.79,-,-,15644934.79
"Asphalt Overlay of Brgy. Road at Brgy. Poblacion E, Rosario, Batangas",3750355.38,-,-,3750355.38
"Construction of Sidewalk, Curb and Gutter and Widening of Road at Brgy. San Lucas, Lipa City,Batangas",1000000,-,-,1000000
"Construction of Drainage System at Brgy. Baluk-Baluk, San Nicolas, Batangas",1000000,-,-,1000000
"Construction of Drainage System at Brgy. Poblacion, Agoncillo, Batangas",1000000,-,-,1000000
"Construction of Drainage System at Brgy. Bolbok, Batangas City",1503563.55,-,-,1503563.55
"Construction of Drainage System (Covered Canal) at Brgy. Burgos, Tuy, Batangas",1802584.64,-,-,1802584.64
"Repair of Home Economics Bldg. at Saimsim E/S, Brgy. Saimsim, Sta. Teresita, Batangas",895745.15,-,-,895745.15
"Repair or Improvement of Three (3) Classroom Bagong Lipunan School Bldg. at Mohon E/S,Bihis, Sta. Teresita, Batangas",1224194.36,-,-,1224194.36
"Construction of Two (2) Classroom VSR Type School Bldg. at Sala E/S, Brgy. Sala, Tanauan City, Batangas",3678269.06,-,-,3678269.06
"Construction of Two (2) Storey Four (4) Classroom VSR Type School Bldg. at Sambat E/S, Brgy. Sambat, Tanauan City, Batangas",9750841.28,5/6/2013,1462626.19,8288215.09
"Construction of Two (2) Storey Six (6) Classroom VSR Type School Bldg. at Concepcion E/S, Brgy. Concepcion, Batangas City, Batangas",13437322.82,5/6/2013,2015598.42,11421724.4
"Construction of Two (2) Storey Six (6) Classroom VSR Type School Bldg. at Rafael M. Lojo MES, Brgy. Banay-Banay, Lipa City,Batangas",13511015,5/28/2013,2026652.25,11484362.75
"Construction of Provincial Community Park (Phase II) at Brgy. Kumintang Ibaba, Batangas City, Batangas",19988922.75,5/17/2013,2998338.41,16990584.34
Total,259753611.3,-,-,242210188
