control_number,program_projects_1,program_projects_2,amount,total_appropriation,expenditures,balance
8911,Goatary Project,Equipments - Capital Outlay,60000,60000,-,60000
8911,Goatary Project,Building Construction,25000,25000,10940,14060
8911,Goatary Project,Feeds,40000,40000,25898,14102
8911,Goatary Project,Veterinary Suppplies,10000,10000,-,10000
8911,Goatary Project,Breeder Stocks,55000,55000,-,55000
8911,Goatary Project,Labor,75000,75000,30240,61840
8911,Poultry Projects,Equipments - Capital Outlay,60000,60000,60000,-
8911,Poultry Projects,Repair of Bldg,13000,13000,12374,626
8911,Poultry Projects,Feeds,115000,115000,72274,42726
8911,Poultry Projects,Veterinary Suppplies,30000,30000,19045,10955
8911,Poultry Projects,Labor,75000,75000,31080,43920
8911,Seedling Production,Seeds,10000,10000,-,10000
8911,Seedling Production,Polybags,20000,20000,20000,-
8911,Seedling Production,Water System,60000,60000,57150,2849.45
8911,Seedling Production,Green House,50000,50000,49690,310
8911,Seedling Production,Garden Net,8000,8000,7998.7,1.3
8911,Seedling Production,Germination Cahmaber,20000,20000,16593.5,3406.5
8911,Seedling Production,Labor,75000,75000,30240,44760
8911,Vermiculture Production,Housing - Capital Outlay,60000,60000,19465,40535
8911,Vermiculture Production,Equipments and Vermi - Capital Outlay,50000,50000,24416,25584
8911,Vermiculture Production,Farmers Training,10000,10000,-,10000
8911,Vermiculture Production,Labor,75000,75000,30240,44760
8911,Artificial Insemination Project,Liquid Nitrogen - Capital Outlay,20000,20000,-,20000
8911,Artificial Insemination Project,Liquid Nitrogen Tank - Capital Outlay,80000,80000,-,80000
8911,Artificial Insemination Project,Supplies,10000,10000,-,10000
8911,Vegetable Production,Vegetable Seeds,100000,100000,91820,8180
8911,Vegetable Production,Garden Tools - Capital Outlay,10000,10000,-,10000
8911,Vegetable Production,Farmers Training (FAITH),10000,10000,-,10000
8911,RIC/ 4H Club,Mun RIC/4H Club Achievements Celebration,20000,20000,15068,4932
8911,RIC/ 4H Club,Prov'l RIC/ 4H Club Achievements Celebration,20000,20000,4500,15500
8911,RIC/ 4H Club,Beach Tree Planting,30000,30000,-,30000
8911,RIC/ 4H Club,Purchase of Seedlings,10000,10000,-,10000
8912,Marine Sanctuary Project,"Rehabilitation of Tuka Marine Park (COT Collecction, procurement of Triton)",100000,100000,22839,77161
8912,Marine Sanctuary Project,Care and Maintenance,335680,335680,238568.78,97111.22
8912,Marine Sanctuary Project,Beach Tree Planting,167840,167840,50680,117160
8912,Marine Sanctuary Project,Purchase of Seedlings,40000,40000,-,40000
8911,Riverbank Stabilization Project Kling and Tambilil River,Purchase of Bamboo Seedlings,35000,35000,-,35000
8911,Riverbank Stabilization Project Kling and Tambilil River,Purchase of Forest Tree Seedlings,25000,25000,-,25000
8911,Riverbank Stabilization Project Kling and Tambilil River,Bamboo or Tree Planting ,148000,148000,44520,103480
8911,Riverbank Stabilization Project Kling and Tambilil River,Care and Maintenance,74000,74000,72800,1200
6911,Dclogging of Canals,Hand Ditching and Clearing ,296000,296000,113921.27,182078.73
6911,Dclogging of Canals,Vegetation Control,296000,296000,101722.99,194277.01
6911,Solid Waste Management,Construction of Land Fill - Capital Outlay,1500000,1500000,-,1500000
6911,Solid Waste Management,MRF Care and Maintenance,148000,148000,9460,138360
6911,Solid Waste Management,Garbage Hauling and Segregation,505000,505000,327077.27,177922.73
6911,Solid Waste Management,Gasoline and Oil,200000,200000,143882.95,56117.05
8911,Agro Forestry Project,Purchase of Seedlings materials or supplies,143000,143000,-,143000
8911,Agro Forestry Project,Tree Planting,223000,223000,-,223000
8911,Agro Forestry Project,Care and Maintenance,296000,296000,240687.49,55312.51
8911,Agro Forestry Project,Bantay Gubat,296000,296000,87469.09,208530.91
9921,Debt Servicing Loan Amortization,Loan Amortization,2000000,2000000,1753530.08,246469.92
9992,Integrated Infra Dev't,"Support to extremely assissted projects (MRDP, SDA, MTF-RDP, etc.)",2500000,2500000,309726.74,2190273.26
9992,KALAHI CIDDS,LGU Counterpart to KALAHI CIDSS,857000,857000,857000,-
6917,Senior Citizens Bldg,Improvement of Senior Citizen Building,120000,120000,-,120000
6917,Repair of Day Care Centers,Repair of DC Bldgs. Door,300000,300000,-,300000
9992,LGU Ccounterpart to ECCD,Const of Day Care Bldg,100000,100000,-,100000
6917,Rehabilitation of Mun Roads,St. Anthony St. (Public Market) - Capital Outlay,1600000,1600000,770200.86,829799.14
6917,Rehabilitation of Mun Roads,N. Mondragon St. (Public Market) - Capital Outlay,-,-,-,-
6917,Rehabilitation of Mun Roads,Calical St. (Public Market) - Capital Outlay,-,-,-,-
6917,Rehabilitation of Mun Roads,Academy St. (Public Market) - Capital Outlay,-,-,-,-
6917,Drainage System,JP Rizal St. DS - Capital Outlay,750000,750000,159070,590929.92
6917,Drainage System,St. Anthony ST. DS - Capital Outlay,1000000,1000000,-,1000000
6917,Drainage System,Tamadang-Tual River DS - Capital Outlay,350000,350000,-,350000
6918,Fire Station and MDRRMC Office,Construction of Bldg. - Capital Outlay,100000,100000,99998,2
6911,Desilation of Riverbeds and Creeks,"Tual River, Badtasan River, Tambilil River, King River, Kling River and Katubao River",514774.2,514774.2,23016,491758.2
9992,Barangay Projects (Hard Projects),19 Barangays = 50000 each,950000,950000,100000,850000
-,Total Amount Appropriated,Total Amount Appropriated,17276294.2,17276294.2,6155383.35,11120910.85
