Project Title,Project Description,Implementing Agency,"Total Project Cost
 (in PhP M)",Funding Source,Sector,ICC-TB Dates,ICC-CC Dates,NEDA Board Dates,Implementation Period,"Regions/
 Provinces",Project Status,Status of Compliance with NEDA Board/ICC Conditions,Updates/Implementation Status
Convergence on Value Chain Enhancement for Rural Growth and Empowerment (Project CONVERGE),"3 components:
  - Participatory analysis and planning to link smallholder farmers to existing value chain systems
  - Integrated smallholdersÕ agricultural and rural enterprise development;
  - Project management, monitoring and evaluation (M&E) and knowledge management (KM).",Department of Agrarian Reform,"2,036.64",International Fund for Agricultural Development (IFAD),"Agriculture, Agrarian Reform, Environment and Natural resources","> 7 Nov 2012
 > 3 Oct 2012
 > 21 May 2012","> 5 Aug 2014
> 07 Nov 2012",> 29 Nov 2012,2015-2020,"Regions IX (Zamboanga del Norte, Zamboanga del Sur, Zamboanga Sibugay);
 - Regions X (Misamis Oriental, Camiguin, North Bukidnon, South Bukidnon);
 - Caraga (Agusan del Norte, Agusan del Sur, Surigao del Norte and Surigao del Sur)","The project is proposed for NEDA Board presentation following DAR submission of the completed 11 commodity investment plans and feasibility studies.  Based on the DAR submission the project cost increased from the original NEDA Board approved cost of PhP2036.64 million to PhP2,284.93 million.

Per NB approval of Component A in its 29 November 2012 meeting, DAR was instructed to submit to the NB the resulting value chain investment plans of the eleven (11) ARC clusters as basis for the Board's consideration and approval of the project's other components.

On 1 July 2014, DAR submitted the completed 11 commodity investment plans and feasibility studies.","The ICC-CC, in its 5 August 2014 meeting, approved the project and was instructed DAR to include the following information in their presentation to the NEDA Board:

a.ÊÊÊÊÊÊ Unifying framework in operationalizing inclusive growth, particularly how the Project links to the priority provinces (i.e., Categories 1, 2 and 3) of the updated Philippine Development Plan 2011-2016;

b.ÊÊÊÊÊÊ Targets/commitments under the Comprehensive Agrarian Reform Program in relation to agrarian support services; 

c.ÊÊÊÊÊÊ Institutional/implementation arrangement that clarifies the following: i) strategic value of DAR in overseeing the
Project; ii) other agenciesÕ participation in project implementation (e.g., farm-to-market road (FMR) with DPWH, shared facility services with DTI and irrigation with NIA); and iii) process of downloading funds/assistance to the target beneficiaries; and,

d.ÊÊÊÊÊÊ Showcase one agribusiness sub-project to illustrate the value-chain process and specific activities to be undertaken.

Likewise, DAR was instructed to provide theARMM Governor and MINDA Secretary copies of the presentation to the NEDA Board to be able to secure their support.

Aside from the above instructions, DAR was reminded to comply with the remaining NEDA Board requirements, as follows:

a.ÊÊÊÊÊÊ Budget Strategy from the Department of Budget and Management;

b.ÊÊÊÊÊÊ Map of current and proposed rural infrastructure (i.e., FMRs, potable water system, irrigation, etc.) in the target areas; and,

c.ÊÊÊÊÊÊ DAR SecretaryÕs endorsement of the project to the NEDA Board.",The Secretariat is coordinating with DAR for the completion of the requirements for the projectÕs presentation to the NEDA Board.
Italian Assistance to Agrarian Reform Community Development Support Program (IARCDSP),"The program has four inter-related components:
  a. Agricultural and enterprise development;
  b. Local capacity building and strengthening;
  c. Community infrastructure development support;
  d. Program management.",Department of Agrarian Reform,"2,518.75",Italy,"Agriculture, Agrarian Reform, Environment and Natural resources",> 23 Apr 2010,"> 20 Oct 2010
> 19 Aug 2010",> 20 Dec 2010,2011-2016,"Regions - X, XII, ARMM","Under Implementation.
 
 Per DOF letter to DAR (cc NEDA) of 25 January 2013, the loan agreement on the project signed in 2011 was declared effective by Artigiancassa S.p.A on 28 December 2012.",The NEDA Board confirmed the ICC approval of the project subject to the submission of the ff ICC-required documents: (i) ARMM Regional Economic and Development Planning Board endorsement; (ii) ECC/CNC. DAR is likewise advised to come up with a report pointing out a single community that has done the same project and the result thereof.,"Under Implementation..
 
 Per DOF letter to DAR (cc NEDA) of 25 January 2013, the loan agreement on the project signed in 2011 was declared effective by Artigiancassa S.p.A on 28 December 2012."
Mindanao Sustainable Agrarian and Agriculture Development Project,"The project is composed of the following: 
  a. Agriculture and agribusiness development;
  b. Environmental development;
  c. Basic social facilities; and
  d. Institutional development and gender concerns",Department of Agrarian Reform,"4,402.73",JICA,"Agriculture, Agrarian Reform, Environment and Natural resources","> 16 Feb 2012 (changes to ICC approval)
 > 10 Dec 2009","> 16 Feb 2012 (changes to ICC approval) 
 > 04 Jun 2010","> 08 Nov 2011 (ad referendum) 
 > 20 Dec 2010",2012-2016,"Regions - X, XI, and XII
 Provinces of Lanao del Norte, Bukidnon, Compostela Valley, Davao del Sur, South Cotabato, North Cotabato and Sultan Kudarat","Under Implementation.
 
 On schedule. The project is on its preparatory stage.",The NEDA Board confirmed the ICC approval of the project subject to the submission of the following ICC-required documents: (i) ARMM Regional Economic and Development Planning Board endorsement; (ii) ECC/CNC. DAR is likewise advised to come up with a report pointing out a single community that has done the same project and the result thereof.,"Under Implementation..
 
 On schedule. The project is on its preparatory stage. Accomplishment incluides the following:
 11 PMOs established
 44 units equipment procured
 12 development plans reviewed
 12 project investment plans prepared/approved
 4 orientation workshops conducted
 10 planning workshops conducted
 12 settlement management units organized
 3 subproject approval committees organized
 27 consultation meetings with LGUs
 1 quarter assessment conducted
 
 
 Institutional Development
 36 PMOs and 212 individuals trained.
 14 pick-up trucks provided.
 
 Financial Status as of December 2013: 
 Availment Rate: 93.09%
 Disbursement Rate: 66.19%
 Utilization Rate: 10.24%
 
 DAR reported that the procurement of consulting services is yet to be completed. Issues on the ratings made by the external evaluators were raised by a bidder. 
 
 BAC declared ÒFailure of biddingÓ last 24 Sept 2013 but JICA did not concur on said declaration as per their letter to GPPB on January 2014. BAC endorsed said letter to GPPB and is now awaiting response."
Bridge Construction Project for Expanded Agrarian Reform Communities Development- Umiray Bridge,"The Umiray Bridge project involves the construction of a 358 lineal meter (lm) bridge that will cross the Umiray River along the boundaries of Barangay Umiray, Dingalan in Aurora Province and Barangay Umiray, General Nakar in Quezon Province.",Department of Agrarian Reform,798.56,JICA,Infrastructure,> 16 Feb 2012,> 16 Feb 2012,> 22 Mar 2012,2012-2014,"Regions - X, XI, and XII
 Provinces of Lanao del Norte, Bukidnon, Compostela Valley, Davao del Sur, South Cotabato, North Cotabato and Sultan Kudarat","Under Implementation.
 
 Ahead of schedule. As of Dec 2013, cumulative physical accomplishment is 99.7% against a target of 94.4% resulting in a positive slippage of 5.3 percent. The remaining works of the project is on the installation of the remaining concrete sand bag protection works and removal of box culverts in several piers.",The NEDA Board confirmed the ICC approval of the project subject to the submission of the ff ICC-required documents: (i) ARMM Regional Economic and Development Planning Board endorsement; (ii) ECC/CNC. DAR is likewise advised to come up with a report pointing out a single community that has done the same project and the result thereof.,"Under Implementation..
 
 Ahead of schedule. As of Dec 2013, cumulative physical accomplishment is 99.7% against a target of 94.4% resulting in a positive slippage of 5.3 percent. The remaining works of the project is on the installation of the remaining concrete sand bag protection works and removal of box culverts in several piers.
 
 Financial Status as of June 2013:
 Availment Rate: 100.00%
 Utilization Rate: 39.84%"
"Second Cordillera Highland Agriculture Resource Management Project (CHARMP2)
 
a. Proposed Change in Scope;
b. Proposed One-Year Extension of the Loan Validity Period (OFID Loan) from 31 July 2013 to 31 July 2014;and
c. Proposed Final Extension of the OFID Loan Validity Period from 31 July 2014 to 31 July 2015.","Involves 5 components:
 a. Social Mobilization, Participatory Investment Planning and Land Titling (SMPIPLT)
 b. Community Watershed Conservation, Forest Management and Agroforestry (CWCFMA)
 c. Agriculture, Agribusiness, and Income Generating Activities (AAIGA)
 d. Rural Infrastructure Development (RID)
 e. Project Management and Coordination",Department of Agriculture,2942.47,"IFAD, ADB, OFID","Agriculture, Agrarian Reform, Environment and Natural resources","> 2 Aug 2012
> 21 May 2012
> 17 March 2014
> 8 March 2013","> 2 Aug 2012
> 21 April 2014",> 18 Jan 2013,2009-2015,"CAR - Abra, Apayao, Benguet, Ifugao, Kalinga and Mt. Province","The ICC-CC during its 21 April 2014 meeting, approved the final loan extension from July 2014 to July 2015.
 
The ICC Secretariat thorugh 30 April 2014 letter, requested for DOF's endorsement of CHARMP2's one-year loan validity extension to OFID.
 
The project has experienced delay in implementation due to the difficulty of the LGUs in providing cash counterpart requirement.","The ICC-TB in its 17 March 2014 meeting, recommended the proposed extension of the OFID loan validity period from 31 July 2014 to 31 July 2015 for ICC-CC notation. The recommendation is with the understanding that the: a) projectÕs physical completion will be until December 2014 while project loan closing will be in July 2015; and b) proposed extension will be the final extension for the said project. If there will be another request for extension, the request shall be elevated to the NEDA Board for approval
 
The ICC-CC, in its 21 April 2014 meeting, noted the Department of AgricultureÕs request for the extension of the OFID loan validity period from 31 July 2014 to 31 July 2015. Since there are no further issues on the proposal, the project will no longer be elevated to the NEDA Board. The Department of Finance will officially endorse the approved one-year extension to OFID.
 
The ICC Secretariat thorugh 30 April 2014 letter, requested for DOF's endorsement of CHARMP2's one-year loan validity extension to OFID.
 
DOF, through its 8 May 2014 letter to OFID, endorsed the DA's request for one year extension of the loan validity of OFID loan from 31 July 2014 to 31 July 2015.

IFAD, through its 15 May 2014 facsimile message to OFID Director Imhemed Bukader, confirmed IFADÕs endorsement of the GovernmentÕs request for a one year extension of the OFID loan from 31 July 2014 to 31 July 2015.","OFID, through 3 June 2014 facsimile message to DOF, extended the loan closing date until 31 July 2015."
Philippine Rural Development Program (PRDP),"The PRDP will be implemented in the sixteen (16) regions and eighty (80) provinces of the Philippines. The program will initially commence in areas of Mindanao and Central Philippines (Region 4-A, 4-B, 5, 6, 7 and 8) and then move to Northern and Central Luzon (Region 1, 2, CAR and 3). The PRDP consists of four program components, namely:
 a. Investments for AFMP Planning at the Local and National Levels (I-PLAN);
 b. Intensified Building-Up of Infrastructure and Logistics for Development (I-BUILD);
 c. Investments for Rural Enterprises and Agri-fishery Productivity (I-REAP); and
 d. Support to Program Implementation (I-SUPPORT).",Department of Agriculture,"27,535.33","WB, GEF","Agriculture, Agrarian Reform, Environment and Natural resources","> 08 Apr 2013
 > 19 Feb 2013 (deferment)","> 08 Apr 2013
 > 07 Nov 2012 (conditional approval)",> 26 Jun 2013,2013-2018,"Nationwide
 (All Regions except NCR)","Loan Agreement signed on 08 September 2014.

DOF is currently securing Monetary Board final approval, and loan effectivesness.","In the 24 July 2013 DA letter to the Cabinet Secretary, DA reported the ff:
 1) To ensure that PRDP will fast track the implementation of its infrastructure subprojects, DA is in the process of procuring PhP 383 million worth of infra subprojects to be contracted out within the 3rd Quarter of 2013. Additional PhP 1.7 Billion worth of subprojects is for procurement and contract out on the last quarter and around PhP 900 million for 1st Q of CY2014.
 2) DA and DPWH hs correspondingly issued Joint Memorandum Circular No. 01, series of 2013 (dated 18 July 2013) describing the roles and responsibilities of the 2 agencies in strengthening the implementation of the construction of FMRs, bridges and all infra-related projects under PRDP.
 
 The NEDA Board confirmed the ICC-CC's approval of the project, with the condition to fast track the implementation of the construction fo farm-to-market roads.
 
 In addition, to the furthest extent possible, the actual construction fo all infrastructure-related programs and projects shall be undertaken directly by the DPWH; and DA and other concerned agencies shall ensure that all projects and activities are systematically integrated to the program.","Loan Agreement signed on 08 September 2014.

DOF is currently securing Monetary Board final approval, and loan effectivesness.

Per DOF-IFG, currently awaiting Special Presidential Authority for DOF to sign the loan agreement. Request for S.P.A. was submitted through DOF Memorandum for the President dated 17 February 2014.
 
 ICC approval of the project was confirmed by the NEDA Board on 26 June 2013."
Two-Year Extension of the WB-Assisted Mindanao Rural Development Project (MRDP) II,"The project involves four components, namely: 
  a. Investments for Governance Reform and Program Administration (IGRPA); 
  b. Rural Infrastructure (RI); 
  c. Community Fund for Agricultural Development (CFAD); and, 
  d. Natural Resource Management (NRM).",Department of Agriculture,"7,390.24",World Bank,"Agriculture, Agrarian Reform, Environment and Natural resources","> 2 Aug 2012
 > 11 May 2012
 > 3 Apr 2012","> 2 Aug 2012
 > 11 May 2012",> 29 Nov 2012,July 2007 - December 2014,"Regions - IX, X, XI, XII, Caraga and ARMM","Under Implementation.
 
 The NEDA Board during its 29 November 2012 meeting confirmed the ICC-CC's approval of the two-year extension of the MRDP II. New closing date is 31 December 2014.","ICC/NB requirements fully complied.
 
 The NEDA Board during its 29 November 2012 meeting confirmed the ICC-CC's approval of the two-year extension of the MRDP II.","Under Implementation..
 
 Two-year extension granted. New closing date is 31 December 2014."
"Jalaur River Multi-Purpose Project, Stage II","- Irrigation facility designed with provisions for a future hydro-electric power plant and bulk water supply, both being considered for public-private partnership (PPP) implementation as part of the Jalaur River development program;
 - Involves the constr",Department of Agriculture,"11,212.13",Korea-EDCF,Infrastructure,"> 25 Nov 2011
 > 14 Nov 2011",> 15 Dec 2011,> 22 Mar 2012,2012-2016,Region VI - Iloilo,"Under Implementation.
 
 Project was issued ""Writ of Kalikasan"" by the Supreme Court on 31 October 2013. NIA has committed to respond to the SC order as issuance of NTP for detailed design is contingent on settling the said issue.","The NB confirmed the ICC approval of the project, with the understanding that NIA shall submit: 
 a) Department of Budget and Management-certified budget strategy - Complied
 b) ECC issued by DENR-EMB;
 c) Free Prior and Informed Consent (FPIC) Certificate from NCIP;
 d) ROWA-RAP; and
 e) DOF-CAG endorsement
 
 DA and NIA to also coordinate with the PPP Center on the power generation facility, which is being considered as a follow-through component of the project.
 
 NEDA issued on 12 October 2012, a certification on DA-NIAÕs compliance with the above NEDA Board conditions. The NEDA certification was with the understanding that DA-NIA will submit documentations of performance of the following NEDA Board conditions prior to construction of any infrastructure under the project, or as may be approved/required by the NCIP as applicable: (1) submission of FPIC Certificate for project implementation from the NCIP; and (2) coordination with the PPP Center on the power generation facility which is being considered as a follow-through component of the project.","Under Implementation..
 
Project was issued ""Writ of Kalikasan"" by the Supreme Court on 31 October 2013. NIA has committed to respond to the SC order as issuance of NTP for detailed design is contingent on settling the said issue."
Public Financial Management Project,The program will be implemented in two phases. The first phase of activities will be developed in the program implementation. The implementation of the second phase of program activities will depend on the results of the mid-term review.,Department of Budget and Management,"1,290.00",AusAID,Governance and Institutions Development,> 15 Dec 2010,> 8 Feb 2011,"> 06 Jun 2011
> 17 May 2011",2011-2015,Nationwide,"Under Implementation.
 
 Out of the 9 program outcomes, 5 are on track, 2 are on caution and 2 have no rating (activities yet to be developed), an improvement compared to last quarter (September 2013) results of 4 on track, 3 on caution and 2 still with no rating. About 69% (A$5.8M) was obligated and 44% (A$3.7M) was disbursed out of the programÕs A$8.5 million budget for 2011Ð2012. Overall, the program currently have an estimated savings of A$1.8 million.",,"Under Implementation..
 
 Out of the 9 program outcomes, 5 are on track, 2 are on caution and 2 have no rating (activities yet to be developed), an improvement compared to last quarter (September 2013) results of 4 on track, 3 on caution and 2 still with no rating. About 69% (A$5.8M) was obligated and 44% (A$3.7M) was disbursed out of the programÕs A$8.5 million budget for 2011Ð2012. Overall, the program currently have an estimated savings of A$1.8 million. 
 
 The Subsidiary Arrangement between the GOP and GOA was signed on 15 Sept 2011
 
 Status as of Sept 2012:
 Out of the 9 program outcomes, 4 are on track, 3 are on caution and 2 have no rating (activities yet to be developed).
 
 Ten out of the thirteen activities in the 2011-2012 Annual Action Plan were mobilized.
 
 About 69% (A$5.8M) was obligated and 44% (A$3.7M) was disbursed out of the programÕs A$8.5 million budget for 2011Ð2012. Overall, the program currently have an estimated savings of A$1.8 million."
Basic Education Assistance for Muslim Mindanao/DepEd,"The project has the following components:
  (a) Component 1. Early Childhood Education and Basic Education
  (b) School Health and WASH Facilities
  (c) Tech-Voc Training and Skills Development for OSCY
  (d) Alternative Delivery Model",Department of Education,"3,927.00",AusAID,Social Development,> 22 Jul 2011,> 17 Aug 2011,"> 18 Sept 2012
 > 22 March 2012",2012-2018,"ARMM - Basilan, Lanao del Sur, Tawi-Tawi, Sulu, Maguindanao, Lamitan City and Marawi City","Under Implementation.
 
 As of December 2013, physical Accomplishment: 

With time elapsed 63.43%, BEAM - ARMM is on track towards achieving end-of-program targets. The Program reported susbtantial accomplishments for Component 1 and Component 4 with some end - of - program indicators already achieved. 

Component 3 results indicators are still at the early stages of implementation hence there are no reported outputs yet.","The NEDA Board confirmed the ICC-CC's approval of the project with instruction for:
 a) ARMM and DepEd to indicate in the.output of the ""Trained Parents and COmmunity Members"" activity under the School Health Component of the project the overall total number of parents and community members who will be trained on health issues in schools, irrespective of funding source, and highlighting those funded by the BEAMARMM project.
 
 b) PCDSPO to include in the next State of the Nation Address (SaNA) the issue
 on the lack of well-trained school heads in ARMM due to a politicized
 promotion process and the Administration's efforts to address this through the
 BEAM-ARMM project. among others.
 
 Update:
 DepEd ARMM in its email to the NEDA Secretariat on 13 Feb 2013 informed the following: 
 - For the School Health Component, 9,700 participants will be trained in health issues in schools (nurses, teachers, school heads, parents and community members). It is for them to give us the breakdown for the parents and community members.
 - On the second issue, the BEAM-ARMM design, the program will also help improve governance of basic education in the region. Systems, processes and structures will be improved, as part of the intervention. basically, this would be addressed in the governance component.","As of December 2013
 > Physical Accomplishment: 
 With time elapsed 63.43%, BEAM - ARMM is on track towards achieving end-of-program targets. The Program reported susbtantial accomplishments for Component 1 (Basic Education Improvement), Component 2 (School Health Habits and WASH (Implementing Partner: GIZ)
 and Component 4 (Alternative Education Model (Implementing Partner: BRAC Philippines) with some end - of - program indicators already achieved. 
 Component 3 (Technical Vocational Training and Education) results indicators are still at the early stages of implementation hence there are no reported outputs yet.
 
 > Financial Status:
 Utilization rate of 44.46% or US$39. 50 million out of the US$88.84 million (AusAID figures)."
