particulars,functions_programs_projects_1,functions_programs_projects_2,functions_programs_projects_3,code,appropriations,allotments,obligations,balances_of_appropriations,balances_of_allotments
April 20 Percent Economic Development Fund 2013,Social Sector,Health and Sanitation,Environmental Sanitation Project,8919-300-1,300000,-,-,300000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Water System,"KALAHI CIDDS Counterpart (Construction of Water System), Gig.",300-2,500000,-,-,500000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Water System,"KALAHI CIDDS Counterpart (Construction of Water System), Viga",300-3,500000,-,-,500000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),Establishment of Training Center,300-4w,7000000,-,-,7000000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Resettlement Project, San Isidro Village, Vrc",300-4x,1000000,-,-,1000000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Improvement or Construction of Bote Multi-Purpose Hall, Bato",300-4a,100000,-,-,100000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Construction of Calatagan Tibang Multi-Purpose Hall, Virac",300-4b,326720,326720,-,326720,326720
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Construction of Simamla Brgy. Multi-Purpose Hall, Virac",300-4c,400000,400000,-,400000,400000
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),Construction of 2-Storey Multi-Purpose Hall Bldg. Phase I (with counterpart from San Andres),300-4d,500000,-,-,500000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Construction of Lumabao Multi-Purpose Hall, Pandan",300-4e,200000,-,-,200000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Construction of Napo Brgy. Multi-Purpose Hall, Pandan",300-4f,250000,-,-,250000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Construction of Almojuela Brgy. Multi-Purpose Hall, Viga",300-4g,300000,-,-,300000,-
