particulars_1,particulars_2,particulars_3,ldrrmf_quick_response_fund_(qrf)_30%,ldrrmf_mitigation_fund_70%,ndrrmf,from_other_lgu,from_other_sources,total
april,Sources of Funds,Current Approp,4756765.5,10793119.5,-,-,-,15549885
april,Sources of Funds,Continuing Approp,4243696.5,8315716.5,-,-,-,12559413
april,Sources of Funds,Prev Year's Approp transferred to the Special Trust Fund,-,-,-,-,-,-
april,Sources of Funds,Transfers or Grants,-,-,-,-,-,-
april,Total Funds Available,Total Funds Available,9000462,19108836,-,-,-,28109298
april,Utilization,Travelling,-,-,-,-,-,-
april,Utilization,Training,-,-,-,-,-,-
april,Utilization,Office supplies,-,-,-,-,-,-
april,Utilization,Animal Supplies,-,-,-,-,-,-
april,Utilization,Food Supplies,-,1499750,-,-,-,-
april,Utilization,Drugs and Medicines,-,-,-,-,-,-
april,Utilization,"Gasoline, Oil an Lubricants",-,-,-,-,-,-
april,Utilization,R or M-Other Structures,-,-,-,-,-,-
april,Utilization,Other OMOE-Calamity,-,52000,-,-,-,52000
april,Utilization,General Services,-,-,-,-,-,-
april,Utilization,IT Equipment and Software,-,-,-,-,-,-
april,Utilization,Communication Equipment,-,-,-,-,-,-
april,Utilization,Other PPE,-,-,-,-,-,-
april,Utilization,Transfer to Other LGUs,-,-,-,-,-,-
april,Total Utilization,Total Utilization,-,1551750,-,-,-,1551750
april,Unutilized Balance,Unutilized Balance,9000462,17557086,-,-,-,26557548
may,Sources of Funds,Current Approp,4756765.5,9273369.5,-,-,-,14030135
may,Sources of Funds,Continuing Approp,4243696.5,8283716.5,-,-,-,12527413
may,Sources of Funds,Prev Year's Approp transferred to the Special Trust Fund,-,-,-,-,-,-
may,Sources of Funds,Transfers or Grants,-,-,-,-,-,-
may,Total Funds Available,Total Funds Available,9000462,17557086,-,-,-,26557548
may,Utilization,Travelling,-,42240,-,-,-,42240
may,Utilization,Training,-,12000,-,-,-,12000
may,Utilization,Office supplies,-,-,-,-,-,-
may,Utilization,Animal Supplies,-,47972,-,-,-,47972
may,Utilization,Food Supplies,-,-,-,-,-,-
may,Utilization,Drugs and Medicines,-,100000,-,-,-,-
may,Utilization,"Gasoline, Oil and Lubricants",-,44000,-,-,-,44000
may,Utilization,R or M-Other Structures,-,9125,-,-,-,9125
may,Utilization,Other OMOE-Calamity,-,30120,-,-,-,30120
may,Utilization,General Services,-,-,-,-,-,-
may,Utilization,IT Equipment and Software,-,-,-,-,-,-
may,Utilization,Communication Equipment,-,-,-,-,-,-
may,Utilization,Other PPE,-,-,-,-,-,-
may,Utilization,Transfer to Other LGUs,-,-,-,-,-,-
may,Total Utilization,Total Utilization,-,241897,-,-,-,241897
may,Unutilized Balance,Unutilized Balance,9000462,17315189,-,-,-,26315651
june,Sources of Funds,Current Approp,4756765.5,9031472.5,-,-,-,13788238
june,Sources of Funds,Continuing Approp,4243696.5,8283716.5,-,-,-,12527413
june,Sources of Funds,Prev Year's Approp transferred to the Special Trust Fund,-,-,-,-,-,-
june,Sources of Funds,Transfers or Grants,-,-,-,-,-,-
june,Total Funds Available,Total Funds Available,9000462,17315189,-,-,-,26315651
june,Utilization,Travelling,-,-,-,-,-,-
june,Utilization,Training,-,95000,-,-,-,95000
june,Utilization,Office supplies,-,-,-,-,-,-
june,Utilization,Animal Supplies,-,-,-,-,-,-
june,Utilization,Food Supplies,-,-,-,-,-,-
june,Utilization,Drugs and Medicines,-,-,-,-,-,-
june,Utilization,"Gasoline, Oil and Lubricants",-,-,-,-,-,-
june,Utilization,R or M-Other Structures,-,-,-,-,-,-
june,Utilization,Other OMOE-Calamity,-,18000,-,-,-,18000
june,Utilization,General Services,-,-,-,-,-,-
june,Utilization,IT Equipment and Software,-,-,-,-,-,-
june,Utilization,Communication Equipment,-,-,-,-,-,-
june,Utilization,Other PPE,-,-,-,-,-,-
june,Utilization,Transfer to Other LGUs,-,-,-,-,-,-
june,Total Utilization,Total Utilization,-,113000,-,-,-,113000
june,Unutilized Balance,Unutilized Balance,9000462,17202189,-,-,-,26202651
