particulars_1,particulars_2,ldrrmf_quick_response_fund_(qrf)_30%,ldrrmf_mitigation_fund_70%,ndrrmf,from_other_lgu,from_other_sources,total,,,,,,,
Sources of Funds ,Current Approp,4756765.5,11099119.5,-,-,-,15855885,,,,,,,
Sources of Funds ,Continuing Approp,4510513.9,8103899.2,-,-,-,12614413,,,,,,,
Sources of Funds ,Prev Year's Approp transferred to the Special Trust Fund,-,-,-,-,-,-,,,,,,,
Sources of Funds ,Transfer or Grants,-,-,-,-,-,-,,,,,,,
Total Funds Available,Total Funds Available,9267279.4,19203018.6,-,-,-,28470298,,,,,,,
Utilization,Travelling ,-,100240,-,-,-,100240,,,,,,,
Utilization,Training,35000,261295,-,-,-,296295,,,,,,,
Utilization,Office Supplies,-,24070,-,-,-,24070,,,,,,,
Utilization,Animal Supplies,-,232505,-,-,-,232505,,,,,,,
Utilization,Food Supplies,199340.6,1599500,-,-,-,1798930.6,,,,,,,
Utilization,Drug and Medicines,-,399990,-,-,-,399990,,,,,,,
Utilization,"Gasoline, Oil and Lubricants",-,775440,-,-,-,775440,,,,,,,
Utilization,Other Supplies Expenses,-,9990,-,-,-,9990,,,,,,,
Utilization,R/M- Other Structure,-,220814,-,-,-,220814,,,,,,,
Utilization,"R/M- Irrigation, Canals",-,-,-,-,-,-,,,,,,,
Utilization,Other MOE - Calamity,52000,237120,-,-,-,289120,,,,,,,
Utilization,General Services,-,14000,-,-,-,14000,,,,,,, 
Utilization,IT Equipment and Software,-,113300,-,-,-,113300,,,,,,,
Utilization,Communication Equipment,-,101500,-,-,-,101500,,,,,,,
Utilization,Other PPE,-,330750,-,-,-,330750,,,,,,,
Utilization,Office Building,-,2400000,-,-,-,2400000,,,,,,,
Utilization,Check Point,-,63333.5,-,-,-,63333.5,,,,,,,
Utilization,Work or Other Animals,-,-,-,-,-,-,,,,,,,
Utilization,Transfer to other LGU's,-,-,-,-,-,-,,,,,,,
Total Utilization,Total Utilization,286430.6,6883847.5,-,-,-,71702787.1,,,,,,,
Unutilized Balance,Unutilized Balance,8980848.8,12319171.1,-,-,-,21300019.9,,,,,,,
