psgc_brgy,own_house_and_lot_or_owner_like_possession_of_house_and_lot,rented_house_or_room_including_lot,own_house_but_rented_lot,own_house_rent_free_ lot_with_consent_of_owner,own_house_rent_free_lot_without_consent_of_owner,rent_free_house_and_lot_with_consent_of_owner,rent_free_house_and_lot_without_consent_of_owner
112408021,77,1,15,114,2,20,0
112409001,251,3,2,119,7,101,3
112409002,158,9,36,293,5,45,0
112409003,347,1,2,496,4,55,0
112409004,78,2,3,225,7,15,0
112409005,833,5,10,242,10,103,0
112409006,519,27,106,489,22,110,0
112409007,111,4,24,217,12,24,1
112409008,176,7,21,379,36,48,0
112409010,89,1,14,105,9,24,0
112409011,135,0,14,205,33,60,2
112409012,316,5,29,325,3,83,1
112409013,525,0,6,192,1,33,0
112409016,182,4,4,310,1,30,0
112409017,553,9,15,391,5,39,2
112409018,141,4,82,167,10,35,1
112409022,1562,23,42,469,6,31,2
112409023,159,3,2,121,6,16,0
112409024,254,8,98,377,15,76,0
112409025,473,3,1,190,3,28,0
112409027,104,3,9,169,5,14,0
112409030,285,4,4,362,25,40,0
112409031,730,4,13,292,3,66,0
112409032,944,216,1021,813,53,272,6
112409033,364,3,48,463,27,76,2
112409036,285,1,14,245,44,38,0
112409037,165,3,7,113,19,31,0
112409038,273,3,11,329,9,50,0
112409039,115,3,3,250,6,42,0
112409040,202,4,4,587,2,62,0
112409041,321,2,1,116,8,42,1
112410001,94,0,1,86,1,22,1
112410002,50,0,1,53,7,17,0
112410003,28,0,0,46,1,11,1
112410004,133,2,33,190,14,42,2
112410005,47,2,2,97,1,21,0
112410006,80,1,4,200,1,53,0
112410007,79,3,2,95,7,40,0
112410008,48,0,0,58,0,15,0
112410009,218,0,1,18,2,17,0
112410010,153,3,2,73,1,36,4
112410012,146,4,18,108,3,47,2
112410013,83,1,1,58,1,38,1
112410014,27,0,0,175,5,49,0
112410015,48,0,3,71,5,14,1
112410016,67,1,31,105,0,27,0
112410017,36,0,4,63,0,30,0
112410019,67,0,4,92,3,45,0
112410021,85,7,6,111,11,19,0
112410022,180,6,20,277,1,109,0
112410023,187,3,2,176,8,65,0
112410024,68,1,4,96,0,38,0
112410025,86,3,2,165,0,70,0
112410026,88,9,67,236,9,103,0
112410027,206,3,4,62,3,33,4
112410028,51,1,3,104,5,41,1
112410029,34,1,5,52,2,19,0
112410030,58,0,1,74,9,10,3
112410031,69,1,4,23,4,9,0
112410032,48,7,6,153,10,23,0
112410033,158,9,23,229,8,118,2
112410034,23,0,0,66,3,31,0
112410035,157,4,3,143,12,38,5
112410036,50,0,0,106,0,18,0
112411001,120,40,10,74,0,43,2
112411002,88,6,0,51,0,9,0
112411003,233,14,3,132,2,28,1
112411004,71,0,0,53,7,10,0
112411005,141,1,0,88,0,18,0
112411006,127,0,0,113,7,8,1
112411007,24,11,14,19,1,14,0
112411008,104,3,2,87,1,14,0
112411009,127,3,1,64,1,10,0
112411010,115,11,25,71,1,24,0
112411011,103,6,11,59,2,18,0
112411012,65,10,2,67,1,19,0
112411013,87,6,12,126,8,29,0
112411014,99,12,2,108,1,28,0
112411015,77,2,2,112,1,10,0
112411016,286,2,1,121,1,25,1
112411017,157,1,0,100,1,16,0
112412001,135,36,63,1135,7,92,0
112412002,99,50,12,612,2,64,0
112412003,181,27,30,660,28,81,3
112412004,149,41,15,293,3,94,1
112412005,118,14,2,445,2,58,0
112412006,115,1,2,130,1,31,0
112412009,53,0,1,114,1,13,0
112412010,33,2,0,94,1,16,0
112412011,212,32,15,808,15,98,0
112412013,23,0,1,116,10,24,1
112412014,246,11,11,396,4,80,0
112412015,75,3,0,138,0,27,0
112412016,40,6,2,206,6,20,0
112412017,109,4,0,103,0,14,0
112412018,44,27,19,458,38,79,0
112412019,59,11,109,344,45,36,1
112412020,203,76,128,480,55,165,0
112412021,30,51,109,381,84,63,0
112413001,804,20,20,516,24,131,0
112413002,448,3,4,383,0,22,0
112413003,180,2,5,253,1,5,0
112413004,145,3,15,198,0,19,0
112413005,77,1,2,201,3,9,0
112413006,129,0,0,96,0,9,0
112413007,152,3,6,335,1,47,0
112413008,94,1,0,131,4,7,0
112413009,822,87,120,527,33,141,4
112413010,446,4,8,188,4,12,0
112413011,458,18,25,412,11,84,1
112413012,374,0,1,297,2,18,0
112413013,273,2,4,304,4,31,0
112413014,285,5,1,190,14,12,0
112413015,253,1,2,212,1,3,0
112413016,295,2,3,204,0,7,3
112413018,147,1,2,377,3,9,1
112413019,172,1,2,200,0,11,0
112413020,109,0,0,175,5,17,1
112413021,112,1,0,155,3,5,0
112413022,256,0,0,153,0,3,0
112413023,155,8,3,59,0,1,0
112414001,85,4,0,54,0,10,2
112414002,22,0,1,94,0,10,1
112414003,22,0,0,61,0,4,0
112414004,14,0,11,71,0,3,0
112414005,27,0,0,126,0,10,0
112414006,56,0,0,100,2,14,0
112414007,97,6,9,176,2,34,6
112414008,42,0,1,180,0,12,1
112414009,31,0,0,96,0,5,0
112414010,15,0,1,34,1,2,0
112414011,52,0,6,79,3,6,0
112414012,45,0,7,216,1,16,4
112414013,46,0,47,143,0,20,0
112414014,57,0,1,135,0,12,1
112414015,32,0,0,73,9,15,0
112414016,86,1,1,149,1,22,4
112414017,25,1,1,70,2,13,0
112414018,298,60,80,400,43,127,5
112414020,28,1,1,90,1,16,0
112414021,56,0,4,125,0,14,0
112414022,51,3,14,139,1,13,0
112414023,64,0,1,150,0,15,6
112414024,68,4,3,212,1,27,6
112414025,75,1,1,159,5,21,2
112414026,35,0,4,191,0,11,0
112415001,157,6,3,305,18,76,0
112415002,194,6,6,279,7,24,2
112415003,154,6,0,284,11,38,1
112415004,366,22,15,523,30,116,0
112415005,162,3,7,331,31,52,1
112415006,174,5,12,222,12,41,0
112415007,62,3,2,376,19,94,1
112415008,85,1,7,162,18,31,0
112415009,106,0,20,134,5,14,1
112415010,24,1,0,248,7,29,0
112415011,87,0,12,166,17,85,2
112415012,91,1,1,152,2,11,0
112416001,480,5,43,340,1,37,7
112416002,223,6,6,347,6,22,1
112416003,233,2,16,242,1,32,0
112416004,415,8,11,246,6,37,7
112416005,285,13,18,183,6,41,0
112416006,722,7,43,960,9,58,4
112416007,343,7,28,181,1,13,6
112416008,673,17,4,198,4,14,1
112416009,438,12,13,273,7,69,0
112416010,184,2,3,100,1,6,0
112416011,770,25,58,337,0,57,8
112416012,173,4,4,203,3,20,0
112416013,364,3,12,53,1,8,0
112416014,152,3,10,172,4,30,1
112416015,449,5,15,185,4,22,0
112501001,296,9,135,171,6,81,2
112501002,65,1,5,244,2,68,0
112501003,53,1,0,64,10,14,0
112501004,210,1,2,244,0,47,0
112501005,320,1,7,221,22,23,0
112501006,82,2,5,76,27,15,0
112501007,141,0,3,159,0,32,0
112501008,411,83,185,311,25,106,1
112501009,176,4,76,256,4,57,0
112501010,318,15,203,488,81,120,2
112501011,303,58,773,487,51,132,10
112501012,229,3,16,487,3,113,0
112501013,130,1,0,91,4,4,0
112501014,135,1,19,233,1,53,0
112501015,140,1,11,238,3,54,0
112501016,94,3,13,154,0,3,0
112501017,290,22,349,284,6,85,0
112501018,259,15,50,216,7,105,1
112502001,83,6,18,110,4,16,0
112502002,45,1,4,117,19,22,0
112502003,96,7,36,222,19,24,1
112502004,24,0,1,72,2,16,0
112502005,44,19,14,355,5,56,0
112502006,109,0,2,61,1,12,1
112502007,104,25,63,374,12,52,0
112502008,158,9,32,210,34,44,0
112502009,153,8,19,188,5,27,0
112502010,59,7,8,251,2,19,0
112502011,171,12,0,157,9,37,1
112502012,382,87,125,334,18,131,3
112502013,146,14,19,156,7,38,0
112502014,108,10,23,121,13,37,0
112503001,144,1,14,185,8,25,2
112503002,176,4,0,81,1,32,0
112503003,49,3,13,94,5,39,0
112503004,145,10,69,240,23,51,3
112503005,141,6,45,155,10,43,1
112503006,41,2,1,185,9,15,0
112503007,122,4,25,95,3,20,0
112503008,58,0,0,88,52,21,1
112504001,59,0,2,60,8,5,0
112504002,123,2,4,29,0,9,0
112504004,86,4,0,63,0,8,0
112504005,176,3,2,88,4,15,0
112504006,155,3,1,93,11,12,1
112504007,114,3,0,50,2,18,0
112504008,159,2,2,105,11,5,0
112504009,468,17,3,57,21,9,0
112504010,324,23,30,258,6,66,1
112504011,194,1,10,62,9,13,0
112504012,95,2,10,95,10,42,1
112504013,255,7,10,86,5,6,0
112504014,75,2,0,69,2,9,0
112504015,274,6,1,190,4,33,0
112504016,203,10,0,57,7,22,0
112504017,228,13,8,147,7,81,0
112504018,484,18,17,177,2,38,1
112505001,135,1,17,167,2,15,0
112505002,177,0,14,164,2,18,0
112505003,195,4,3,31,3,12,1
112505004,112,0,6,148,1,23,2
112505005,97,0,7,78,1,13,0
112505009,119,3,10,52,11,19,1
112505010,160,4,30,175,1,5,2
112505011,219,1,1,61,0,7,3
112505012,182,1,19,159,1,41,1
112505013,349,2,15,277,2,22,0
112505014,101,0,0,73,1,12,0
112505015,251,9,10,227,2,24,3
112505016,76,0,4,81,0,18,0
112505017,116,3,19,103,2,4,1
112505018,235,5,36,436,13,83,1
112505019,309,32,78,309,10,51,2
112506001,37,2,0,115,2,22,0
112506002,81,15,12,179,26,62,4
112506003,61,0,14,126,11,44,1
112506004,46,2,23,356,20,45,1
112506005,105,11,10,276,14,63,0
112506006,78,2,16,242,35,66,0
112506007,37,7,10,120,23,28,0
112506008,93,59,72,282,16,82,1
112506009,84,0,0,118,0,30,0
112506010,120,18,20,265,7,65,1
112506011,48,4,10,255,29,30,6
112506012,50,1,1,203,7,37,0
112506013,77,1,2,258,9,37,1
112506014,30,1,4,263,23,29,2
112506015,44,3,14,144,9,44,0
112506016,52,3,22,147,11,26,0
112506017,49,72,193,407,21,106,2
112506018,57,24,12,328,2,55,0
112506019,25,5,2,102,0,27,0
112506020,52,3,0,131,2,52,0
112507001,199,15,15,497,17,88,2
112507003,81,2,4,153,8,38,5
112507006,310,19,71,188,5,59,0
112507008,123,1,2,186,4,36,0
112507009,111,6,3,252,8,52,0
112507010,318,10,40,242,6,40,0
112507011,122,10,3,498,11,62,0
112507013,85,2,2,137,1,36,0
112507014,28,0,1,39,0,6,0
112507015,84,6,1,177,2,37,0
112507016,57,1,23,233,4,24,0
112507017,31,0,0,92,13,7,0
112507019,78,1,1,91,2,15,0
112507021,301,8,3,300,5,27,0
112507022,475,32,45,202,7,85,0
112507024,11,1,0,68,11,12,0
112507028,240,99,223,582,115,119,6
112507029,65,3,2,209,18,25,0
112507030,57,0,1,49,4,19,0
112507032,76,1,0,202,26,28,1
112507033,165,5,36,189,38,36,1
112508001,90,9,1,14,0,9,0
112508002,94,4,3,46,3,34,0
112508003,634,49,245,473,41,133,0
112508004,71,1,2,36,0,9,0
112508006,171,6,2,80,4,15,0
112508007,126,3,1,50,4,4,0
112508008,149,11,13,127,2,21,0
112508009,69,0,1,5,1,3,0
112508010,45,0,0,37,0,4,0
112508011,392,13,0,196,2,13,0
112508012,213,3,0,50,1,10,0
112508013,136,8,0,29,1,7,0
112508014,355,36,146,363,9,100,2
112508015,166,6,11,84,0,16,0
112508016,284,8,1,126,6,6,0
112508017,116,1,6,170,3,35,0
112508018,111,3,2,34,0,10,0
112509001,175,11,1,727,106,82,1
112509002,245,1,0,551,3,84,0
112509003,138,4,2,254,18,28,0
112509004,145,3,0,167,4,19,0
112509005,416,309,189,1556,735,604,6
112509006,86,0,0,87,0,18,0
112509007,312,67,3,727,77,190,2
112509008,47,0,9,83,0,14,0
112509009,255,13,5,466,2,54,0
112509010,129,7,6,369,27,68,1
112509011,177,3,2,373,24,45,1
112509012,370,13,0,398,3,89,1
112509013,110,0,1,111,4,18,0
112509015,211,2,13,277,18,51,1
112509016,188,3,18,218,4,49,0
112509017,78,0,0,137,3,7,0
112509018,254,15,17,338,6,58,0
112509019,206,9,1,210,3,41,0
112509020,155,66,9,698,284,203,7
112509021,146,6,2,429,42,63,0
112509022,216,42,38,571,46,124,4
112509023,92,0,1,169,1,17,1
112509024,44,6,2,226,18,63,0
112509025,137,0,0,146,5,21,0
112509026,130,7,7,263,3,35,0
112509027,130,3,0,441,15,42,0
112510001,122,4,21,281,4,20,0
112510003,122,4,1,231,4,59,0
112510004,50,0,0,145,0,34,0
112510005,123,3,5,144,0,41,0
112510006,50,7,9,91,9,17,0
112510007,213,17,4,497,2,135,1
112510008,68,1,3,66,2,9,0
112510009,85,1,12,82,3,21,0
112510010,105,3,3,199,1,70,0
112510011,45,0,0,53,0,17,0
112510012,380,53,144,351,15,126,4
112510013,115,2,4,82,2,18,0
112510014,141,10,39,214,1,23,0
112510015,110,5,4,55,3,29,0
112510016,71,0,2,92,0,11,0
112510017,156,2,9,286,3,25,1
112511001,128,2,9,441,28,201,0
112511002,310,25,46,358,61,143,10
112511003,103,5,2,163,26,74,3
112511004,165,4,5,264,14,147,0
112511005,197,10,3,292,51,94,0
112511006,187,4,0,237,10,174,0
112511007,149,0,0,199,18,86,0
112511008,112,0,2,122,8,72,1
112511010,169,4,2,315,9,110,0
112511011,364,3,4,360,38,114,0
118201001,37,17,0,180,4,29,0
118201002,455,16,2,193,0,50,0
118201003,101,2,3,207,6,64,0
118201004,241,11,31,391,5,64,1
118201005,87,9,2,153,4,59,1
118201006,168,9,5,226,40,50,1
118201007,210,26,31,221,4,63,0
118201008,356,38,125,628,11,234,0
118201009,351,27,34,271,4,124,4
118201010,94,0,1,36,4,12,0
118201011,978,433,140,1208,45,420,2
118201012,130,3,29,233,4,93,5
118201013,519,49,81,262,5,101,4
118201014,166,19,28,184,2,96,2
118201015,133,14,9,224,0,46,0
118201016,65,1,5,175,8,76,2
118202001,526,6,25,161,8,57,1
118202002,177,2,11,57,3,51,1
118202003,159,2,2,72,6,21,1
118202004,161,0,2,106,3,29,0
118202005,84,7,1,293,1,8,1
118202006,250,16,10,190,7,104,0
118202007,490,23,56,277,14,107,3
118202008,105,4,0,278,2,2,0
118202009,268,6,11,58,5,94,0
118202010,197,2,0,74,7,28,1
118202011,160,4,3,333,7,52,0
118202012,225,2,45,194,4,53,0
118202013,93,0,21,72,6,15,0
118202014,855,79,69,227,32,175,6
118202015,304,6,8,124,5,67,2
118202016,303,11,35,108,3,56,0
118202017,138,2,13,437,14,19,0
118202018,234,7,6,48,9,47,0
118202019,67,0,0,31,4,6,0
118202020,171,5,12,29,2,11,0
118202021,227,5,15,54,3,24,1
118202022,146,1,18,67,4,25,1
118202023,264,2,3,51,4,50,0
118202024,93,2,0,112,2,16,0
118202025,8,0,0,133,2,7,0
118202026,10,0,0,126,0,10,0
118202027,159,3,13,83,4,17,0
118202028,236,4,6,117,5,54,0
118202029,133,3,10,67,5,32,0
118202030,361,3,5,81,3,62,1
118202031,82,1,4,18,1,2,0
118202032,64,3,107,53,1,3,0
118202033,133,2,0,94,3,25,0
118202034,144,8,2,265,3,42,0
118202035,82,0,1,36,1,5,0
118202036,108,1,7,35,3,51,0
118202037,80,3,0,128,1,16,0
118202038,186,2,19,62,1,30,2
118202039,157,1,2,12,3,41,0
118202040,112,4,2,45,1,21,1
118203002,229,10,5,527,3,80,0
118203006,397,34,74,322,26,72,1
118203007,208,50,54,424,14,99,0
118203011,176,18,72,428,4,49,1
118203012,387,48,19,322,7,88,0
118203013,126,4,55,199,3,60,3
118203014,119,4,8,260,7,54,0
118203015,103,2,0,154,2,32,0
118203016,739,15,20,210,8,128,0
118203017,136,4,4,131,1,31,0
118203018,170,10,10,126,2,37,0
118204001,104,11,35,163,2,43,2
118204002,67,22,5,157,33,52,2
118204003,175,36,67,307,2,94,2
118204004,78,3,0,120,5,27,1
118204005,34,0,0,44,1,31,1
118204006,150,10,9,229,3,59,1
118204007,187,9,27,224,4,37,0
118204008,321,25,6,162,3,133,13
118204009,193,10,7,170,4,47,0
118204010,83,2,0,42,0,3,1
118204011,164,27,40,235,11,84,3
118204012,50,6,11,120,5,99,0
118204013,33,6,23,61,11,26,2
118204014,44,3,0,146,3,22,0
118204015,260,3,24,220,2,44,0
118204016,88,7,2,69,0,28,0
118204017,30,4,57,83,0,10,0
118204018,11,0,0,106,1,9,0
118204019,203,13,2,64,4,28,0
118204020,55,0,0,56,6,13,2
118204021,66,2,1,84,10,18,0
118204022,19,2,0,65,5,30,0
118204023,33,0,1,121,0,8,1
118204024,316,16,55,137,7,47,16
118204025,156,6,1,98,6,26,0
118204026,99,57,22,168,630,79,20
118204027,23,19,57,142,10,27,0
118204028,58,8,18,80,4,28,1
118204029,45,1,3,56,0,8,0
118204030,45,0,0,66,0,15,0
118204031,54,3,1,50,1,25,0
118204032,65,2,0,37,0,10,0
118204033,148,11,10,87,3,36,3
118204034,64,0,0,52,0,9,0
118204035,38,3,8,70,4,9,0
118204036,210,6,3,61,3,30,1
118204037,67,7,1,144,22,14,0
118205001,357,41,22,59,5,53,0
118205002,426,62,108,212,15,89,0
118205003,1411,361,43,376,81,350,19
118205004,402,17,10,152,20,138,3
118205005,221,18,22,44,3,75,0
118205006,98,0,0,2,0,0,0
118205007,153,16,9,73,4,21,0
118205008,275,24,37,55,16,84,0
118205009,203,7,5,18,3,46,0
118205010,110,7,4,77,3,26,2
118205011,240,1,2,9,1,7,0
118205012,37,0,0,4,2,1,0
118205013,260,6,4,25,5,32,0
118205014,67,1,1,6,1,23,0
118205015,301,43,10,36,6,66,0
118205016,161,20,16,51,2,42,0
118205017,67,2,18,37,0,25,0
118205018,158,2,9,39,7,24,0
118205019,175,8,23,105,6,42,1
118205020,166,6,0,44,3,20,0
118205021,109,3,0,12,3,21,0
118205022,174,11,8,102,2,53,0
118205023,47,2,1,41,1,14,0
118205024,209,12,3,35,4,34,0
118206001,181,43,232,249,7,77,0
118206002,150,5,6,147,19,39,1
118206003,65,5,7,90,8,47,0
118206004,156,9,22,219,1,57,0
118206005,124,8,48,157,7,66,1
118206006,350,27,94,205,19,85,1
118206007,176,110,267,478,8,232,1
118206008,62,4,38,176,0,71,0
118206009,112,4,2,96,13,18,1
118206010,133,13,86,149,5,76,0
118206011,92,6,23,353,22,90,0
118207001,149,10,2,328,56,72,0
118207002,60,12,7,297,0,57,0
118207003,258,18,3,359,68,86,1
118207004,25,1,1,196,41,26,0
118207005,241,15,6,451,39,111,0
118207006,52,2,1,146,2,28,0
118207007,43,11,7,242,23,73,1
118207008,123,8,2,263,24,35,2
118207009,37,5,5,188,2,19,1
118207010,68,2,3,250,9,25,0
118207011,92,8,1,172,53,44,3
118207012,70,12,3,358,63,114,1
118207013,168,54,15,208,66,91,5
118207014,18,1,3,185,21,36,0
118207015,95,2,6,201,24,35,3
118207016,93,1,12,162,17,22,0
118207017,67,9,13,252,29,34,0
118207019,76,12,2,290,20,41,0
118207020,101,13,1,349,9,52,1
118207021,86,8,0,228,8,27,8
118207022,105,231,5,458,11,293,3
118208001,72,2,0,100,1,44,0
118208002,69,2,3,72,1,34,0
118208003,47,2,0,97,0,19,0
118208004,56,5,1,130,0,37,0
118208005,93,4,5,117,1,42,0
118208006,54,0,1,95,4,35,0
118208007,87,4,0,111,2,41,0
118208008,93,6,1,131,1,67,0
118208009,81,3,0,90,1,26,0
118208010,48,1,3,96,2,41,1
118208011,114,5,5,184,1,80,0
118208012,202,5,5,227,9,54,2
118208014,53,2,2,66,0,18,0
118208015,50,1,13,81,1,12,0
118208016,78,0,2,57,11,18,0
118208017,74,21,13,265,9,130,0
118208019,237,3,3,159,8,63,0
118208020,294,123,104,290,19,147,1
118208021,118,0,7,122,1,48,2
118208022,101,7,3,237,12,74,1
118209001,54,5,3,66,2,19,1
118209002,102,6,2,85,10,41,0
118209003,159,4,13,168,23,40,0
118209004,66,0,0,81,1,23,0
118209005,162,13,3,127,2,53,0
118209006,116,7,2,83,8,35,1
118209007,76,10,10,163,4,32,3
118209008,70,7,6,164,6,21,1
118209009,142,6,0,141,19,58,0
118209010,165,3,22,291,12,34,8
118209011,326,85,204,311,26,119,1
118209012,57,12,5,101,0,30,1
118209013,125,5,10,76,6,42,1
118209014,177,9,1,309,5,25,8
118209015,20,0,1,45,10,10,0
118209016,103,11,5,152,10,29,4
118209017,41,3,5,57,10,16,0
118209018,112,6,0,91,11,39,4
118209019,143,94,79,540,27,117,8
118209020,69,2,1,94,8,9,4
118209021,50,4,2,102,6,14,0
118209022,49,0,0,47,2,11,0
118209023,82,26,44,170,1,44,1
118209024,73,8,14,47,2,27,0
118209025,29,1,3,53,0,8,0
118209026,135,4,23,86,2,26,0
118209027,70,5,3,69,2,10,4
118209028,377,40,10,110,5,60,2
118210001,173,39,38,212,14,75,1
118210002,93,1,2,75,1,10,0
118210003,512,55,14,254,9,51,0
118210004,56,1,8,83,3,24,0
118210005,139,1,0,49,1,20,0
118210006,141,4,12,97,2,50,0
118210007,100,8,8,92,1,10,0
118210008,112,9,7,87,0,22,4
118210009,69,0,1,40,3,11,0
118210010,238,16,25,244,11,80,1
118210011,613,91,71,564,20,135,2
118210012,128,2,9,134,5,40,0
118210013,568,11,57,446,20,85,0
118210014,103,1,2,157,2,18,1
118210015,121,3,0,118,2,14,0
118210016,174,4,1,24,1,8,0
118211001,431,14,44,259,6,68,0
118211002,295,10,46,127,15,67,2
118211003,180,6,20,312,30,65,0
118211004,1510,287,207,1088,246,252,19
118211005,776,22,5,420,10,115,0
118211006,238,5,14,136,47,56,1
118211007,712,39,16,534,236,221,19
118211009,335,8,26,241,7,52,0
118211010,277,21,38,185,47,76,4
118211011,322,20,59,124,4,36,1
118211012,102,9,9,29,0,31,0
118211013,246,21,1,49,1,33,1
118211014,306,51,49,144,42,46,0
101301001,65,0,4,32,0,24,0
101301002,129,2,2,50,1,46,0
101301003,252,4,16,159,20,111,3
101301004,86,0,3,46,7,29,0
101301005,66,1,4,30,7,21,0
101301006,100,1,0,58,0,35,1
101301007,307,15,2,228,6,140,4
101301008,380,22,5,317,12,188,2
101301009,184,2,7,81,6,82,0
101301010,128,2,3,75,2,58,6
101301011,121,3,17,175,2,94,7
101301012,557,20,3,257,19,157,0
101301013,216,2,23,128,3,102,12
101301014,284,7,1,218,6,125,5
101301015,210,1,2,131,2,96,7
101301016,112,0,10,70,9,43,1
101302001,84,2,0,23,0,4,0
101302002,241,6,0,72,5,18,0
101302003,199,1,2,64,1,10,0
101302004,92,1,2,36,1,11,0
101302005,58,0,2,40,0,15,0
101302006,73,0,2,55,0,13,0
101302007,173,3,1,40,0,23,1
101302008,138,8,1,109,1,33,0
101302009,117,1,1,49,0,17,0
101302010,188,4,0,52,1,17,2
101302011,78,1,5,111,3,34,0
101302013,168,5,0,74,3,50,4
101302014,190,1,3,269,1,67,0
101302015,437,46,16,265,13,125,5
101302016,114,1,0,69,0,21,0
101302017,304,23,15,85,1,51,0
101302019,76,0,1,26,0,6,3
101303001,129,15,2,222,3,58,0
101303002,75,0,0,58,2,6,0
101303003,99,1,1,101,1,29,0
101303004,128,4,9,113,1,35,0
101303005,170,2,1,141,3,36,0
101303006,39,3,1,71,3,20,0
101303007,84,0,1,56,0,24,0
101303008,242,6,0,334,2,59,1
101303009,69,1,1,88,2,32,0
101303010,96,1,1,67,0,24,0
101303011,127,2,1,105,1,22,0
101303012,395,48,11,437,5,182,1
101303013,88,1,1,102,0,6,0
101303014,111,1,1,70,0,12,0
101304001,39,3,0,26,1,9,0
101304002,154,8,1,148,9,50,0
101304003,109,2,2,27,2,35,0
101304004,186,12,0,260,4,68,0
101304005,136,73,4,382,18,156,15
101304006,114,2,3,63,3,40,0
101304008,73,0,3,142,0,35,0
101304009,89,2,24,61,2,52,0
101304010,77,1,0,62,7,38,0
101304011,78,13,7,246,1,76,1
101304012,156,6,2,164,2,77,1
101304013,70,1,0,88,0,19,0
101304014,97,9,2,118,1,61,0
101304015,167,4,2,240,7,100,0
101304016,83,4,0,52,2,28,0
101304017,63,0,0,82,8,25,0
101304018,114,15,0,206,8,83,1
101304019,64,0,1,81,3,18,0
101304020,111,4,8,150,2,55,0
101304021,93,14,2,141,30,66,1
101304022,192,126,11,555,55,196,2
101304023,154,10,6,101,2,76,1
101304024,47,1,3,71,2,22,0
101304025,144,3,0,65,4,43,0
101304026,39,0,0,74,1,18,0
101304027,199,18,23,422,8,77,0
101304028,78,4,0,39,9,33,1
101304029,220,22,2,285,14,183,3
101304030,157,17,9,156,2,35,0
101305001,114,0,2,6,1,52,0
101305002,180,1,2,51,17,73,4
101305003,172,5,3,66,16,81,0
101305004,204,19,4,66,13,45,1
101305005,410,4,2,49,30,41,2
101305006,284,4,4,91,26,24,0
101305007,337,7,4,56,27,120,2
101305008,445,44,33,140,75,127,5
101305010,517,21,8,192,17,194,2
101305011,356,10,9,118,27,97,0
101305012,380,14,5,128,32,156,2
101305013,829,136,75,223,87,223,15
101305015,165,3,4,60,8,82,0
101306001,85,0,5,168,21,26,1
101306002,208,4,6,121,9,69,0
101306003,259,7,4,177,14,48,1
101306004,130,1,14,165,14,68,0
101306005,340,5,14,383,18,183,2
101306006,68,1,0,67,1,9,0
101306007,101,1,0,110,5,49,0
101306008,85,1,0,89,2,28,0
101306009,97,1,20,106,1,33,0
101306010,104,2,3,151,11,44,1
101306011,134,1,11,134,3,29,2
101306012,141,12,9,208,6,76,0
101306013,260,1,5,140,6,37,0
101306014,581,48,65,372,18,215,4
101306015,162,2,8,138,4,66,1
101306016,310,12,1,218,3,106,1
101306017,128,5,9,114,1,31,0
101307001,142,6,5,58,4,46,10
101307002,75,10,2,37,5,81,5
101307003,121,9,9,60,2,60,8
101307004,82,5,0,34,2,48,10
101307005,199,19,2,91,10,66,13
101307006,346,13,6,111,1,98,31
101307007,260,27,35,92,3,73,21
101307008,453,51,31,167,29,198,25
101307009,58,5,3,131,3,74,1
101307010,349,88,18,144,16,181,33
101307012,208,14,9,70,4,52,17
101307013,254,16,28,187,5,90,25
101307014,321,23,5,70,10,80,8
101307015,239,96,15,153,42,59,5
101308003,77,0,0,62,3,29,0
101308006,112,1,2,40,1,33,0
101308007,229,27,1,113,3,91,0
101308008,214,4,1,114,10,70,0
101308011,142,4,1,45,1,40,0
101308013,81,3,2,55,8,28,0
101308014,130,4,1,47,0,19,0
101308015,163,7,2,153,3,67,1
101308016,145,0,3,123,3,84,0
101308018,186,1,4,159,0,97,3
101308019,41,0,0,84,1,8,0
101308020,303,14,9,161,1,89,0
101308021,190,5,3,102,11,39,1
101308023,253,17,3,96,13,81,0
101308028,305,6,7,119,5,77,2
101308030,120,4,2,81,2,42,0
101308031,66,3,2,44,2,43,1
101308032,145,10,1,137,7,44,0
101308033,329,13,20,186,1,134,3
101308034,77,1,1,59,3,22,1
101308035,330,104,8,29,6,74,1
101308036,92,2,0,60,2,32,0
101308037,251,26,15,54,11,47,9
101309001,170,7,5,51,8,38,0
101309002,185,3,6,100,17,71,1
101309003,114,2,4,54,10,44,0
101309004,53,2,0,58,0,22,0
101309005,65,3,10,110,10,20,0
101309006,46,0,5,64,1,26,0
101309007,116,2,0,38,13,41,9
101309009,35,0,1,107,0,26,0
101309010,111,4,13,184,8,86,2
101309011,73,1,1,33,1,30,0
101309012,114,10,8,140,1,45,0
101309013,109,0,2,141,1,11,1
101309014,45,0,0,79,0,19,0
101309015,380,20,12,82,27,92,8
101309019,60,0,4,70,9,28,0
101309020,36,3,7,93,3,40,0
101309021,94,0,4,36,4,25,2
101309022,99,1,9,176,35,15,0
101309023,174,0,6,60,19,28,0
101309025,268,3,5,4,7,14,0
101309026,388,41,39,326,43,88,0
101309028,105,1,15,95,15,62,1
101309029,93,1,5,62,6,33,0
101309030,74,4,3,86,3,25,1
101309031,870,21,12,476,62,303,45
101309032,100,3,1,26,10,26,0
101309033,109,10,4,147,3,47,0
101309034,190,3,22,226,24,36,1
101309035,46,1,1,70,5,37,0
101309037,282,12,10,26,6,21,1
101309038,150,0,2,7,10,1,0
101309039,44,1,15,61,11,19,0
