psgc_brgy,hearing,visual,speech,orthopedic,multiple_ disabilities,mental,other,no_ household_member_is_disabled
175109011,2,3,1,4,1,1,0,488
175109013,1,2,1,2,1,0,1,383
175109014,6,7,6,1,5,2,4,426
175109016,1,2,2,1,0,0,3,275
175109017,2,12,1,4,1,1,2,749
175109018,2,2,1,4,4,0,7,601
175109019,3,5,3,5,5,3,10,941
175109020,2,3,2,0,2,2,5,337
175109021,2,1,2,1,1,0,3,249
175109022,1,3,1,0,2,0,2,348
175109023,0,0,0,0,5,1,6,264
175109024,1,5,1,3,2,3,3,457
175110001,1,1,1,2,0,1,6,324
175110002,6,2,0,1,2,3,1,154
175110003,7,9,7,8,5,10,11,998
175110004,0,1,1,0,0,0,0,85
175110005,0,1,1,1,1,0,0,80
175110006,1,0,0,0,0,1,0,61
175110007,0,0,0,1,1,1,0,155
175110008,0,1,0,2,0,0,0,86
175110009,0,2,0,0,1,0,6,260
175110010,0,1,0,0,0,0,0,47
175110011,0,0,1,0,0,0,2,57
175110012,0,1,0,0,0,0,0,46
175110013,4,15,3,13,5,5,12,795
175110014,2,4,4,2,1,0,6,399
175110015,4,9,2,8,6,7,10,1340
175110016,0,0,0,0,0,0,0,90
175110017,2,0,0,1,0,0,1,302
175110018,6,4,8,10,6,3,18,1749
175110019,0,3,1,3,0,1,4,160
175110020,5,15,8,9,3,2,20,1662
175110021,7,5,1,1,1,4,3,319
175110022,1,1,0,0,0,0,0,95
175110023,0,2,0,0,0,0,0,93
175110024,0,0,1,3,0,2,1,621
175110025,1,3,2,4,3,1,1,429
175110026,4,3,1,10,11,3,4,1126
175110027,2,1,3,2,4,0,0,478
175110028,0,1,1,1,0,0,4,625
175110029,6,9,2,7,3,3,9,572
175110030,2,5,3,2,3,3,6,1217
175110031,13,9,17,14,7,8,30,1094
175110032,2,0,4,0,3,2,2,657
175110033,2,5,2,0,4,0,8,201
175110034,4,17,7,16,13,6,16,1635
175110035,2,3,2,2,2,2,4,392
175110037,2,1,5,8,2,0,4,894
175110038,0,0,0,0,0,0,1,287
175110039,2,15,7,10,11,6,13,2203
175111001,0,0,0,0,0,0,0,0
175111002,0,0,0,0,0,0,0,0
175111003,0,0,0,0,0,0,0,0
175111004,0,0,0,0,0,0,0,0
175111006,0,0,0,0,0,0,0,0
175111007,0,0,0,0,0,0,0,0
175111008,0,0,0,0,0,0,0,0
175111009,0,0,0,0,0,0,0,0
175111010,0,0,0,0,0,0,0,0
175111011,0,0,0,0,0,0,0,0
175111012,0,0,0,0,0,0,0,0
175201001,2,6,2,7,4,3,2,258
175201002,2,2,2,3,1,0,5,335
175201004,2,1,3,2,2,0,5,88
175201005,6,7,2,5,5,1,6,224
175201006,3,4,2,1,2,3,2,281
175201007,2,8,1,3,9,1,13,302
175201008,4,5,3,5,4,1,0,501
175201010,3,3,0,1,2,5,6,125
175201011,1,3,1,2,0,0,1,75
175201012,1,1,1,6,1,2,7,441
175201013,5,1,2,1,1,1,3,143
175201014,4,6,4,8,3,0,11,274
175201015,1,0,0,1,0,2,3,232
175201016,1,3,3,2,0,0,0,191
175201017,2,4,8,5,0,2,0,72
175201018,0,1,0,0,0,0,0,68
175201019,2,2,0,6,1,0,0,380
175201020,2,0,2,2,0,0,3,103
175201021,1,5,2,5,2,1,0,368
175201022,1,2,1,0,0,1,1,372
175201023,1,6,3,3,0,0,2,275
175201024,6,4,4,3,1,1,0,252
175201025,4,5,5,4,4,1,4,271
175201026,1,3,1,1,0,1,0,224
175201027,1,0,1,3,0,0,1,344
175201028,0,4,2,11,5,1,4,150
175201029,1,7,3,6,1,1,22,512
175202001,0,0,0,0,0,0,0,0
175202003,0,0,0,0,0,0,0,0
175202004,0,0,0,0,0,0,0,0
175202005,0,0,0,0,0,0,0,0
175202006,0,0,0,0,0,0,0,0
175202007,0,0,0,0,0,0,0,0
175202008,0,0,0,0,0,0,0,0
175202009,0,0,0,0,0,0,0,0
175202010,0,0,0,0,0,0,0,0
175202011,0,0,0,0,0,0,0,0
175202012,0,0,0,0,0,0,0,0
175202013,0,0,0,0,0,0,0,0
175202014,0,0,0,0,0,0,0,0
175203001,0,0,0,0,0,0,0,0
175203002,0,0,0,0,0,0,0,0
175203003,0,0,0,0,0,0,0,0
175203004,0,0,0,0,0,0,0,0
175203005,0,0,0,0,0,0,0,0
175203006,0,0,0,0,0,0,0,0
175203007,0,0,0,0,0,0,0,0
175203008,0,0,0,0,0,0,0,0
175203009,0,0,0,0,0,0,0,0
175203010,0,0,0,0,0,0,0,0
175203011,0,0,0,0,0,0,0,0
175203012,0,0,0,0,0,0,0,0
175203013,0,0,0,0,0,0,0,0
175203014,0,0,0,0,0,0,0,0
175203015,0,0,0,0,0,0,0,0
175203016,0,0,0,0,0,0,0,0
175203017,0,0,0,0,0,0,0,0
175203018,0,0,0,0,0,0,0,0
175203019,0,0,0,0,0,0,0,0
175203020,0,0,0,0,0,0,0,0
175203021,0,0,0,0,0,0,0,0
175203022,0,0,0,0,0,0,0,0
175203023,0,0,0,0,0,0,0,0
175203024,0,0,0,0,0,0,0,0
175203025,0,0,0,0,0,0,0,0
175203026,0,0,0,0,0,0,0,0
175203027,0,0,0,0,0,0,0,0
175203028,0,0,0,0,0,0,0,0
175203029,0,0,0,0,0,0,0,0
175203031,0,0,0,0,0,0,0,0
175203032,0,0,0,0,0,0,0,0
175203033,0,0,0,0,0,0,0,0
175203034,0,0,0,0,0,0,0,0
175203035,0,0,0,0,0,0,0,0
175203036,0,0,0,0,0,0,0,0
175203037,0,0,0,0,0,0,0,0
175204001,0,0,0,0,0,0,0,0
175204002,0,0,0,0,0,0,0,0
175204003,0,0,0,0,0,0,0,0
175204005,0,0,0,0,0,0,0,0
175204006,0,0,0,0,0,0,0,0
175204007,0,0,0,0,0,0,0,0
175204008,0,0,0,0,0,0,0,0
175204009,0,0,0,0,0,0,0,0
175204010,0,0,0,0,0,0,0,0
175204011,0,0,0,0,0,0,0,0
175204012,0,0,0,0,0,0,0,0
175204013,0,0,0,0,0,0,0,0
175204014,0,0,0,0,0,0,0,0
175204015,0,0,0,0,0,0,0,0
175204017,0,0,0,0,0,0,0,0
175205001,0,2,1,4,1,0,1,193
175205002,1,2,0,1,3,0,4,578
175205003,1,3,0,0,1,2,1,594
175205004,0,0,0,0,0,1,2,181
175205005,2,2,2,0,1,0,2,171
175205006,0,1,3,4,1,3,8,367
175205007,1,5,3,4,1,5,1,332
175205008,0,0,0,1,0,0,0,41
175205009,2,1,0,1,0,0,1,441
175205010,1,2,0,0,1,1,4,132
175205011,2,3,0,1,3,1,4,392
175205012,1,1,1,1,0,0,3,260
175205013,0,1,0,0,2,1,4,477
175205015,1,3,1,3,4,1,15,522
175205016,4,10,0,3,5,4,5,627
175205017,1,0,1,1,2,1,1,608
175205018,3,3,3,5,3,6,4,331
175205019,0,0,0,1,1,3,1,474
175205021,1,3,4,2,1,1,6,330
175205022,1,4,0,1,1,0,6,146
175205023,5,1,1,1,3,1,4,227
175205025,1,0,1,0,4,2,0,185
175205026,1,1,0,4,4,2,0,411
175205027,2,3,1,1,4,2,6,789
175205028,3,3,2,8,4,2,5,711
175205029,2,7,0,2,4,2,11,680
175205030,0,0,0,2,1,2,2,262
175205031,2,4,2,0,2,2,3,890
175205032,0,0,1,1,1,2,6,167
175205033,1,1,5,2,2,1,4,227
175205034,0,1,1,0,6,1,1,137
175205035,0,0,1,1,2,0,2,210
175205036,0,1,1,0,1,1,5,364
175205037,0,1,1,1,4,1,4,711
175205038,0,0,0,0,1,0,2,193
175205039,1,0,1,3,3,0,4,146
175205041,2,1,1,2,3,1,2,479
175205042,1,3,1,2,4,0,2,531
175205043,0,0,1,1,1,0,0,92
175205044,0,0,1,4,2,0,3,398
175205045,2,1,0,2,2,2,6,140
175205046,0,0,0,0,1,0,0,245
175205047,0,3,1,2,1,0,4,268
175205048,2,1,1,5,7,1,6,301
175205049,1,6,2,1,3,1,3,651
175205050,1,0,0,0,0,0,1,61
175205051,1,0,0,0,0,0,5,79
175205052,1,0,2,0,0,0,0,152
175205053,0,0,0,2,2,1,5,122
175205054,0,1,0,2,2,3,4,98
175205055,0,1,0,0,0,0,1,149
175205056,3,1,0,7,0,3,3,557
175205057,0,0,0,1,3,1,6,413
175205058,0,2,0,5,1,1,5,505
175205059,1,4,0,3,0,1,1,229
175205061,0,2,0,2,2,1,4,161
175205062,2,2,1,2,0,2,2,419
175205063,1,0,0,0,0,0,0,190
175205064,3,3,0,3,0,0,0,310
175205065,5,5,3,1,2,2,3,271
175205066,0,0,1,0,0,0,2,191
175205068,0,1,0,1,0,4,4,284
175206001,3,3,2,7,2,2,1,170
175206002,5,7,2,4,3,0,3,221
175206003,2,4,0,2,2,0,4,220
175206004,1,9,3,4,5,2,6,530
175206005,7,43,1,4,13,0,6,348
175206006,4,1,2,3,1,1,3,160
175206007,0,1,0,2,0,1,1,199
175206008,0,1,0,1,0,2,3,194
175206009,2,3,1,2,0,3,4,332
175206010,3,2,1,2,0,1,2,235
175206012,2,3,0,0,2,3,6,403
175206013,9,11,4,0,2,3,2,535
175206014,2,12,1,0,5,1,3,188
175206015,7,9,2,5,7,1,8,530
175206016,2,6,1,2,2,1,36,229
175206017,6,21,3,18,7,8,7,508
175206018,0,3,2,2,0,0,0,221
175206020,4,19,0,0,4,0,7,239
175206021,2,4,0,5,1,2,2,273
175206022,3,1,0,5,2,1,1,249
175206023,3,5,4,0,5,0,2,455
175206024,3,1,2,2,2,3,0,238
175206025,3,9,0,0,0,1,11,230
175206026,1,0,0,0,1,1,0,407
175206027,4,6,3,2,1,2,2,283
175206028,4,1,0,1,2,0,1,548
175206029,5,8,1,6,1,4,4,271
175207001,0,0,0,0,0,0,0,0
175207002,0,0,0,0,0,0,0,0
175207003,0,0,0,0,0,0,0,0
175207004,0,0,0,0,0,0,0,0
175207005,0,0,0,0,0,0,0,0
175207007,0,0,0,0,0,0,0,0
175207010,0,0,0,0,0,0,0,0
175207011,0,0,0,0,0,0,0,0
175207012,0,0,0,0,0,0,0,0
175207013,0,0,0,0,0,0,0,0
175207014,0,0,0,0,0,0,0,0
175207016,0,0,0,0,0,0,0,0
175207017,0,0,0,0,0,0,0,0
175207018,0,0,0,0,0,0,0,0
175207019,0,0,0,0,0,0,0,0
175207020,0,0,0,0,0,0,0,0
175207021,0,0,0,0,0,0,0,0
175208001,0,0,0,0,0,0,0,0
175208002,0,0,0,0,0,0,0,0
175208003,0,0,0,0,0,0,0,0
175208004,0,0,0,0,0,0,0,0
175208005,0,0,0,0,0,0,0,0
175208006,0,0,0,0,0,0,0,0
175208007,0,0,0,0,0,0,0,0
175208008,0,0,0,0,0,0,0,0
175208010,0,0,0,0,0,0,0,0
175208011,0,0,0,0,0,0,0,0
175208012,0,0,0,0,0,0,0,0
175208013,0,0,0,0,0,0,0,0
175208014,0,0,0,0,0,0,0,0
175208015,0,0,0,0,0,0,0,0
175208016,0,0,0,0,0,0,0,0
175208017,0,0,0,0,0,0,0,0
175208018,0,0,0,0,0,0,0,0
175208019,0,0,0,0,0,0,0,0
175208020,0,0,0,0,0,0,0,0
175208021,0,0,0,0,0,0,0,0
175208022,0,0,0,0,0,0,0,0
175208023,0,0,0,0,0,0,0,0
175208024,0,0,0,0,0,0,0,0
175208025,0,0,0,0,0,0,0,0
175208026,0,0,0,0,0,0,0,0
175208027,0,0,0,0,0,0,0,0
175208028,0,0,0,0,0,0,0,0
175208029,0,0,0,0,0,0,0,0
175208030,0,0,0,0,0,0,0,0
175208031,0,0,0,0,0,0,0,0
175208032,0,0,0,0,0,0,0,0
175208033,0,0,0,0,0,0,0,0
175208034,0,0,0,0,0,0,0,0
175208035,0,0,0,0,0,0,0,0
175208036,0,0,0,0,0,0,0,0
175208037,0,0,0,0,0,0,0,0
175208038,0,0,0,0,0,0,0,0
175208039,0,0,0,0,0,0,0,0
175208040,0,0,0,0,0,0,0,0
175208042,0,0,0,0,0,0,0,0
175208043,0,0,0,0,0,0,0,0
175208044,0,0,0,0,0,0,0,0
175208045,0,0,0,0,0,0,0,0
175208046,0,0,0,0,0,0,0,0
175208047,0,0,0,0,0,0,0,0
175208048,0,0,0,0,0,0,0,0
175208049,0,0,0,0,0,0,0,0
175208050,0,0,0,0,0,0,0,0
175208051,0,0,0,0,0,0,0,0
175208052,0,0,0,0,0,0,0,0
175208053,0,0,0,0,0,0,0,0
175208054,0,0,0,0,0,0,0,0
175208055,0,0,0,0,0,0,0,0
175208056,0,0,0,0,0,0,0,0
175208057,0,0,0,0,0,0,0,0
175208058,0,0,0,0,0,0,0,0
175208059,0,0,0,0,0,0,0,0
175208060,0,0,0,0,0,0,0,0
175208061,0,0,0,0,0,0,0,0
175208062,0,0,0,0,0,0,0,0
175208063,0,0,0,0,0,0,0,0
175208064,0,0,0,0,0,0,0,0
175208065,0,0,0,0,0,0,0,0
175208066,0,0,0,0,0,0,0,0
175208067,0,0,0,0,0,0,0,0
175208068,0,0,0,0,0,0,0,0
175208069,0,0,0,0,0,0,0,0
175208070,0,0,0,0,0,0,0,0
175208071,0,0,0,0,0,0,0,0
175208072,0,0,0,0,0,0,0,0
175209001,5,9,1,1,1,8,9,410
175209002,0,0,0,0,1,1,0,278
175209003,1,3,2,0,2,0,0,214
175209004,4,3,3,9,0,6,1,386
175209005,0,2,2,0,1,3,2,289
175209006,0,0,3,5,0,1,2,699
175209007,5,2,6,6,1,2,6,346
175209008,1,4,1,5,2,1,2,232
175209009,1,1,1,1,0,0,1,302
175209010,4,3,3,9,0,2,3,582
175209011,0,0,0,1,2,0,0,186
175209012,0,1,1,0,1,1,1,281
175209013,0,0,0,0,1,0,0,331
175209014,0,1,0,1,0,0,8,345
175209015,1,2,2,3,4,2,3,1152
175209016,5,6,3,7,2,0,13,552
175209017,0,0,2,0,1,3,8,265
175209018,0,5,2,3,2,3,1,418
175209019,0,0,0,2,1,1,5,395
175209020,2,2,0,0,0,0,2,195
175209021,5,16,2,7,5,0,22,497
175209022,5,4,1,4,5,2,4,1412
175209023,1,2,1,0,3,6,2,622
175209024,0,0,0,3,3,2,2,499
175209025,2,0,0,0,0,1,0,491
175209026,0,0,1,3,2,1,0,202
175209027,0,1,0,1,0,2,1,433
175209028,1,2,0,0,0,0,0,168
175209029,1,2,1,0,1,1,2,287
175209030,2,3,1,2,2,3,16,665
175209031,0,2,0,2,1,0,7,511
175209032,0,1,0,2,2,2,0,256
175209033,0,0,1,3,2,0,5,555
175209034,11,10,5,9,5,4,8,864
175209035,3,3,1,7,1,3,0,699
175209036,3,6,0,2,2,5,4,239
175209037,4,6,7,7,7,3,5,389
175210001,0,0,0,0,0,0,0,0
175210002,0,0,0,0,0,0,0,0
175210004,0,0,0,0,0,0,0,0
175210005,0,0,0,0,0,0,0,0
