psgc_brgy,strong_materials_ tile_concrete_brick_stone_wood_plywood,light_ materials_cogon_nipa_anahaw_bamboo,salvaged_makeshift_materials,mixed_but_predominantly_strong_materials,mixed_but_predominantly_light_materials,mixed_but_predominantly_salvaged_materials
166710005,39,13,0,3,0,0
166710006,24,6,1,4,15,0
166710007,137,112,3,7,5,2
166710008,71,28,4,5,1,0
166710009,43,51,4,14,10,1
166710010,35,23,7,9,3,0
166710011,124,105,7,16,5,2
166710012,21,35,0,9,10,1
166710013,61,45,15,13,0,2
166710014,35,44,6,4,6,1
166710015,56,75,1,12,14,4
166710017,53,31,1,12,1,0
166710018,110,44,5,5,0,2
166710019,76,36,8,9,1,0
166710020,24,42,0,5,1,0
166711001,218,62,5,21,9,2
166711002,7,23,0,4,6,0
166711003,152,30,4,20,8,4
166711004,46,16,3,9,0,0
166711005,153,33,8,15,34,1
166711006,48,62,5,0,0,0
166711007,251,72,2,20,0,1
166711008,120,71,30,10,1,0
166711009,120,41,1,5,1,0
166711010,349,99,5,54,21,3
166711011,49,61,0,3,0,0
166711012,82,42,4,12,11,1
166711013,125,34,15,17,21,0
166714001,37,22,0,23,17,2
166714002,18,7,0,10,2,14
166714003,108,155,2,32,55,5
166714004,41,12,0,18,25,0
166714005,63,68,0,14,31,0
166714006,123,116,3,20,48,1
166714007,139,123,1,61,41,2
166714009,61,85,1,2,5,0
166714010,22,25,0,4,5,0
166714011,301,144,12,233,195,16
166714012,51,30,0,9,14,1
166714013,288,171,1,107,112,10
166714014,76,88,2,43,32,0
166714015,152,160,5,41,52,3
166714016,132,153,6,38,69,7
166714017,53,56,0,6,31,0
166714018,67,42,1,26,25,2
166714019,19,14,0,7,21,2
166714020,10,42,2,6,23,3
166714021,24,17,0,6,4,1
166714022,89,67,0,73,48,10
166715001,126,37,16,7,8,1
166715002,91,33,2,8,14,2
166715003,280,87,13,46,25,3
166715004,161,28,0,7,6,0
166715005,102,33,1,18,7,0
166715007,104,40,4,28,6,2
166715008,126,78,8,23,16,2
166715009,258,73,18,16,7,2
166715010,107,106,11,45,18,4
166715012,102,32,11,7,1,0
166715013,64,21,1,23,17,1
166715014,137,37,2,29,13,1
166715015,69,28,1,1,2,1
166715016,30,11,0,38,6,0
166716001,132,100,4,18,2,3
166716002,33,47,2,3,0,1
166716003,123,74,2,4,3,1
166716004,17,27,0,5,2,0
166716005,28,37,0,4,8,0
166716006,86,65,1,3,1,1
166716007,63,57,3,15,8,2
166716008,52,62,5,8,4,0
166716009,26,9,0,8,6,0
166716010,61,52,17,1,4,0
166716011,56,20,0,1,1,0
166716012,12,11,0,2,4,0
166716013,42,24,0,5,13,0
166716014,7,48,0,1,3,0
166716015,13,22,0,0,1,1
166717002,150,95,0,37,18,0
166717003,193,72,2,34,11,4
166717004,216,82,6,79,39,4
166717005,52,23,1,23,5,0
166717006,62,36,2,27,1,2
166717007,237,122,10,37,20,6
166717008,105,91,4,30,26,4
166717009,108,38,0,11,11,1
166717010,92,55,3,17,20,2
166717011,125,35,2,33,15,2
166717012,90,39,1,21,12,2
166717013,466,263,20,89,72,19
166717014,53,7,0,10,2,0
166717015,70,49,3,15,8,1
166717016,55,24,6,20,8,1
166717017,49,14,0,19,8,2
166717018,285,106,4,56,23,2
166717019,45,14,1,13,7,0
166717020,68,48,4,14,5,0
166717021,39,33,0,11,10,1
166718001,50,35,13,1,1,0
166718002,48,57,10,8,35,1
166718003,79,15,0,4,0,0
166718005,49,53,1,4,4,0
166718006,83,31,7,15,1,3
166718007,123,99,5,27,8,2
166719001,73,63,3,30,12,2
166719002,152,100,5,32,18,2
166719003,136,43,1,9,9,5
166719004,160,79,4,20,7,8
166719005,124,49,4,62,16,10
166719006,142,97,6,47,10,1
166719007,95,43,6,19,16,3
166719008,76,32,0,37,3,2
166719009,48,56,4,22,11,2
166719010,174,56,1,19,9,3
166719011,211,74,10,35,20,13
166720001,34,9,2,3,0,1
166720002,211,85,7,23,20,2
166720003,8,39,1,13,4,0
166720004,22,9,1,2,1,0
166720006,35,6,0,1,0,0
166720007,20,7,0,0,0,0
166720008,93,55,1,20,4,0
166720009,18,11,8,3,1,0
166720010,11,29,0,9,31,0
166720011,61,30,0,3,0,0
166720012,28,24,0,1,5,0
166720013,64,39,2,10,2,0
166721001,33,22,1,12,20,4
166721002,106,29,0,21,12,0
166721003,131,32,8,19,17,1
166721004,53,44,3,7,21,1
166721005,43,16,1,13,10,1
166721006,101,38,0,23,37,2
166721007,74,18,0,8,14,0
166721008,119,41,7,24,20,0
166721009,38,32,1,11,15,1
166721010,135,86,6,28,36,1
166721012,44,46,0,16,19,4
166722001,58,6,1,19,18,5
166722003,51,17,0,2,4,1
166722004,17,22,9,8,9,8
166722005,68,40,3,65,34,5
166722006,169,60,4,41,41,14
166722007,147,16,2,26,20,1
166722008,369,116,31,156,95,12
166722009,57,16,0,52,24,7
166722010,116,51,7,48,36,9
166722011,58,12,2,22,24,1
166722012,32,36,5,11,11,3
166722013,37,21,1,50,29,4
166723001,57,6,0,10,7,0
166723002,79,12,2,7,19,0
166723003,44,8,5,7,6,1
166723004,298,20,3,14,31,1
166723005,231,27,2,23,3,0
166723006,113,56,5,3,1,0
166723007,466,85,18,54,19,2
166723008,54,14,0,2,0,0
166723009,38,43,0,11,0,7
166723010,35,17,1,7,1,1
166723011,98,33,2,1,1,0
166723012,61,19,0,11,16,1
166723013,90,3,0,22,7,1
166723014,334,72,14,28,3,1
166724001,46,41,5,10,14,2
166724002,46,28,12,22,28,1
166724003,117,95,26,57,17,2
166724004,47,61,6,21,15,3
166724005,76,27,19,31,47,9
166724006,98,112,2,30,27,1
166724007,12,17,1,20,15,0
166724008,31,12,5,6,4,1
166724010,52,54,5,8,8,1
166724011,204,73,18,78,24,3
166724012,96,51,10,38,14,3
166724013,50,62,0,20,24,2
166724014,274,233,12,43,67,9
166724015,26,23,3,4,8,2
166724016,42,49,2,17,31,6
166724017,142,177,7,56,51,13
166724018,34,28,10,6,12,2
166724019,26,16,2,18,16,4
166724020,47,48,12,15,11,1
166724021,113,119,5,20,44,6
166724022,273,137,17,123,106,24
166724023,54,62,11,14,22,3
166724024,120,74,7,52,57,12
166724025,65,57,4,31,18,2
166724026,633,224,67,227,153,14
166724027,79,52,43,58,64,35
166724028,165,106,8,92,69,7
166724029,68,41,1,9,13,0
166724030,66,68,11,31,12,4
166724031,314,142,92,162,188,65
166724032,85,60,8,23,29,3
166724033,128,99,14,38,42,4
166724034,125,61,19,33,48,22
166724035,59,25,1,31,7,1
166724036,148,94,12,73,23,8
166724037,306,194,11,111,92,30
166724038,155,137,57,95,130,7
166724039,51,39,2,8,12,1
166724040,157,105,12,12,18,0
166724041,909,355,130,253,509,96
166724042,14,45,0,11,24,5
166724043,73,41,9,28,43,18
166724044,31,20,3,8,7,2
166724045,95,55,4,42,9,3
166724046,25,52,1,12,10,0
166724047,123,35,9,35,14,1
166724048,1636,288,140,581,499,103
166724064,89,50,8,48,58,10
166724065,139,48,19,17,66,47
166724066,205,76,28,98,42,7
166724067,68,65,3,13,19,6
166724068,1432,277,206,426,298,38
166724095,70,35,3,19,10,1
166724096,572,318,54,87,123,37
166725001,212,123,7,45,48,8
166725002,155,78,2,31,38,2
166725003,173,60,2,32,42,0
166725004,152,43,2,39,35,3
166725005,19,16,1,21,18,3
166725007,77,121,13,40,41,15
166725008,47,44,1,17,18,4
166725009,94,41,1,19,11,2
166725010,65,71,4,29,26,6
166725011,100,48,2,25,25,2
166725012,100,166,18,83,80,38
166725013,30,35,0,12,12,2
166725014,31,28,1,4,4,0
166725015,47,39,4,16,43,4
166727001,59,47,12,34,40,1
166727002,121,31,57,26,102,4
166727003,88,50,22,28,53,10
166727004,119,49,25,65,64,1
166727005,104,74,18,53,67,26
166727006,187,36,13,42,63,1
166727007,122,54,8,44,41,3
166727008,165,66,18,50,120,3
166727009,95,40,11,57,80,5
166801001,139,129,35,61,64,14
166801002,78,52,41,42,47,8
166801003,67,78,44,37,45,5
166801005,74,115,39,43,30,0
166801006,43,28,12,14,21,0
166801007,83,73,25,43,35,2
166801008,59,45,17,17,40,7
166801009,188,171,76,68,100,11
166801010,126,160,39,64,95,14
166801011,49,41,10,36,53,1
166801013,21,28,8,14,18,0
166801015,1158,340,100,238,265,15
166801016,57,61,22,41,81,5
166801017,56,21,17,20,23,5
166801019,66,45,16,19,33,4
166801020,41,41,29,19,33,10
166801021,26,9,9,13,11,1
166801023,44,43,27,35,24,3
166801024,123,81,14,44,64,3
166801025,44,36,20,33,27,4
166801026,267,257,132,143,136,20
166802001,102,57,20,15,85,9
166802002,98,5,13,3,15,5
166802003,59,9,5,13,11,0
166802004,56,25,31,18,46,3
166802005,236,57,65,29,92,9
166802006,125,23,4,13,47,1
166802007,140,39,53,20,28,4
166803002,45,43,1,7,9,0
166803003,85,79,22,39,31,7
166803004,401,226,22,79,128,3
166803005,30,77,2,11,6,1
166803006,57,53,1,36,30,2
166803007,144,149,16,63,68,1
166803008,69,140,5,27,27,1
166803009,2629,917,211,1063,609,47
166803010,95,128,13,33,60,3
166803011,115,140,6,34,31,1
166803012,717,544,85,204,205,19
166803013,75,63,6,58,21,3
166803014,85,174,22,112,60,2
166803015,57,129,4,72,47,2
166803016,157,118,10,58,44,5
166803017,181,119,7,92,62,1
166803018,50,82,8,46,18,3
166803019,47,77,0,2,10,3
166803020,1117,450,47,386,257,16
166803021,37,87,7,10,16,0
166803022,37,34,10,8,12,2
166803023,89,82,20,17,29,2
166803024,155,162,5,77,35,0
166803025,154,142,69,68,69,8
166804001,726,120,7,44,17,0
166804002,242,48,4,41,18,1
166804003,116,47,6,27,12,0
166804004,124,42,7,26,6,0
166804005,73,18,0,16,4,2
166804006,111,16,3,3,2,0
166804007,47,40,0,18,11,0
166804008,185,40,5,25,18,0
166804009,196,75,2,36,15,2
166804011,505,76,3,86,19,6
166804012,450,31,2,42,18,6
166805002,65,52,3,11,12,0
166805003,94,132,4,20,29,1
166805004,32,57,1,10,42,10
166805005,121,67,6,12,29,4
166805006,154,132,10,25,28,1
166805007,128,82,13,23,43,5
166805008,69,111,3,17,12,6
166805009,370,239,29,66,122,6
166805010,96,95,12,20,43,4
166805011,397,317,30,89,101,15
166805012,200,133,13,22,38,2
166805013,97,136,7,22,33,0
166805014,361,208,20,50,86,11
166805015,34,46,5,22,16,0
166805016,70,76,3,11,33,2
166805018,154,149,17,25,58,2
166806001,139,23,8,29,11,3
166806002,46,21,1,14,5,5
166806003,396,127,28,58,24,4
166806004,119,47,2,17,5,0
166806005,131,68,13,42,10,11
166806006,85,18,4,27,5,0
166806007,163,21,12,20,18,5
166806008,170,109,6,60,4,1
166807001,228,377,44,71,141,31
166807002,27,30,3,8,30,0
166807003,78,74,12,17,27,1
166807004,144,79,4,22,33,2
166807005,94,105,9,21,37,2
166807006,38,32,0,14,11,1
166807007,15,72,3,9,19,4
166807008,120,104,13,52,73,4
166807009,71,32,2,17,24,0
166807010,182,64,5,26,37,1
166807011,232,143,15,54,85,7
166807012,52,23,14,20,40,1
166807013,62,23,2,18,39,4
166807014,56,49,3,9,11,0
166808001,53,30,5,23,19,4
166808002,153,32,42,218,176,20
166808003,26,11,1,23,14,0
166808004,237,50,11,100,73,29
166808005,27,16,4,41,32,1
166808006,50,18,1,23,15,1
166808007,91,38,2,34,34,4
166808008,151,103,39,80,92,5
166808009,47,19,9,33,37,6
166808010,196,77,16,68,74,7
166808011,11,2,1,21,13,1
166808012,65,33,3,26,23,1
166809002,99,72,14,40,27,6
166809004,199,229,12,94,89,5
166809005,109,100,24,53,54,16
166809006,30,55,3,11,12,2
166809009,91,101,9,64,55,0
166809010,24,60,7,1,1,1
166809012,330,282,27,135,104,15
166809014,153,200,46,86,83,1
166809017,54,14,1,15,25,2
166809021,128,171,10,39,68,2
166809022,88,72,7,31,17,1
166809023,86,87,9,62,45,4
166809025,46,48,4,41,36,1
166809026,75,86,16,55,49,7
166809031,51,59,13,32,33,0
166809034,162,113,26,70,49,2
166809037,85,81,25,40,71,12
166809038,21,54,6,31,26,1
166809039,193,201,93,68,129,22
166809040,39,66,2,43,19,2
166809041,126,117,7,54,67,1
166809042,197,97,4,70,104,2
166809043,164,87,7,61,71,2
166809044,38,65,2,9,5,5
166810001,194,113,21,62,47,17
166810003,55,55,9,37,25,0
166810004,83,73,21,64,38,4
166810008,131,82,0,23,8,0
166810009,77,58,0,27,14,0
166810010,48,93,7,13,1,1
166810011,93,68,14,47,29,6
166810015,69,79,1,39,22,1
166810016,107,20,6,4,7,0
166810017,65,116,5,36,26,1
166810018,59,9,3,1,3,0
166810019,124,41,0,5,3,0
166810020,64,26,8,5,0,0
166811001,75,126,3,27,38,5
166811002,176,105,5,28,41,30
166811003,80,53,4,56,48,37
166811004,79,74,4,24,43,21
166811005,646,303,45,162,241,142
166811006,87,96,3,28,34,8
166811007,133,108,6,64,67,34
166811008,119,61,8,34,56,43
166811009,183,151,5,49,38,14
166811010,419,138,7,103,84,47
166811011,187,120,5,52,148,27
166811012,49,44,2,20,38,41
166811013,87,49,0,19,10,5
166812001,72,47,1,8,5,2
166812002,306,190,14,49,46,15
166812003,34,38,4,16,7,1
166812004,109,31,13,22,16,3
166812005,43,26,0,9,0,0
166812006,99,61,11,14,27,12
166812007,232,35,7,34,24,2
166812008,48,5,3,6,11,1
166812009,278,46,20,19,9,1
166812010,44,47,13,15,23,3
166812011,534,117,78,63,67,14
166812012,163,22,1,15,5,0
166812013,161,70,12,44,27,0
166812014,58,8,1,8,0,0
166812015,128,30,3,14,5,0
166812016,109,78,13,18,6,2
166812017,61,38,2,24,22,1
166812018,93,41,5,11,32,1
166813001,26,28,8,39,16,0
166813002,74,32,13,42,27,0
166813003,84,44,7,57,18,0
166813004,70,34,0,37,39,0
166813005,46,44,4,21,32,0
166813006,74,51,6,36,32,0
166813007,307,66,31,77,25,0
166813008,52,30,0,46,46,3
166813009,169,25,39,31,8,4
166813010,52,5,2,26,36,0
166813011,32,31,45,43,2,0
166813012,17,24,0,25,40,0
166813013,65,49,0,74,107,0
166813014,107,81,1,70,39,0
166814001,75,30,2,0,2,2
166814002,43,18,13,17,11,0
166814003,127,70,7,11,17,2
166814004,91,62,22,21,34,4
166814005,179,85,13,25,17,0
166814006,80,34,18,8,3,0
166814007,198,56,11,23,28,0
166814008,321,119,32,38,33,0
166814009,11,6,9,5,9,0
166814010,135,85,11,15,16,7
166814011,59,41,1,6,15,1
166814012,82,56,9,6,12,1
166815001,31,52,2,11,23,1
166815002,39,29,83,63,51,36
166815003,48,106,0,18,20,1
166815004,54,159,4,104,68,16
166815005,169,215,24,84,34,11
166815006,24,77,1,18,27,1
166815007,69,123,5,53,26,1
166815008,144,114,5,8,5,4
166815009,66,33,10,39,17,4
166815010,37,44,8,14,12,1
166815011,53,53,0,70,49,5
166815012,142,101,5,103,62,12
166815013,175,129,7,50,23,3
166816001,99,9,0,0,0,0
166816002,117,51,5,10,29,6
166816003,76,22,18,2,6,0
166816004,329,113,39,41,23,3
166816005,66,20,15,13,2,1
166816006,196,33,7,19,52,4
166816007,120,28,7,15,3,0
166816008,121,51,0,17,48,4
166816009,189,60,22,17,30,2
166816010,190,32,4,19,23,3
166816011,173,33,8,11,26,4
166816012,169,21,6,20,24,3
166816013,341,70,15,30,38,7
166816014,236,56,15,41,24,0
166816016,274,95,11,18,38,6
166816017,186,52,9,2,0,2
166816018,37,24,9,10,20,4
166816019,276,41,80,11,24,5
166817001,53,27,1,0,0,0
166817002,116,54,7,17,18,6
166817003,144,42,1,17,24,2
166817004,101,31,3,7,9,1
166817006,151,37,10,29,21,2
166817007,102,39,1,11,9,0
166817008,92,15,1,1,14,1
166817009,126,23,19,29,20,1
166817010,69,20,6,7,33,2
166817011,129,35,6,25,12,1
166817012,373,113,10,53,89,13
166817013,174,35,5,16,21,0
166817014,83,26,10,11,25,2
166817015,74,28,22,11,8,2
166817016,25,8,0,0,3,0
166817017,247,100,14,27,39,3
166817018,179,113,9,17,17,3
166817019,60,15,1,1,1,0
166817020,87,25,23,6,14,4
166817021,156,53,81,37,53,2
166817022,46,33,3,2,5,0
166817023,110,24,2,14,12,1
166817024,239,28,27,22,6,0
166817025,255,71,9,33,48,1
166817026,48,25,0,23,49,1
166818001,74,140,15,45,96,5
166818002,79,111,3,17,46,0
166818003,87,179,19,25,46,2
166818004,75,128,21,35,59,4
166818005,42,102,34,22,28,2
166818006,49,92,6,30,25,0
166818007,51,72,17,28,33,2
166818008,21,76,22,25,52,2
166818009,54,74,22,32,70,2
166818010,109,98,20,24,52,5
166818011,41,126,11,12,35,6
166818012,141,129,34,47,79,9
166818013,39,62,24,23,60,1
166818014,62,95,9,52,38,7
166818015,56,68,8,14,32,6
166818016,35,63,23,5,41,3
166818017,4,40,23,6,20,9
166818018,331,438,96,63,167,14
166818019,123,161,67,45,85,4
166818020,22,32,15,6,27,3
166818021,40,99,12,15,21,3
166818022,57,90,56,21,27,8
166818023,124,171,42,48,68,6
166818024,86,113,12,17,50,1
166819001,129,93,8,34,44,6
166819002,541,238,35,106,108,19
166819003,67,61,8,34,31,2
166819004,154,145,10,75,96,5
166819005,316,300,60,170,227,58
166819006,347,157,30,112,138,24
166819008,438,273,9,100,112,10
166819009,60,82,5,13,10,2
166819010,100,101,10,37,85,16
166819011,77,52,2,33,13,2
166819012,43,62,2,30,31,7
166819013,43,31,6,28,42,4
166819014,123,70,7,44,35,4
166819015,210,155,0,59,61,7
166819016,50,59,7,20,25,0
166819017,118,111,21,48,72,17
166819018,426,273,32,133,123,25
166819019,46,41,3,19,11,5
166819020,59,53,2,25,17,2
166819021,40,50,6,12,27,4
166819022,408,275,71,130,167,21
168501002,70,44,3,4,5,0
168501003,39,14,5,5,0,0
168501004,10,37,0,3,14,2
168501005,102,21,1,6,20,1
168501006,199,76,18,23,6,3
168501007,144,34,0,5,2,1
168501008,68,39,15,7,5,0
168501009,79,13,1,1,0,0
168501010,148,55,4,26,5,0
168501011,48,11,2,26,8,0
168501012,82,50,9,15,5,1
168501013,65,1,2,8,0,0
168501014,164,44,4,15,16,2
168501015,118,27,5,14,6,0
168501016,102,13,1,1,4,2
168501017,207,59,5,15,25,2
168501018,219,36,15,25,16,1
168501019,50,13,3,23,4,3
168501020,76,45,1,7,4,1
168501021,20,64,0,8,7,1
168501022,57,42,6,13,7,1
168501023,57,35,1,5,2,0
168501024,39,15,0,1,2,0
168501025,35,45,6,42,19,1
168501026,22,24,1,12,1,0
168501027,39,38,4,7,14,3
168501028,29,8,1,9,4,0
168502001,80,13,2,4,6,0
168502002,107,49,5,24,20,8
168502003,202,39,9,28,19,3
168502004,77,29,1,7,2,0
168502005,68,15,8,6,5,2
168502006,78,63,1,4,7,2
168502007,110,31,2,8,4,1
168502008,320,91,41,44,46,5
168502009,31,34,2,7,3,0
168502010,52,18,3,16,7,1
168502011,47,52,11,22,15,2
168502012,127,82,7,12,17,0
168502013,30,53,0,21,2,7
168502014,146,48,6,23,18,7
168503002,64,54,26,38,28,8
168503003,33,44,10,15,13,5
168503004,104,66,13,30,16,2
168503005,25,83,15,21,15,6
168503007,47,48,7,22,19,14
168503009,61,17,1,12,6,0
168503012,120,37,9,22,16,1
168503014,51,92,5,25,38,4
168503016,61,100,21,44,42,5
168503021,40,87,8,20,21,6
168503022,26,36,11,19,23,19
168503023,24,52,2,12,10,4
168504001,168,24,11,26,11,2
168504002,87,9,3,3,2,0
168504003,77,25,4,8,7,3
168504004,44,18,3,7,2,0
168504005,86,65,5,43,22,2
168504006,154,60,3,20,1,1
168504007,20,20,2,0,0,0
168504008,74,15,6,17,4,0
168504009,55,3,2,22,7,1
168504010,206,26,1,25,21,5
168504011,86,20,2,9,5,0
168504012,184,119,14,35,21,6
168504013,206,44,7,20,6,2
168504014,78,43,1,18,15,1
168504015,43,37,11,36,14,1
168504016,91,52,4,7,5,1
168505001,130,38,3,58,26,1
168505002,79,36,1,68,46,6
168505003,9,12,1,8,11,2
168505004,38,12,1,9,14,1
168505006,77,34,9,46,28,0
168505008,24,17,4,13,13,1
168505011,104,24,3,84,37,7
168505013,120,50,8,92,55,4
168505015,68,13,0,29,24,0
168505017,105,71,12,85,56,9
168506001,433,151,23,91,57,6
168506002,68,80,12,31,20,7
168506003,257,99,10,77,30,8
168506004,82,50,11,28,23,3
168506005,126,41,3,24,5,3
168506006,58,108,8,13,24,2
168506007,183,105,3,55,41,5
168506008,73,52,9,22,14,1
168506009,545,144,17,92,53,8
168506010,267,96,5,60,29,4
168506011,229,116,12,80,26,3
168506012,63,160,6,35,23,5
168507001,54,15,11,13,5,0
168507002,127,32,2,32,4,1
168507003,124,64,7,7,12,2
168507004,31,20,0,1,1,0
168507005,53,19,3,4,0,0
168507006,44,26,1,12,5,0
168507007,63,25,4,2,5,2
168507008,122,20,1,5,19,2
168507009,185,35,2,11,7,2
150702001,42,50,2,34,32,1
150702002,154,115,1,12,4,2
150702004,82,76,2,4,1,0
150702005,108,82,3,151,144,4
150702006,167,187,5,48,105,19
150702007,154,154,2,36,53,0
150702008,385,492,1,47,23,8
150702010,75,63,0,27,40,0
150702011,63,41,1,67,32,0
150702012,102,64,1,11,5,0
150702013,122,85,2,19,27,2
150702014,80,73,0,41,8,0
150702016,71,82,0,4,1,0
150702018,109,171,0,18,9,0
150702020,192,213,0,34,11,1
150702024,40,67,0,66,40,1
150702025,135,267,0,10,16,4
150702028,333,216,7,101,164,8
150702032,84,68,1,53,22,0
150702034,124,52,0,30,18,4
150702035,25,35,0,29,17,3
150702036,67,51,0,102,78,3
150702037,174,96,0,98,105,10
150702039,303,249,4,17,2,2
150702045,318,189,8,365,233,16
150702047,41,37,1,75,91,0
150702049,103,65,0,79,45,1
150702050,95,73,1,124,70,3
150702054,113,40,1,8,0,0
150702055,74,54,0,46,36,4
150702056,22,24,7,12,17,0
150702057,81,125,0,0,0,0
150702058,162,186,1,168,103,6
150702059,56,38,2,82,138,3
150702060,48,42,0,43,48,1
150702061,38,123,1,66,34,4
150702062,90,195,0,3,2,2
150702063,82,167,4,9,15,0
150702064,354,94,7,112,138,0
150702065,119,63,1,42,52,0
150702066,269,99,5,63,64,2
150702067,163,40,0,107,53,5
150702068,187,35,1,59,33,1
150702069,306,100,8,129,125,0
150702070,54,22,0,10,5,0
150703001,51,40,2,73,86,30
150703003,1,155,4,10,21,0
150703004,8,88,0,25,19,2
150703007,0,79,0,1,2,0
150703008,11,27,1,35,99,7
150703011,50,98,0,68,58,0
150703012,30,46,0,38,58,26
150703016,37,163,21,101,185,42
150703017,4,46,1,42,58,17
150703018,7,62,1,108,66,3
150703019,21,108,1,106,63,10
150703021,21,71,0,94,40,2
150703024,10,89,14,1,17,5
150703025,6,51,2,23,39,1
150703026,10,48,0,94,109,0
150703027,29,211,28,37,31,35
150703029,9,52,15,28,11,0
150703030,8,51,1,60,16,0
150703031,6,105,14,2,21,20
150703033,22,84,4,7,28,13
150703034,55,106,4,61,44,1
150703035,4,38,1,5,41,11
150703036,5,32,3,33,71,3
150703037,1,109,6,8,18,2
150703038,11,136,1,4,60,13
150704001,106,57,3,0,42,0
150704002,45,51,0,3,12,0
150704003,3,309,70,4,60,1
150704004,113,62,1,2,11,1
150704005,0,161,24,5,4,1
150704007,13,251,7,15,77,6
150704008,1,85,27,1,26,4
150704009,51,71,42,70,392,53
150704010,34,86,36,35,111,4
150704011,147,520,78,6,33,5
150704012,252,132,21,31,233,16
150704013,267,475,31,53,143,7
150704015,17,320,12,3,40,0
150704016,31,129,0,11,181,2
150704017,46,40,2,28,71,29
150704018,15,103,6,8,218,13
150704019,10,61,4,0,18,3
150704020,14,56,4,33,195,100
150704021,1,152,10,0,6,1
150705001,77,316,28,45,34,2
150705002,1,75,0,15,21,0
150705006,12,115,13,11,15,5
150705007,4,138,0,10,36,25
150705010,100,211,7,78,124,0
150705012,1,0,0,0,0,0
150705013,47,231,107,51,47,10
150705014,42,471,10,59,77,0
150705019,1,196,1,23,78,0
150705022,40,81,8,270,94,51
150705023,5,30,0,4,3,0
150705024,10,193,1,17,43,28
150705025,55,90,47,8,17,8
150705026,1,0,0,0,0,0
150705027,1,186,0,0,16,0
150705028,18,122,57,40,35,0
150705029,64,131,17,24,43,0
150705030,33,125,19,37,72,0
150705031,26,196,26,44,61,0
150705032,13,68,4,45,55,3
150705035,6,143,2,14,63,7
150705036,3,30,0,4,26,0
150705039,26,98,14,13,54,1
150705040,0,1,0,0,0,0
150705041,1,148,0,17,38,0
150705042,16,103,0,12,33,0
150705043,30,161,2,25,92,8
150705044,49,64,49,21,23,2
150705045,8,94,4,35,44,1
150705047,6,74,10,6,17,0
150705048,35,74,3,28,37,16
150705050,71,97,13,1,0,0
150705051,2,149,0,3,31,0
150706002,51,261,27,84,73,5
150706003,41,251,2,18,25,1
150706004,81,412,8,28,65,11
150706011,15,274,21,43,111,14
150706012,1,96,49,20,16,16
150706016,26,391,92,88,101,63
150706017,7,232,111,38,33,73
150706018,38,487,6,47,109,76
150706019,29,151,0,15,23,1
150706030,2,113,74,2,7,22
150706038,8,167,0,10,6,0
150707005,0,436,126,42,178,48
150707010,2,178,5,29,353,25
150707016,23,355,22,33,98,105
150707021,4,325,9,87,457,34
150707025,14,332,9,70,258,76
150707028,13,264,8,63,348,100
150707033,6,253,13,45,240,52
150707034,8,469,35,72,663,20
150707040,0,171,17,20,120,3
150707041,5,222,9,53,218,18
150708001,49,207,0,0,49,0
150708002,33,367,204,72,84,2
150708003,38,142,1,28,34,0
150708004,151,283,8,72,25,1
150708005,54,310,1,37,37,0
150708006,37,194,1,18,34,1
150708007,70,385,5,34,145,0
150708008,69,482,3,13,93,3
150708009,108,243,0,58,67,0
150709001,43,297,16,41,12,0
150709002,112,174,1,30,68,0
150709003,17,164,39,72,195,0
150709004,114,240,3,165,69,1
150709005,122,227,0,80,13,0
150709006,76,166,77,30,135,53
150709007,150,488,69,27,109,4
150709008,65,312,27,45,56,1
150709009,6,127,75,33,51,0
150709010,49,108,28,18,126,0
150709011,15,133,26,24,96,0
150709012,37,265,2,5,45,0
150709013,16,329,11,42,15,0
150709014,60,127,6,19,64,0
150709015,69,489,13,99,73,0
150709016,14,270,2,19,2,0
150710001,58,146,81,62,136,74
150710002,115,281,8,292,242,8
150710003,78,287,42,22,13,0
150710004,32,92,59,75,45,46
150710005,64,199,15,94,72,0
150710006,95,289,10,46,84,10
150710007,48,80,48,65,66,18
150710008,45,220,7,55,44,0
150710009,110,150,65,142,101,54
150710010,28,100,78,63,53,43
150710011,94,190,33,161,182,69
150711001,13,345,5,2,2,1
150711002,97,600,6,31,22,0
150711003,17,273,5,8,2,1
150711004,95,397,4,13,33,1
150711005,57,331,3,13,19,2
150711006,55,319,2,11,13,0
150711007,4,232,18,5,11,1
150711008,54,452,24,8,2,1
150711009,150,337,0,29,28,0
150711010,22,330,20,7,0,6
150711011,33,298,90,21,1,0
150711012,99,488,0,25,26,0
150712001,0,113,103,2,0,0
150712002,3,199,81,0,0,0
150712003,2,209,172,3,22,6
150712004,0,134,99,1,0,1
150712005,1,128,74,2,0,0
150712006,1,65,211,0,1,0
150712007,1,50,80,1,1,2
150712008,1,319,95,1,0,3
150712009,2,260,261,3,13,1
150712010,6,272,97,5,9,2
150713001,18,598,5,6,20,1
150713002,19,228,1,1,16,0
150713003,1,185,46,0,0,0
150713004,78,434,2,0,1,0
150713005,0,124,1,0,169,0
150713006,243,446,0,0,0,0
150713007,157,94,3,0,0,0
150713008,53,466,5,13,3,0
150713009,4,310,0,5,1,0
150713010,34,140,3,0,9,0
150713011,7,420,1,1,11,0
150713012,87,577,7,7,1,0
153601001,21,36,0,4,3,1
153601002,34,86,2,19,2,0
153601004,17,59,0,4,4,0
153601005,4,36,0,0,25,0
