psgc_brgy,single_house,duplex,apartment_or_condominiums_or_townhouses,commercial_or_industrial_or_agricultural_building_or_house,other_housing_cave_or_boat_or_under_a_bridge_etc.
174001001,109,1,0,0,0
174001002,43,0,0,0,0
174001003,125,4,1,0,0
174001004,88,1,0,1,0
174001005,192,6,0,1,0
174001006,48,4,0,0,0
174001007,101,6,0,0,0
174001008,296,11,0,0,0
174001009,153,8,0,0,0
174001010,95,1,0,0,0
174001011,92,2,0,0,0
174001012,108,3,0,0,0
174001013,40,0,0,1,1
174001014,120,3,1,0,0
174001015,130,5,0,1,0
174001016,59,5,0,1,0
174001017,52,4,0,0,0
174001018,338,13,0,2,0
174001019,88,0,0,0,0
174001020,169,12,0,0,1
174001021,124,2,0,0,0
174001022,156,1,0,0,0
174001023,112,8,0,0,0
174001024,116,4,0,0,0
174001025,70,1,0,0,0
174001026,358,7,0,0,0
174001027,154,15,0,0,0
174001028,45,5,1,1,0
174001029,140,0,0,2,0
174001030,364,40,1,0,1
174001031,196,7,0,2,0
174001032,132,1,0,0,0
174001033,82,0,0,0,0
174001034,111,4,0,0,0
174001035,14,1,0,0,0
174001036,88,6,0,0,0
174001037,11,0,0,0,0
174001038,154,2,0,0,0
174001039,75,4,0,0,1
174001040,13,1,0,1,0
174001041,96,2,0,0,0
174001042,163,2,0,1,0
174001043,49,4,0,0,0
174001044,49,3,0,1,0
174001045,35,5,0,0,0
174001046,113,0,1,2,0
174001047,84,2,0,0,0
174001048,35,2,0,0,0
174001049,5,2,0,0,0
174001050,156,16,1,0,0
174001051,98,5,0,0,1
174001052,98,4,1,0,0
174001053,193,4,0,2,0
174001054,82,0,0,0,0
174001055,114,3,0,0,0
174001056,220,18,1,0,2
174001057,71,0,0,0,0
174001058,217,22,0,2,1
174001059,76,2,0,0,0
174001060,29,0,0,0,0
174001061,56,3,1,0,0
174002001,247,1,0,0,0
174002002,326,1,0,0,0
174002003,196,0,0,0,0
174002004,506,2,0,5,0
174002005,569,6,0,2,0
