Selected Accounts,Selected Accounts,Selected Accounts,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-13,Nov-09,Dec-09
 Asset Accounts total,Asset Accounts total,Asset Accounts total,478.040 ,480.730 ,489.751 ,497.285 ,513.353 ,527.066 ,524.378 ,529.515 ,512.285 ,526.150 ,536.604 ,536.123 
Cash and Due from Banks,Cash and Due from Banks,Cash and Due from Banks,42.358 ,41.671 ,45.018 ,45.499 ,49.356 ,54.881 ,53.359 ,58.157 ,55.582 ,57.774 ,64.877 ,58.054 
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",82.325 ,83.990 ,89.866 ,89.440 ,94.790 ,96.636 ,98.983 ,99.921 ,96.737 ,94.988 ,93.709 ,90.952 
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Financial Assets Held for Trading (HFT),Financial Assets Held for Trading (HFT),2.780 ,2.479 ,4.384 ,3.473 ,8.148 ,6.504 ,6.590 ,6.799 ,6.894 ,2.098 ,3.587 ,2.255 
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Financial Assets Designated at Fair Value through Profit or Loss - Debt Sect,Financial Assets Designated at Fair Value through Profit or Loss - Debt Sect,0.358 ,0.683 ,0.150 ,0.097 ,0.151 ,0.154 ,0.191 ,0.272 ,0.530 ,0.646 ,0.587 ,0.255 
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","AFS Financial Assets, Net of Amortization ","AFS Financial Assets, Net of Amortization ",43.033 ,44.411 ,46.008 ,47.500 ,48.193 ,50.861 ,53.183 ,53.361 ,53.352 ,55.544 ,53.362 ,51.272 
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","AFS Financial Assets, Net of Amortization ",     AFS Debt Securities,40.950 ,41.983 ,43.339 ,44.988 ,45.748 ,48.304 ,50.591 ,50.674 ,51.028 ,53.365 ,51.178 ,49.231 
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","AFS Financial Assets, Net of Amortization ",     Unamortized Discount/Premium,1.613 ,1.786 ,1.956 ,1.899 ,1.750 ,1.813 ,1.819 ,1.913 ,1.801 ,1.800 ,1.804 ,1.771 
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","AFS Financial Assets, Net of Amortization ",     AFS-Debt Securities Net of Amortization,42.563 ,43.769 ,45.295 ,46.887 ,47.498 ,50.117 ,52.410 ,52.587 ,52.829 ,55.164 ,52.982 ,51.002 
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","AFS Financial Assets, Net of Amortization ",     AFS-Equity Securities,0.469 ,0.642 ,0.713 ,0.613 ,0.695 ,0.744 ,0.773 ,0.774 ,0.523 ,0.380 ,0.380 ,0.271 
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Held-to-Maturity (HTM) Financial Assets,Held-to-Maturity (HTM) Financial Assets,28.338 ,28.428 ,27.583 ,28.501 ,28.495 ,29.563 ,29.374 ,29.815 ,26.748 ,27.090 ,25.720 ,25.923 
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Held-to-Maturity (HTM) Financial Assets,Unamortized Discount/Premium,0.557 ,0.585 ,0.601 ,0.629 ,0.620 ,0.691 ,0.685 ,0.684 ,0.690 ,0.730 ,0.735 ,0.722 
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",HTM Financial Assets - Net of Amortization,HTM Financial Assets - Net of Amortization,28.895 ,29.013 ,28.183 ,29.130 ,29.114 ,30.254 ,30.059 ,30.499 ,27.438 ,27.821 ,26.455 ,26.644 
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Unquoted Debt Securities Classified as Loans,Unquoted Debt Securities Classified as Loans,7.443 ,7.586 ,8.395 ,9.405 ,9.336 ,9.034 ,9.048 ,8.952 ,8.491 ,8.839 ,9.670 ,10.458 
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Unquoted Debt Securities Classified as Loans,Unamortized Discount/Premium,(0.388),(0.387),(0.371),(0.361),(0.348),(0.264),(0.256),(0.248),(0.251),(0.243),(0.233),(0.221)
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Unquoted Debt Securities Classified as Loans -Net of Amortization,Unquoted Debt Securities Classified as Loans -Net of Amortization,7.055 ,7.199 ,8.024 ,9.043 ,8.988 ,8.770 ,8.792 ,8.704 ,8.240 ,8.597 ,9.437 ,10.237 
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Investment in Non-Markeatable Equity Securities (INMES),Investment in Non-Markeatable Equity Securities (INMES),0.205 ,0.205 ,3.117 ,0.196 ,0.196 ,0.092 ,0.169 ,0.284 ,0.284 ,0.282 ,0.281 ,0.288 
Accumulated Market Gain (Losses) -Financial Assets,Accumulated Market Gain (Losses) -Financial Assets,Accumulated Market Gain (Losses) -Financial Assets,(0.636),(0.827),(0.369),(0.324),0.634 ,0.088 ,0.370 ,0.773 ,1.297 ,1.050 ,1.113 ,0.897 
Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-Financial Assets,0.421 ,0.454 ,0.831 ,0.457 ,0.457 ,0.391 ,0.398 ,0.496 ,0.495 ,0.495 ,0.495 ,0.543 
Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-AFS ,Allowance for Credit Losses-AFS ,0.079 ,0.079 ,0.079 ,0.079 ,0.079 ,0.113 ,0.113 ,0.113 ,0.110 ,0.110 ,0.110 ,0.156 
Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-HTM,Allowance for Credit Losses-HTM,0.025 ,0.025 ,0.025 ,0.025 ,0.025 ,0.028 ,0.029 ,0.029 ,0.031 ,0.031 ,0.031 ,0.032 
Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-Unquoted Debt Securities Classified as Loans,Allowance for Credit Losses-Unquoted Debt Securities Classified as Loans,0.168 ,0.201 ,0.202 ,0.204 ,0.205 ,0.206 ,0.206 ,0.200 ,0.200 ,0.200 ,0.200 ,0.200 
Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses- INMES,Allowance for Credit Losses- INMES,0.149 ,0.149 ,0.524 ,0.148 ,0.148 ,0.044 ,0.050 ,0.154 ,0.154 ,0.154 ,0.154 ,0.154 
Financial Assets -Net of Allowance for Credit Losses,Financial Assets -Net of Allowance for Credit Losses,Financial Assets -Net of Allowance for Credit Losses,81.268 ,82.709 ,88.666 ,88.659 ,94.967 ,96.333 ,98.955 ,100.197 ,97.539 ,95.543 ,94.326 ,91.306 
"Equity Investments In Subsidiaries, Assoc. & Joint Vent.","Equity Investments In Subsidiaries, Assoc. & Joint Vent.","Equity Investments In Subsidiaries, Assoc. & Joint Vent.",0.753 ,0.747 ,0.753 ,3.662 ,3.666 ,3.669 ,3.673 ,3.781 ,3.778 ,4.172 ,4.176 ,4.181 
"Allowance for Credit Losses-Equity Investment in Subsidiaries, Assoc. and Joint Vent","Allowance for Credit Losses-Equity Investment in Subsidiaries, Assoc. and Joint Vent","Allowance for Credit Losses-Equity Investment in Subsidiaries, Assoc. and Joint Vent",0.045 ,0.045 ,0.045 ,0.422 ,0.422 ,0.422 ,0.422 ,0.422 ,0.222 ,0.262 ,0.272 ,0.252 
"Equity Investments In Subsidiaries, Assoc. & Joint Vent.(Net of Allow. For Credit Losses)","Equity Investments In Subsidiaries, Assoc. & Joint Vent.(Net of Allow. For Credit Losses)","Equity Investments In Subsidiaries, Assoc. & Joint Vent.(Net of Allow. For Credit Losses)",0.707 ,0.702 ,0.708 ,3.240 ,3.244 ,3.247 ,3.251 ,3.359 ,3.556 ,3.910 ,3.904 ,3.929 
"Total Loan Portfolio, gross (net of amortization)","Total Loan Portfolio, gross (net of amortization)","Total Loan Portfolio, gross (net of amortization)",298.898 ,300.483 ,303.069 ,301.857 ,308.232 ,314.169 ,311.034 ,311.204 ,298.949 ,312.734 ,318.071 ,323.939 
"Total Loan Portfolio, gross (net of amortization)","Loans and Receivables, gross (net of amortization)","Loans and Receivables, gross (net of amortization)",290.440 ,289.645 ,282.444 ,284.456 ,285.923 ,287.989 ,287.819 ,287.150 ,281.995 ,286.326 ,289.669 ,293.497 
"Total Loan Portfolio, gross (net of amortization)",    Loans to Bangko Sentral ng Pilipinas,    Loans to Bangko Sentral ng Pilipinas,4.939 ,3.167 ,0.000 ,0.000 ,0.228 ,0.000 ,0.000 ,0.000 ,0.000 ,0.450 ,0.375 ,1.400 
"Total Loan Portfolio, gross (net of amortization)",    Interbank Loans Receivable ,    Interbank Loans Receivable ,13.291 ,13.318 ,6.805 ,7.737 ,6.867 ,6.309 ,5.080 ,1.877 ,3.713 ,3.867 ,6.275 ,5.664 
"Total Loan Portfolio, gross (net of amortization)",    Loans and Receivables -Others,    Loans and Receivables -Others,279.123 ,280.119 ,282.659 ,283.809 ,286.016 ,288.938 ,290.088 ,292.597 ,285.680 ,289.500 ,290.578 ,294.056 
"Total Loan Portfolio, gross (net of amortization)",    Loans and Receivables -Others,Unamortized Discount and Other Deferred Credits,6.913 ,6.959 ,7.020 ,7.090 ,7.188 ,7.258 ,7.349 ,7.324 ,7.398 ,7.490 ,7.559 ,7.623 
"Total Loan Portfolio, gross (net of amortization)",    Loans and Receivables - Others - Net of Amortization,    Loans and Receivables - Others - Net of Amortization,272.210 ,273.160 ,275.639 ,276.718 ,278.828 ,281.680 ,282.739 ,285.273 ,278.282 ,282.009 ,283.019 ,286.433 
"Total Loan Portfolio, gross (net of amortization)","Loans and Receivables Arising from Repurchase Agreements, Certificates of Assignment/Participation with Recourse, and Securities Lending and Borrowing Transactions","Loans and Receivables Arising from Repurchase Agreements, Certificates of Assignment/Participation with Recourse, and Securities Lending and Borrowing Transactions",8.458 ,10.838 ,20.625 ,17.401 ,22.309 ,26.180 ,23.215 ,24.054 ,16.954 ,26.408 ,28.402 ,30.442 
Allowance for Credit Losses-Loans,Allowance for Credit Losses-Loans,Allowance for Credit Losses-Loans,13.054 ,13.318 ,13.466 ,13.794 ,14.061 ,14.493 ,14.832 ,15.019 ,14.649 ,14.973 ,15.145 ,14.294 
Allowance for Credit Losses-Loans,Allowance for Credit Losses-Interbank Loans Receivable,Allowance for Credit Losses-Interbank Loans Receivable,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Allowance for Credit Losses-Loans,Allowance for Credit Losses-Loans and Receivables -Other,Allowance for Credit Losses-Loans and Receivables -Other,10.510 ,10.714 ,10.893 ,11.120 ,11.262 ,11.574 ,12.228 ,12.420 ,11.999 ,12.117 ,12.332 ,11.556 
Allowance for Credit Losses-Loans,Allowance for Credit Losses-LRARA,Allowance for Credit Losses-LRARA,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.006 ,0.000 
Allowance for Credit Losses-Loans,General Loan Loss Provision (GLLP),General Loan Loss Provision (GLLP),2.545 ,2.604 ,2.573 ,2.675 ,2.800 ,2.919 ,2.604 ,2.599 ,2.650 ,2.856 ,2.807 ,2.738 
"Total Loan Portfolio, Net of Allowance for Credit Losses","Total Loan Portfolio, Net of Allowance for Credit Losses","Total Loan Portfolio, Net of Allowance for Credit Losses",285.844 ,287.165 ,289.603 ,288.063 ,294.171 ,299.676 ,296.202 ,296.185 ,284.299 ,297.761 ,302.926 ,309.645 
Total ROPA,Total ROPA,Total ROPA,30.766 ,30.550 ,27.658 ,27.352 ,27.283 ,27.552 ,27.532 ,27.214 ,27.339 ,27.782 ,27.931 ,28.947 
Total ROPA,Sales Contract Receivable,Sales Contract Receivable,5.127 ,4.991 ,4.904 ,4.813 ,4.829 ,4.881 ,4.895 ,4.870 ,4.834 ,4.802 ,4.800 ,5.285 
Total ROPA,Non-Current Assets Held for Sale,Non-Current Assets Held for Sale,1.827 ,1.849 ,1.992 ,2.186 ,2.153 ,2.118 ,2.050 ,2.013 ,2.021 ,2.017 ,2.018 ,1.770 
Total ROPA,Real and Other Properties Acquired,Real and Other Properties Acquired,23.812 ,23.710 ,20.762 ,20.353 ,20.301 ,20.552 ,20.587 ,20.331 ,20.484 ,20.963 ,21.114 ,21.892 
Accumulated Depreciation,Accumulated Depreciation,Accumulated Depreciation,1.126 ,1.133 ,0.916 ,1.079 ,1.116 ,0.992 ,1.146 ,0.983 ,1.014 ,1.024 ,1.053 ,1.049 
Unamortized Discount and Other Deferred Credits,Unamortized Discount and Other Deferred Credits,Unamortized Discount and Other Deferred Credits,0.110 ,0.109 ,0.109 ,0.105 ,0.110 ,0.111 ,0.124 ,0.128 ,0.127 ,0.126 ,0.126 ,0.124 
Allowance for Losses - ROPA,Allowance for Losses - ROPA,Allowance for Losses - ROPA,1.357 ,1.407 ,1.285 ,1.113 ,1.104 ,1.198 ,1.040 ,1.007 ,1.023 ,1.033 ,1.053 ,1.133 
