Selected Accounts,Selected Accounts,Selected Accounts,March-08 r/,Apr-08,May-08,Jun-08 r/,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,,
 Asset Accounts total,Asset Accounts total,Asset Accounts total,484.611 ,493.564 ,500.124 ,483.111 ,483.289 ,483.133 ,482.368 ,473.373 ,478.730 ,481.765 ,,
Cash and Due from Banks,Cash and Due from Banks,Cash and Due from Banks,63.916 ,56.070 ,53.420 ,58.378 ,54.594 ,54.081 ,54.997 ,50.049 ,40.028 ,46.899 ,,
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",65.704 ,68.240 ,69.777 ,72.318 ,72.703 ,71.918 ,73.268 ,77.487 ,80.956 ,81.447 ,,
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Financial Assets Held for Trading (HFT),Financial Assets Held for Trading (HFT),0.814 ,0.844 ,1.020 ,1.347 ,1.402 ,1.610 ,1.635 ,1.476 ,1.227 ,2.221 ,,
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Financial Assets Designated at Fair Value through Profit or Loss - Debt Sect,Financial Assets Designated at Fair Value through Profit or Loss - Debt Sect,0.138 ,0.229 ,0.169 ,0.251 ,0.481 ,0.564 ,0.488 ,0.511 ,0.460 ,0.495 ,,
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","AFS Financial Assets, Net of Amortization ","AFS Financial Assets, Net of Amortization ",38.918 ,39.316 ,40.687 ,42.120 ,42.880 ,41.687 ,40.677 ,41.651 ,42.905 ,42.627 ,,
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","AFS Financial Assets, Net of Amortization ",     AFS Debt Securities,37.482 ,37.487 ,38.801 ,40.460 ,40.990 ,39.627 ,38.993 ,39.961 ,41.030 ,40.679 ,,
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","AFS Financial Assets, Net of Amortization ",     Unamortized Discount/Premium,0.600 ,1.053 ,1.148 ,1.231 ,1.108 ,1.255 ,1.352 ,1.257 ,1.412 ,1.491 ,,
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","AFS Financial Assets, Net of Amortization ",     AFS-Debt Securities Net of Amortization,38.082 ,38.539 ,39.949 ,41.691 ,42.098 ,40.882 ,40.345 ,41.218 ,42.441 ,42.170 ,,
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","AFS Financial Assets, Net of Amortization ",     AFS-Equity Securities,0.836 ,0.776 ,0.738 ,0.430 ,0.781 ,0.805 ,0.332 ,0.433 ,0.464 ,0.457 ,,
