object_of_expenditure_1,object_of_expenditure_2,account_code,past_year,current_year,budget_year
Current Operating Expenditures,Current Operating Expenditures,-,-,-,-
Personal Services,PhilHealth Contributions,-,-,-,-
Maintenance and Other Operating Expenses,Travelling Expenses - Local,751,-,-,-
Maintenance and Other Operating Expenses,Training Expenses,753,-,-,-
Maintenance and Other Operating Expenses,Office Supplies Expenses,755,-,137635,-
Maintenance and Other Operating Expenses,Accountable Forms Expenses,756,-,-,-
Maintenance and Other Operating Expenses,Drugs and Medicines Expenses,759,-,-,-
Maintenance and Other Operating Expenses,"Medical, Dental and Laboratory Supplies Expenses",760,-,18000,-
Maintenance and Other Operating Expenses,"Gasoline, Oil and Lubricants Expenses",761,-,-,-
Maintenance and Other Operating Expenses,Agricultural Supplies Expenses,762,-,-,-
Maintenance and Other Operating Expenses,Other Supplies Expenses,765,-,241010,-
Maintenance and Other Operating Expenses,Water Expenses ,766,-,-,-
Maintenance and Other Operating Expenses,Telephone Expenses - Landline,772,-,-,-
Maintenance and Other Operating Expenses,Awards and Indemnities,779,-,-,-
Maintenance and Other Operating Expenses,Advertising Expenses,780,-,-,-
Maintenance and Other Operating Expenses,Printing and Binding Expenses,781,-,-,-
Maintenance and Other Operating Expenses,Rent Expenses,782,-,-,-
Maintenance and Other Operating Expenses,Representation Expenses,783,-,37125,-
Maintenance and Other Operating Expenses,Transportation and Delivery Expenses,784,-,-,-
Maintenance and Other Operating Expenses,Subscription Expenses,786,-,-,-
Maintenance and Other Operating Expenses,Security Services,797,-,504000,-
Maintenance and Other Operating Expenses,Repairs and Maintenance - Office Building,811,-,-,-
Maintenance and Other Operating Expenses,Repairs and Maintenance - Other Structure,815,-,-,-
Maintenance and Other Operating Expenses,Repairs and Maintenance - Construction and Heavy,830,-,104490,-
Maintenance and Other Operating Expenses,Repairs and Maintenance - Motor Vehicles,841,-,159054,-
Maintenance and Other Operating Expenses,"Repairs and Maintenance - Roads, Highways and Bridges",851,-,1493394,-
Maintenance and Other Operating Expenses,"Repairs and Maintenance - Parks, Plazas and Monuments",852,-,-,-
Maintenance and Other Operating Expenses,Subsidy to Local Government Units,874,-,1803370,-
Maintenance and Other Operating Expenses,Subsidy to Government Owned and Controlled Corporations,875,-,-,-
Maintenance and Other Operating Expenses,Subsidy to NGO's or PO's,876,-,-,-
Maintenance and Other Operating Expenses,Subsidy to Other Funds,877,-,-,-
Maintenance and Other Operating Expenses,Miscellaneous Expenses,884,-,136800,-
Maintenance and Other Operating Expenses,Other Maintenance and Other Operating Expenses,969,-,14086622.51,-
Capital Outlay,Office Equipment,221,-,322240,-
Capital Outlay,Furniture and Fixtures,222,-,-,-
Capital Outlay,IT Equipment and Software,223,-,19000,-
Capital Outlay,"Agricultural, Fishery and Forestry Equipment",227,-,-,-
Capital Outlay,Communication Equipment,229,-,-,-
Capital Outlay,"Medical, Dental and Laboratory Equipment",233,-,31200,-
Capital Outlay,"Other Property, Plantand Equipment",250,-,42000,-
Capital Outlay,Construction in Progress - Agency Assets,264,-,7760.7,-
Capital Outlay,"Construction in Progress - Roads, Highways and Bridges",266,-,640457.23,-
Capital Outlay,Construction in Progress - Other Public Infrastructures,273,-,1036075,-
Capital Outlay,Other Assets,290,-,200485,-
Financial Expenses,Bank Charges,971,-,-,-
Financial Expenses,Interest Expense,975,-,4902231.37,-
Total Appropriation,Total Appropriation,-,0,25922949.81,-
