object_of_expenditure_1,object_of_expenditure_2,account_code,past_year,current_year,budget_year
Current Operating Expenditures,Current Operating Expenditures,-,-,-,-
Personal Services,PhilHealth Contributions,-,-,-,-
Maintenance and Other Operating Expenses,Travelling Expenses - Local,751,-,18038,-
Maintenance and Other Operating Expenses,Training Expenses,753,-,-,-
Maintenance and Other Operating Expenses,Office Supplies Expenses,755,-,91932,-
Maintenance and Other Operating Expenses,Accountable Forms Expenses,756,-,-,-
Maintenance and Other Operating Expenses,Drugs and Medicines Expenses,759,-,-,-
Maintenance and Other Operating Expenses,"Medical, Dental and Laboratory Supplies Expenses",760,-,384,-
Maintenance and Other Operating Expenses,"Gasoline, Oil and Lubricants Expenses",761,-,135070,-
Maintenance and Other Operating Expenses,Agricultural Supplies Expenses,762,-,-,-
Maintenance and Other Operating Expenses,Other Supplies Expenses,765,-,66905.2,-
Maintenance and Other Operating Expenses,Water Expenses ,766,-,-,-
Maintenance and Other Operating Expenses,Telephone Expenses - Landline,772,-,-,-
Maintenance and Other Operating Expenses,Awards and Indemnities,779,-,-,-
Maintenance and Other Operating Expenses,Advertising Expenses,780,-,-,-
Maintenance and Other Operating Expenses,Printing and Binding Expenses,781,-,-,-
Maintenance and Other Operating Expenses,Rent Expenses,782,-,-,-
Maintenance and Other Operating Expenses,Representation Expenses,783,-,1440,-
Maintenance and Other Operating Expenses,Transportation and Delivery Expenses,784,-,-,-
Maintenance and Other Operating Expenses,Subscription Expenses,786,-,-,-
Maintenance and Other Operating Expenses,Security Services,797,-,126000,-
Maintenance and Other Operating Expenses,Repairs and Maintenance - Office Building,811,-,1862345.8,-
Maintenance and Other Operating Expenses,Repairs and Maintenance - Other Structure,815,-,55894,-
Maintenance and Other Operating Expenses,Repairs and Maintenance - Construction and Heavy,830,-,-,-
Maintenance and Other Operating Expenses,Repairs and Maintenance - Motor Vehicles,841,-,150220,-
Maintenance and Other Operating Expenses,"Repairs and Maintenance - Roads, Highways and Bridges",851,-,818548.25,-
Maintenance and Other Operating Expenses,"Repairs and Maintenance - Parks, Plazas and Monuments",852,-,-,-
Maintenance and Other Operating Expenses,Subsidy to Local Government Units,874,-,2185807,-
Maintenance and Other Operating Expenses,Subsidy to Government Owned and Controlled Corporations,875,-,-,-
Maintenance and Other Operating Expenses,Subsidy to NGO's or PO's,876,-,10000,-
Maintenance and Other Operating Expenses,Subsidy to Other Funds,877,-,-,-
Maintenance and Other Operating Expenses,Miscellaneous Expenses,884,-,42100,-
Maintenance and Other Operating Expenses,Other Maintenance and Other Operating Expenses,969,-,13056900.85,-
Capital Outlay,Office Equipment,221,-,283500,-
Capital Outlay,Furniture and Fixtures,222,-,-,-
Capital Outlay,IT Equipment and Software,223,-,-,-
Capital Outlay,"Agricultural, Fishery and Forestry Equipment",227,-,146724,-
Capital Outlay,"Roads, Highways and Bridges",251,-,575342,-
Capital Outlay,Other Public Infrastructure,260,-,3219523.12,-
Capital Outlay,Construction in Progress - Agency Assets,264,-,-,-
Capital Outlay,"Construction in Progress - Roads, Highways and Bridges",266,-,22687804.47,-
Capital Outlay,Construction in Progress - Flood Controls,271,-,26524.25,-
Capital Outlay,Other Assets,290,-,62585,-
Financial Expenses,Bank Charges,971,-,-,-
Financial Expenses,Interest Expense,975,-,2357343.91,-
Total Appropriation,Total Appropriation,-,0,47980931.85,-
