province_or_city,position,name,nickname,party_affiliation,votes_obtained
Abra,Representative- Lone District,"LUnited Nationalist Alliance, Cecilia Seares",Cecy,-,34103
Agusan Del Norte,Representative- 1st District,"Aquino, Jose  II Sabijon",Joboy,Lakas-Christian Muslim Democrats,43215
Agusan Del Norte,Representative- 2nd District,"Amante, Edelmiro Atega",Del,Kabalikat ng Malayang Pilipino,79846
Agsan Del Sur,Representative- Lone District,"Plaza, Rodolfo Rodrigo Galido",Ompong,Nationalist People's Coalition,102100
Aklan,Representative- Lone District,"Miraflores, Florencio Tumbocon",Joeben,-,130093
Albay,Representative- 1st District,"Lagman, Edcel Castelar",Edcel,Lakas-Christian Muslim Democrats,83726
Albay,Representative- 2nd District,"Bichara, Al Francis Del Castillo",Al,Nacionalista Party,62370
Albay,Representative- 3rd District,"Lim, Reno Gutlay",Rgl,-,94552
Antique,Representative- Lone District,"Javier, Exequiel Bellaflor",Boy Ex,Lakas-Christian Muslim Democrats,96398
Apayao,Representative- Lone District,"Bulut, Elias Jr. Cayaba",Butzyx,Nationalist People's Coalition,34321
Aurora,Representative- Lone District,"Angara, Juan Edgardo Manalang",Sonny,Laban ng Demokratikong Pilipino,53091
Basilan,Representative- Lone District,"Akbar, Wahab Muhtamad",Tuwan,Liberal Party,81744
Bataan,Representative- 1st District,"Roman, Herminia Batista",Minia,Lakas-Christian Muslim Democrats,69037
Bataan,Representative- 2nd District,"Garcia, Albert Raymond Sandejas",Abet,Kabalikat ng Malayang Pilipino,84571
Batanes,Representative- Lone District,"Diasnes, Carlo Oliver Dona",Cac,Kabalikat ng Malayang Pilipino,4430
Batangas,Representative- 1st District,"Ermita-Buhain, Elenita Milagros Ramos",Eileen Ermita,Lakas-Christian Muslim Democrats,101127
Batangas,Representative- 2nd District,"Mandanas, Hermilando Ingco",Dodo,Liberal Party,149362
Batangas,Representative- 3rd District,"Reyes, Victoria Hernandez",Vicky,-,107869
Batangas,Representative- 4th District,"Mendoza, Mark Llandro Latorre",Dong,Nationalist People's Coalition,97218
Benguet,Representative- Lone District,"Dangwa, Samuel Martin",Sam,Lakas-Christian Muslim Democrats,66710
Benguet,Representative,"Domogan, Mauricio Gamsao",Morris,-,47488
Biliran,Representative- Lone District,"Chong, Glenn Ang",Glenn,Liberal Party,36097
Bohol,Representative- 1st District,"Chatto, Edgardo Migrino",Edgar,Lakas-Christian Muslim Democrats,127561
Bohol,Representative- 2nd District,"Cajes, Roberto Castano",Ondoy,-,106723
Bohol,Representative- 3rd District,"Jala, Adam Relson Lagrada",Da Boy,-,65081
Bukidnon,Representative- 1st District,"Pancrudo, Candido Jr. Pios",Edui,Lakas-Christian Muslim Democrats,39136
Bukidnon,Representative- 2nd District,"Guingona, Teofisto III De Lara",Tg,Nacionalista Party -United Opposition,60022
Bukidnon,Representative- 3rd District,"Zubiri, Jose Ma III Fernandez",Joey,Lakas-Christian Muslim Democrats,107632
Bulacan,Representative- 1st District,"Sy-Alvarado, Ma Victoria Reyes",Marivic,Lakas-Christian Muslim Democrats,98664
Bulacan,Representative- 2nd District,"Pancho, Pedro Matias",Pancho,-,110829
Bulacan,Representative- 3rd District,"Silverio, Lorna Cillan",Tita Lorna,-,83609
Bulacan,Representative- 4th District,"Nicolas, Reylina Gestuvo",Neneng,-,88121
