province_or_city,position,name,nickname,party_affiliation,votes_obtained
Abra,Representative-Lone District,"Bernos, Maria Jocelyn Valera",Joy,Liberal Party,78447
Agusan del Norte,Representative-1st District,"Fortun, Lawrence Lemuel Hernandez",Law,Liberal Party,94483
Agusan del Norte,Representative-2nd District,"Amante, ErLiberal Partye John Malbas",Ping,KUSGAN,102240
Agusan del Sur,Representative-1st District,"Plaza, Maria Valentina Galido",Tina,National Unity Party,74537
Agusan del Sur,Representative-2nd District,"Mellana, Evelyn Plaza",Bebs,National Unity Party,64027
Aklan,Representative-Lone District,"Haresco, Teodorico Jr. Tumbocon",Nonong,Independent,104438
Albay,Representative-1st District,"Lagman, Edcel Burce",Grex,Liberal Party,76114
Albay,Representative-2nd District,"Bichara, Al Francis Del Castillo",Al,Nacionalista Party ,142566
Albay,Representative-3rd District,"Gonzalez, Fernando Vallejo",Nando,Liberal Party,131804
Antique,Representative-Lone District,"Javier, Paolo Everardo Sales",Paolo,Liberal Party,124526
Apayao,Representative-Lone District,"Begtang, Eleanor Bulut",Leah,Nationalist People's Coalition,41871
Aurora,Representative-Lone District,"Castillo, Bellaflor Angara",Bella,Laban ng Demokratikong Pilipino,58996
Basilan,Representative-Lone District,"Salliman, Hadjiman Sabbihi",Hattaman Jim,Liberal Party,96816
Bataan,Representative-1st District,"Roman, Herminia Batista",Minia,Liberal Party,93836
Bataan,Representative-2nd District,"Garcia, Enrique Jr. Tuason",Tet,National Unity Party,130129
Batanes,Representative-Lone District,"Abad, Henedina Razon",Dina,Liberal Party,3813
Batangas,Representative-1st District,"Ermita-Buhain, Elenita Milagros Ramos",Eileen Ermita,Lakas-Christian Muslim Democrats,120573
Batangas,Representative-2nd District,"Abu, Raneo Enriquez",Ranie,Nacionalista Party ,105228
Batangas,Representative-3rd District,"Collantes, Nelson Perez",Sonny,Liberal Party,128212
Batangas,Representative-4th District,"Mendoza, Mark Llandro Latorre",Dong,Nationalist People's Coalition,180401
Benguet,Representative-2nd District,"Cosalan, Ronald Morales",Ronnie,Liberal Party,85534
"Benguet, Baguio City",Representative-Lone District,"Aliping, Nicasio Jr. Mocnangan",Bot-Bot,Independent,38762
Biliran,Representative-Lone District,"Espina, Rogelio Jimenez",Roger,Liberal Party,46072
Bohol,Representative-1st District,"Relampagos, Rene Lopez",Rene,Liberal Party,144827
Bohol,Representative-2nd District,"Aumentado, Erico Aristotle Cabagnot",Aris,Nationalist People's Coalition,107086
Bohol,Representative-3rd District,"Yap, Arthur Cua",Art,Nationalist People's Coalition,168276
Bukidnon,Representative-1st District,"Acosta, Maria Lourdes Olaivar",Malou,Liberal Party,64133
Bukidnon,Representative-2nd District,"Flores, Florencio Jr. Tadiar",Doc Boy,Nacionalista Party ,100550
Bukidnon,Representative-3rd District,"Zubiri, Jose Ma. III Fernandez",Joey,BPP,134209
Bukidnon,Representative-4th District,"Roque, Rogelio Neil Pepito",Oneil,Nationalist People's Coalition,46079
Bulacan,Representative-1st District,"Sy-Alvarado, Ma. Victoria Reyes",Mare Marivic,National Unity Party,217632
Bulacan,Representative-2nd District,"Pancho, Gavini Cruz",Apol,National Unity Party,156788
Bulacan,Representative-3rd District,"Mendoza, Joselito Andrew Roxas",Jonjon,Liberal Party,122079
Bulacan,Representative-4th District,"Villarica, Linabelle Ruth Ramos",Lv,Liberal Party,197727
"Bulacan, San Jose del Monte City",Representative-Lone District,"Robes, Arturo Bardillon",Arthur,Liberal Party,79120
Cagayan,Representative-1st District,"Ponce Enrile, Salvacion Santiago",Sally,Nationalist People's Coalition,97737
Cagayan,Representative-2nd District,"Alfonso, Baby Aline Vargas",Aline,National Unity Party,70407
Cagayan,Representative-3rd District,"Ting, RandoLiberal Partyh Sera",Randy,National Unity Party,119613
Camarines Norte,Representative-1st District,"Reyes, Catherine Barcelona",Cathy Barcelona-Reyes,National Unity Party,52091
Camarines Norte,Representative-2nd District,"Panotes, Elmer Ellaga",Eming,Lakas-Christian Muslim Democrats,63029
Camarines Sur,Representative-1st District,"Andaya, Rolando Jr. Gutierrez",Nonoy,Lakas-Christian Muslim Democrats,62125
Camarines Sur,Representative-2nd District,"Arroyo, Diosdado Ignacio Jose Maria Macapagal",Dato,Lakas-Christian Muslim Democrats,65926
Camarines Sur,Representative-3rd District,"Robredo, Maria Leonor Gerona",Leni,Liberal Party,132387
Camarines Sur,Representative-4th District,"Fuentebella, Felix William Buquid",Wimpy,Nationalist People's Coalition,82834
Camarines Sur,Representative-5th District,"FortUnited Opposition, Salvio Balera",Sal,Liberal Party,97931
Camiguin,Representative-Lone District,"Romualdo, Pedro Palarca",Ppr/Loloy,Nationalist People's Coalition,32747
Capiz,Representative-1st District,"Del Rosario, Antonio Andrada",Tony,Liberal Party,113343
Capiz,Representative-2nd District,"Castro, Fredenil Hernaez",Oto,National Unity Party,94055
Catanduanes,Representative-Lone District,"Sarmiento, Cesar Vergara",Cesar,Liberal Party,101156
Cavite,Representative-1st District,"Abaya, Francis Gerald Aguinaldo",Boyblue,Liberal Party,100041
Cavite,Representative-2nd District,"Revilla, Lani Mercado",Lani Mercado,Lakas-Christian Muslim Democrats,109203
Cavite,Representative-3rd District,"Advincula, Alex Lacson",Aa,Liberal Party,63123
Cavite,Representative-4th District,"Barzaga, ELiberal Partyidio Jr. Frani",Pidi,National Unity Party,165604
Cavite,Representative-5th District,"Loyola, Roy Maulanin",Roy,Liberal Party,133943
Cavite,Representative-6th District,"Ferrer, Luis Iv Alandy",Jon-Jon,National Unity Party,125611
Cavite,Representative-6th District,"Tolentino, Abraham Ng",Bambol,Liberal Party,101075
Cebu,Representative-1st District,"Gullas, Gerald Anthony Jr. Vargas",Samsam,Nacionalista Party ,176632
Cebu,Representative-2nd District,"Caminero, Wilfredo Sardido",Willy,Liberal Party,91529
Cebu,Representative-3rd District,"Garcia, Gwendolyn Fiel",Gwen,United Nationalist Alliance,105424
Cebu,Representative-4th District,"Salimbangon, Benhur Lago",Ben,National Unity Party,124552
Cebu,Representative-5th District,"Durano, Joseph Felix Mari Hotchkiss",Ace,Liberal Party,165687
Cebu,Representative-6th District,"Quisumbing, Gabriel Luis Romualdez",Luigi,Liberal Party,125815
"Cebu, Cebu City",Representative-1st District,"Del Mar, Raul Veloso",Raul,Liberal Party,135368
"Cebu, Cebu City",Representative-2nd District,"Abellanosa, Rodrigo Abellana",Bebot,Liberal Party,125328
"Cebu, Lapu-lapu City (Opon)",Representative-Lone District,"Radaza, Aileen Corro",Tata,Lakas-Christian Muslim Democrats,61491
Compostela Valley,Representative-1st District,"Zamora, Maria Carmen Solamillo",Maricar Zamora,Liberal Party,72881
Compostela Valley,Representative-2nd District,"Amatong, Rommel Ca",Bobong,Liberal Party,122779
"Cotabato, North Cotabato",Representative-1st District,"Sacdalan, Jesus Nonato",Susing,Liberal Party,109987
"Cotabato, North Cotabato",Representative-2nd District,"Catamco, Nancy Alaan",Nancy,Liberal Party,70054
"Cotabato, North Cotabato",Representative-3rd District,"Tejada, Jose Inserto",Pingping,Independent,71978
"Davao, Davao del Norte",Representative-1st District,"Del Rosario, Antonio Rafael Garcia",Agr,Liberal Party,132705
"Davao, Davao del Norte",Representative-2nd District,"Lagdameo, Antonio Ernesto Jr. Floirendo",Anton,National Unity Party,142453
Davao del Sur,Representative-1st District,"Cagas, Mercedes Chan",Didi,Nacionalista Party ,88149
