function_or_program_or_project_1,function_or_program_or_project_2,appropriations,obligations_as_of_September_30_2012,balances_of_appropriations 
"Maintenance and Other Operating Expenses   ",Training Expense,7900000,-,7900000
"Maintenance and Other Operating Expenses   ",Other Supplies,3000000,-,3000000
"Maintenance and Other Operating Expenses   ","Other Maintenance and Operating Expenses  (Purchase of relief goods and giving of financial assistance for victims of fire, typhoons and flashfloods)",12350000,11999155,350845
"Maintenance and Other Operating Expenses   ",Total MOOE,23250000,11999155,11250845
Capital Outlay,Office Equipment,250000,-,250000
Capital Outlay,Communication Equipment,4000000,-,4000000
Capital Outlay,Other Machinery and Equipment,2500000,-,2500000
Capital Outlay,Motor Vehicles,4000000,-,4000000
Capital Outlay,"Construction in progress agency assets",6000000,-,6000000
Capital Outlay,Capital Outlay,16750000,-,16750000
Total Appropriations,Total Appropriations,40000000,11999155,28000845
