particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Sources of Funds,Current Appropriation,12000000,28000000,-,-,-,40000000
Sources of Funds,Continuing Appropriation,-,-,-,-,-,-
Sources of Funds,Previous Year's Appropriaation transferred to the Special Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfer Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,12000000,28000000,-,-,-,40000000
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,4199175,-,-,-,-,4199175
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,-,-,-,-,-
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Utilization,Transfers to Other LGU's,-,-,-,-,-,-
Total Utilization,Total Utilization,4199175,-,-,-,-,4199175
Unutilized Balance,Unutilized Balance,7800825,28000000,-,-,-,35800825
