item_of_appropriation_or_expenditure_1,item_of_appropriation_or_expenditure_2,item_of_appropriation_or_expenditure_3,utilization
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Social Services,Construction or Rehabilitation or Fumishing or Maintenance of Hospitals and Birthing Centers,96898898.41
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Social Services,"Housing, Parks or Plazas or Monuments and Other Community or Site Development Program",4759845.3
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Social Services,Gender and Development Program,380286
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Social Services,GWEN(Government on Wheels for Emergency Needs) Program,750000
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Social Services,Water Supply Development Program,3178124.62
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Social Services,"Environmental Enhancement, Resource Protection and Solid Waste Management Program",382381.96
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Social Services,Restoration or Preservation of Cultural Arts or Museum or Heritage Sites or Structures or Program,893729.08
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Economic Services,Malapascua and Other Eco-Tourism or Resort Development Program,950000
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Economic Services,Construction or Rehabilitation or Fumishing or Maintenance of Buildings and Other Structures,312270.05
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Economic Services,Airport or Seaport or Reclamation and Other Economic Enterprise Site Development Program,6932421.34
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Economic Services,Road or Bridge or Highway Construction or Rehabilitation Program,118957307.8
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Economic Services,"Electrification, Power Generation, Renewable Energy Development and Street Lighting Program",84261.5
Total Development Projects or Activities,Total Development Projects or Activities,Total Development Projects or Activities,234479526.1
