item_of_appropriation_or_expenditure_1,item_of_appropriation_or_expenditure_2,item_of_appropriation_or_expenditure_3,utilization
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Social Services,Construction or Rehabilitation or Fumishing or Maintenance of Provincial or District Hospitals and Birthing Centers,2072427.64
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Social Services,"Housing, Parks or Plazas or Monuments and Other Community or Site Development Program",3254578.72
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Social Services,Gender and Development Program,1326911.32
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Social Services,Water Supply Development Program,3183678.9
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Social Services,"Environmental Enhancement, Resource Protection and Solid Waste Management Program",207157.2
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Social Services,Restoration or Preservation of Cultural Arts or Museum or Heritage Sites or Structures or Program,4697250.35
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Economic Services,Malapascua and Other Eco-Tourism or Resort Development Program,52129.47
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Economic Services,Construction or Rehabilitation or Fumishing or Maintenance of Buildings and Other Structures,1233703.93
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Economic Services,Airport or Seaport or Reclamation and Other Economic Enterprise Site Development Program,10740.94
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Economic Services,Road or Bridge or Highway Construction or Rehabilitation Program,50577458.96
Non_Office Expenditures (Special Purpose Appropriations) Sectoral or Functional Development Projects or Activities,Economic Services,"Electrification, Power Generation, Renewable Energy Development and Street Lighting Program",239213
Total Development Projects or Activities,Total Development Projects or Activities,Total Development Projects or Activities,66855250.43
