accounts_title_1,accounts_title_2,account_code,appropriation,allotment,appropriation_balance,obligations_incurred,unobligated_balance
Social Services Sector,"Rehabilitation of OR or DR Complex and OB ward of DRSTMH Kalibo, Aklan - Lump Sum",-,1000000,-,1000000,-,-
Social Services Sector,"Rehabilitation of main hospital building of Godofredo P. Ramos Hospital, Altavas, Aklan - Lump Sum",-,900000,-,900000,-,-
Social Services Sector,"Rehabilitation and Improvement of main building of DLNDMH, Madalag, Aklan - Lump Sum",-,600000,-,600000,-,-
Social Services Sector,"Rehabilitation of main building of Malay Mun. Hospital, Malay, Aklan - Lump Sum",-,1200000,1200000,-,1200000,-
Social Services Sector,Rehabilitation of main hospital building of Don Ciriaco Municipal Hospital - Lump Sum,-,2600000,-,2600000,-,-
Social Services Sector,Constructionof Building for Protection of Children(Aklan Youth Center) - Lump Sum,-,4614227.3,-,4614227.3,-,-
Social Services Sector,Construction or Rehabilitation of building and facilities for disabled persons - Lump Sum,-,2057113.65,1000000,1057113.65,500000,500000
Social Services Sector,Construction of Buuilding for Senior Citizens - Lump Sum,-,2057113.65,-,2057113.65,500000,-
Social Services Sector,Improvement of Electrification Program or Project Provincewide - Lump Sum - Aklan Decorative St. Lighting(Pook-Andagao Sec Ph2),-,1500000,1500000,-,1501107.01,-1107.01
Social Services Sector,"Construction or Rehabilitation of various Irrigation, Water Supply System - Lump Sum",-,1500000,-,1500000,-,-
Economic Development,"Livelihood Program(Kabuhayan, Pagsukob sa Kapubrehan) - PGO",878,1742330.5,1742330.5,-,1423858,318472.5
Economic Development,"Livelihood Program(Kabuhayan, Pagsukob sa Kapubrehan) - OPA",878,250000,250000,-,250000,-
Economic Development,Pook Economic and Tourism Developmet Project - Lump Sum,-,2500000,2500000,-,2500000,-
Economic Development,Construction or Rehabilitation of Local Roads and Bridges - Lump Sum,-,11747000,-,4747000,-,-
Economic Development,Construction or Rehabilitation of Local Roads and Bridges - Conc. Of Caano-Nalook Road,-,-,500000,-,460523.96,39476.04
Economic Development,Construction or Rehabilitation of Local Roads and Bridges - Opening of road for the proposed pook eco-tourism,-,-,5000000,-,-,5000000
Economic Development,Construction or Rehabilitation of Local Roads and Bridges - Sitio Libtong Estancia,-,-,500000,-,488850.69,11149.31
Economic Development,Construction or Rehabilitation of Local Roads and Bridges - Albasan-Navitas Numancia,-,-,500000,-,488529.83,11470.17
Economic Development,Construction or Rehabilitation of Local Roads and Bridges - Dongon Numancia,-,-,500000,-,488529.83,11470.17
Economic Development,Purchase of Engineering Equipments - Heavy Equipment,-,1600000,1600000,-,1600000,-
Economic Development,Loan Amortization-Principal - Principal - Lump Sum,-,52974194.7,52974194.7,-,52974194.7,-
Environmental Management,Palayamanan-Kabuhayan Program - Agricultural Supllies,762,72500,58000,14500,46500,11500
Environmental Management,Palayamanan-Kabuhayan Program - Training and Seminar,753,27500,22000,5500,-,22000
Environmental Management,Corn Production Program - Technical Briefing,-,40000,32000,8000,31873,127
Environmental Management,Corn Production Program - Hybrid or OPV Corn seeds,-,65000,65000,-,19857,45143
Environmental Management,Corn Production Program - Techno Demo,-,25000,-,25000,-,-
Environmental Management,Corn Production Program - Labor or Maintenance,-,60000,60000,-,48000,12000
Environmental Management,"Corn Production Program - Fuel, Oil and Lubricants",-,10000,8000,2000,-,8000
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - Training Workshop - Food and Accomodation,753,100000,100000,-,96000,4000
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - Training Workshop - Trainning Supplies,-,50000,50000,-,48256,1744
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - Quarterly Meeting - Snacks,-,50000,50000,-,49975,25
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - U. A. of AR Proj. or FED - Boat rental,782,-,-,-,-,-
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - U. A. of AR Proj. or FED - Food and Accomodation,969,216000,216000,-,216000,-
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - U. A. of AR Proj. or FED - Cylinder Tank Refill,969,-,-,-,-,-
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - U.A of Est. and proposed fish sanctuary - Boat Rental,782,90000,90000,-,90000,-
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - U.A of Est. and proposed fish sanctuary - Food and Accomodation,969,10800,10800,-,10000,800
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - U.A of Est. and proposed fish sanctuary - Cylinder Tank Refill ,969,-,-,-,-,-
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - Fuel and Oil for Pump Boat,761,45000,45000,-,-,45000
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - Diving Gears or Equipment and Accessories Proc of 2 Scuba Diving,227,527125,527125,-,525898.29,1226.71
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - Procurement of 1 underwater camera,227,70000,70000,-,70000,-
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - Fish Aggregating Devices Payao - Payao,-,89875,89875,-,-,89875
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) -Fish Aggregating Devices Payao - Conc Artificial Reef Project(Jackstone Type 200 Units 2 sites,-,176400,176400,-,-,176400
