accounts_title_1,accounts_title_2,account_code,appropriation,allotment,appropriation_balance,obligations_incurred,unobligated_balance
Environmental Management,"Brgy. Castillo-Tina Integrated agricultural Development Project Crop Production(16.5 ha.) - Fuel, Oil and Lubricants",-,100000,80000,20000,-,80000
Environmental Management,Livestock Production - Labor,-,255500,126000,129500,-,126000
Environmental Management,Livestock Production - Feeds and Ruminants,-,196625,157300,39325,-,157300
Environmental Management,Livestock Production - Veterinary Logistics,-,60000,48000,12000,-,48000
Environmental Management,Livestock Production - Purchase of A.I. Supplies,-,35000,28000,7000,-,28000
Environmental Management,"Livestock Production - Fuel, Oil and Lubricants",-,40000,32000,8000,-,32000
Environmental Management,Livestock Production - Other Expenses,-,12875,10300,2575,-,10300
Environmental Management,Forage and Pasture - Labor (Maintenance of Foraqe),-,63000,50400,12600,-,50400
Environmental Management,Forage and Pasture - Procurement of material or equipment,-,37000,29600,7400,-,29600
Environmental Management,Freshwater Fish Culture - Labor or Pakyaw Contract,-,100000,80000,20000,-,80000
Environmental Management,Freshwater Fish Culture - Proc of agricultural supplies,-,66000,52800,13200,-,52800
Environmental Management,"Freshwater Fish Culture - Fuel, Oil and Lubricants",-,10000,8000,2000,-,8000
Environmental Management,Freshwater Fish Culture - Capital Outlay,-,24000,19200,4800,-,19200
Environmental Management,Fencing of the Area - Labor(Pakyaw contract),-,35000,28000,7000,-,28000
Environmental Management,Fencing of the Area - Proc. of Fencing Materials,-,85000,68000,17000,-,68000
Environmental Management,Biomass Recycling - Capital Outlay,-,60000,48000,12000,-,48000
Environmental Management,"Establishment of 1,500 sq. Earthen Pond for Culture of Pangasius - Lump Sum",-,550000,-,550000,-,-
Environmental Management,Natural Farming - Lump Sum,-,70000,-,70000,-,-
Environmental Management,Lambaklad-Tangalan - Supplies and Materials,765,2196451,2196451,-,2196451,-
Environmental Management,Lambaklad-Tangalan - Other maintenance and operating expenses,969,533667,533667,-,-,533667
Environmental Management,Lambaklad-Tangalan - Service Boat,227,150000,150000,-,150000,-
Environmental Management,Lambaklad-Tangalan - Materials and Labor for Fishermen,959,85000,85000,-,85000,-
Environmental Management,Lambaklad-Nabas - Supplies and Materials,765,2221951,2221951,-,2221951,-
Environmental Management,Lambaklad-Nabas - Other maintenance and Operating Expenses,969,593167,593167,-,59500,533667
Environmental Management,Lambaklad-Nabas - Service Boat,227,150000,150000,-,150000,-
Environmental Management,Aklan Environmental Laboratory - Lump Sum,-,2000000,-,2000000,-,-
Grand Total,Grand Total,-,106667415.8,77218646.2,29448769.6,50596068.93,26622577.27
