Region,Type of Bank,Dec-01,Dec-02,Dec-03,Dec-04,Dec-05,Dec-06,Dec-07,Dec-08,Dec-09,Dec-10,Dec-11
National Capital Region,National Capital Region_Total,"1,493.65","1,569.80","1,905.91","1,867.22","2,024.91","2,403.25","2,494.33","2,875.97","3,177.91","3,484.59","3,635.82"
National Capital Region,Universal and Commercial Banks,"1,394.28","1,456.91","1,775.56","1,716.26","1,845.38","2,169.39","2,235.00","2,609.62","2,880.72","3,143.74","3,278.27"
National Capital Region,Thrift Banks,96.663,109.091,125.427,144.791,169.949,221.706,243.728,254.858,285.15,327.986,343.023
National Capital Region,Rural and Cooperative Banks,2.703,3.793,4.924,6.172,9.573,12.157,15.608,11.496,12.043,12.862,14.528
REGION I - Ilocos,REGION I - Ilocos_Total,45.518,68.004,56.147,59.53,62.823,70.252,72.059,79.434,87.798,97.641,102.765
REGION I - Ilocos,Universal and Commercial Banks,37.651,59.911,46.76,49.231,51.577,56.676,56.92,63.564,73.023,80.033,87.414
REGION I - Ilocos,Thrift Banks,3.66,3.314,4.004,4.539,5.134,6.702,7.598,7.737,8.667,10.336,7.881
REGION I - Ilocos,Rural and Cooperative Banks,4.207,4.779,5.383,5.76,6.113,6.874,7.541,8.133,6.108,7.272,7.469
REGION II - Cagayan Valley,REGION II - Cagayan Valley_Total,19.063,20.312,21.799,24.623,27.411,30.435,33.594,40.512,49.121,55.102,58.721
REGION II - Cagayan Valley,Universal and Commercial Banks,16.338,17.632,18.794,21.014,23.206,25.73,28.09,33.873,41.854,46.567,50.694
REGION II - Cagayan Valley,Thrift Banks,0.61,0.554,0.629,0.955,1.185,1.241,1.233,1.722,1.526,2.337,2.501
REGION II - Cagayan Valley,Rural and Cooperative Banks,2.115,2.126,2.376,2.654,3.019,3.464,4.271,4.917,5.741,6.198,5.526
REGION III - Central Luzon 1/,REGION III - Central Luzon 1/_Total,106.961,114.12,123.88,136.002,145.014,165.43,175.163,200.673,231.258,250.402,269.561
REGION III - Central Luzon 1/,Universal and Commercial Banks,86.788,91.488,98.107,106.531,112.429,128.717,134.883,157.472,183.285,197.688,217.112
REGION III - Central Luzon 1/,Thrift Banks,12.184,13.246,14.862,16.725,18.833,22.217,24.102,25.38,29.718,33.09,32.018
REGION III - Central Luzon 1/,Rural and Cooperative Banks,7.989,9.386,10.911,12.746,13.752,14.496,16.178,17.821,18.256,19.624,20.432
REGION IV-A - Calabarzon 2/,REGION IV-A - Calabarzon 2/_Total,151.52,149.713,165.742,187.001,197.816,227.239,242.396,277.023,317.303,339.41,366.908
REGION IV-A - Calabarzon 2/,Universal and Commercial Banks,115.448,112.166,123.54,140.954,147.443,169.273,174.661,209.413,241.684,260.827,287.909
REGION IV-A - Calabarzon 2/,Thrift Banks,20.464,21.364,25.238,27.152,30.302,35.301,40.279,42.253,48.493,52.407,50.814
REGION IV-A - Calabarzon 2/,Rural and Cooperative Banks,15.608,16.183,16.964,18.895,20.072,22.665,27.456,25.358,27.126,26.176,28.186
