particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,25215000,58835000,-,-,-,84050000
Sources of Funds,Continuing Appropriations,-,-,-,-,-,-
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,-,46562609.14,-,-,-,46562609.14
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,25215000,105397609.1,-,-,-,130612609.1
Ulitization,Medicines,-,-,-,-,-,-
Ulitization,Food Supplies,-,-,-,-,-,-
Ulitization,Repair of Evaluation Center,-,-,-,-,-,-
Ulitization,Trainings,-,-,-,-,-,-
Ulitization,Construction of Evacuation Center,-,-,-,-,-,-
Ulitization,Equipment,-,-,-,-,-,-
Ulitization,Transfers to other LGUs,-,-,-,-,-,-
Ulitization,Total Utilization,-,-,-,-,-,-
Ulitization,Unutilized Balance,25215000,105397609.1,-,-,-,130612609.1
