particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriation,22246273.8,98468855.11,-,-,-,120715128.91
Sources of Funds,Continuing Appropriation,-,-,-,-,-,-
Sources of Funds,Previous Year's Appropriation transferred to the Special Trust Fund,-,58055329.8,-,-,-,58055329.80
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,22246273.8,156524184.9,-,-,-,178770458.70
Ulitization,Travelling Expenses,-,67193,-,-,-,67913
Ulitization,Food Supplies Expense,-,406250,-,-,-,406250
Ulitization,Gasoline Oil and Lubricants Expense,-,100800,-,-,-,100800
Ulitization,Repair and Maintenance Construction and Heavy Equipment,-,14330,-,-,-,14330
Ulitization,Repair and Maintenance - Motor Vehicles,-,40000,-,-,-,40000
Ulitization,Donations,-,5000,-,-,-,5000
Ulitization,Other Maintenanc and Operating Expenses,-,142400.08,-,-,-,142400.08
Ulitization,Total Current Appriation Utilization,-,776693.08,-,-,-,776693.08
Ulitization,Disaster Relief,-,388287.5,-,-,-,388287.5
Ulitization,Emergency Shelter Assistance,-,28814000,-,-,-,24814000
Ulitization,Infrastructure,-,250000,-,-,-,250000
Total Trust Fund Utilization,Total Trust Fund Utilization,-,25452287.5,-,-,-,25452287.5
Total Utilization,Total Utilization,-,26228980.58,-,-,-,26228980.58
Unutilized Balance,Unutilized Balance,22246273.8,130295204.3,-,-,-,152541478.13
