particulars_1,particulars_2,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Source of Funds,Current Appropriation,6533262.56,13051061.15,-,-,-,19584323.71
Source of Funds,Continuing Appropriation,4383822.13,12067335.42,-,-,-,16451157.55
Source of Funds,Previous Year's Appropriation transferred to the Special Trust Fund 2012,-,-,-,-,-,-
Source of Funds,Transfer/Grants,-,-,-,-,-,-
Source of Funds,Total Funds Available,10917084.69,25118396.57,-,-,-,36035481.26
Utilization,Response to Epidemics,178849.17,-,-,-,-,178849.17
Utilization,Warning System,-,269960,-,-,-,269960
Utilization,Food Supplies,-,5385,-,-,-,5385
Utilization,Conduct od Drills,-,231176.6,-,-,-,231176.6
Utilization,Trainings,-,791689,-,-,-,791689
Utilization,Fuel and Oil,-,136626.72,-,-,-,136626.72
Utilization,Information Education Campaign,-,211000,-,-,-,211000
Utilization,Others,-,678169.5,-,-,-,678169.5
Utilization,"Search, Rescue and Retrieval Activities",102859.08,-,-,-,-,102859.08
Utilization,Declogging of Drainage,-,1296000,-,-,-,1296000
Utilization,Equipment,-,34350,-,-,-,34350
Utilization,Heavy Equipment Insurance,-,500000,-,-,-,500000
Utilization,Information Database,-,143610,-,-,-,143610
Utilization,Radio Communication System,-,144433.6,-,-,-,144433.6
Utilization,Total Utilization,281708.25,4442400.42,-,-,-,4724108.67
Unutilized Balance,Unutilized Balance,10635376.44,20675996.15,-,-,-,31311372.59
