particulars_1,particulars_2,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Sources of Funds,Current Appropriation,7292998.34,16655361.64,-,-,-,23948359.98
Sources of Funds,Continuing Appropriation,4383822.13,12067335.42,-,-,-,16451157.55
Sources of Funds,Previous Year's Appropriation transferred to the Special Trust Fund 2012,-,-,-,-,-,-
Sources of Funds,Transfer/Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,11676820.47,28722697.06,-,-,-,40399517.53
Utilization,Medicine,153950,-,-,-,-,153950
Utilization,Warning System,-,274000,-,-,-,274000
Utilization,Food Supplies,-,478647.5,-,-,-,478647.5
Utilization,Conduct od Drills,-,15000,-,-,-,15000
Utilization,Trainings,-,1239705.2,-,-,-,1239705.2
Utilization,Fuel and Oil,29674.2,87191.71,-,-,-,116865.91
Utilization,Information Education Campaign,-,5600,-,-,-,5600
Utilization,Others,541073.75,23366,-,-,-,564439.75
Utilization,Relief Operation,35037.83,-,-,-,-,35037.83
Utilization,Declogging of Drainage,-,1453000,-,-,-,1453000
Utilization,Equipment,-,23370,-,-,-,23370
Utilization,Radio Communication System,-,4420,-,-,-,4420
Utilization,Total Utilization,759735.78,3604600.49,-,-,-,4364336.27
Unutilized Balance,Unutilized Balance,10917084.69,25118396.57,-,-,-,36035481.26
