particulars_1,particulars_2,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Sources of Funds,Current Appropriation,7409165.31,17288052.39,-,-,-,24697217.7
Sources of Funds,Continuing Appropriation,4383822.13,12067335.42,-,-,-,16451157.55
Sources of Funds,Previous Year's Appropriation transferred to the Special Trust Fund 2012,-,-,-,-,-,-
Sources of Funds,Transfer/Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,11792987.44,29355387.81,-,-,-,41148375.25
Utilization,Medicine,-,-,-,-,-,-
Utilization,Food Supplies,-,266750.75,-,-,-,266750.75
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Training,-,74640,-,-,-,74640
Utilization,Fuel and Oil,-,291300,-,-,-,291300
Utilization,Shelter Assistance,6000,-,-,-,-,6000
Utilization,Others,110166.97,-,-,-,-,110166.97
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Utilization,Tranfers to other LGUs,-,-,-,-,-,-
Utilization,Total Utilization,116166.97,632690.75,-,-,-,748857.72
Unutilized Balance,Unutilized Balance,11676820.47,28722697.06,-,-,-,40399517.53
