station,entry_or_exit,north_avenue,quezon_avenue,gma_kamuning`,araneta_center-cubao,santolan,ortigas,shaw_boulevard,boni,guadalupe,buendia,ayala,magallanes,taft_avenue,daily_average
04:00 - 04:59,Entry,547,269,157,388,14,20,107,28,30,6,19,23,64,1672
04:00 - 04:59,Exit,0,0,7,28,1,16,39,18,25,18,32,21,17,231
05:00 - 05:59,Entry,3519,1761,906,1905,115,226,1041,601,1042,205,467,601,1956,14344
05:00 - 05:59,Exit,292,361,153,696,117,478,990,561,657,640,1290,820,1674,8728
06:00 - 06:59,Entry,5986,2910,1638,2458,289,586,2107,1276,2362,456,1205,1438,4491,27203
06:00 - 06:59,Exit,1189,1398,508,2075,470,1240,2492,1295,1348,1525,3216,1958,3727,22442
07:00 - 07:59,Entry,6407,2745,1900,2315,527,870,2818,1729,2985,631,1396,1897,6715,32936
07:00 - 07:59,Exit,1808,2213,1028,2797,927,2078,3542,1906,1535,2367,4288,2663,4023,31176
08:00 - 08:59,Entry,6818,2683,1774,2596,559,866,2804,1567,2915,486,1188,1836,6464,32556
08:00 - 08:59,Exit,1888,2182,914,2986,1117,2959,4565,1923,1548,2407,4508,2680,4101,33778
09:00 - 09:59,Entry,5752,2344,1542,2757,515,759,2531,1326,2654,491,1148,1544,5541,28905
09:00 - 09:59,Exit,2202,1780,765,3090,1208,2800,4552,1727,1518,1624,4363,1920,3907,31455
10:00 - 10:59,Entry,4274,1880,1187,2651,436,676,2200,1144,2238,514,1116,1237,4362,23915
10:00 - 10:59,Exit,2045,1423,648,2808,877,1958,3525,1320,1374,1124,3467,1265,3688,25522
11:00 - 11:59,Entry,4171,1837,1131,2889,429,757,2328,1137,2157,569,1284,1213,4270,24171
11:00 - 11:59,Exit,2243,1297,569,2800,627,1740,3343,1123,1409,925,3370,1051,3694,24190
12:00 - 12:59,Entry,3923,1847,1097,2940,430,809,2402,1201,2134,624,1497,1347,4349,24600
12:00 - 12:59,Exit,2366,1414,606,3056,520,1771,3406,1186,1531,884,2871,1021,3923,24554
13:00 - 13:59,Entry,3461,1681,1014,2978,430,853,2373,1146,2073,638,1636,1269,4166,23718
13:00 - 13:59,Exit,2381,1527,621,3138,531,1722,3001,1220,1562,967,2474,1024,4051,24220
14:00 - 14:59,Entry,2873,1560,949,2881,479,1000,2354,1153,1924,780,1912,1433,4208,23506
14:00 - 14:59,Exit,2569,1620,626,3311,490,1487,2678,1113,1615,774,2117,844,3952,23197
15:00 - 15:59,Entry,2647,1630,991,2800,499,1187,2580,1200,1896,947,2474,1642,4465,24958
15:00 - 15:59,Exit,2979,1732,715,3634,421,1352,2719,1084,1613,572,1801,753,4105,23480
16:00 - 16:59,Entry,2825,1909,1191,3099,630,1538,3090,1477,2140,1273,3139,2399,5232,29941
16:00 - 16:59,Exit,3794,2200,922,4298,398,1304,2934,1227,1729,499,1746,777,4479,26306
17:00 - 17:59,Entry,3486,2581,1617,3582,995,2049,3464,1752,2161,1632,3690,3203,5994,36206
17:00 - 17:59,Exit,4865,3095,1154,4972,404,1461,3226,1506,1997,635,2039,926,5526,31806
18:00 - 18:59,Entry,3520,2308,1295,3649,858,2170,3494,1707,2023,1384,3807,3023,5838,35076
18:00 - 18:59,Exit,5386,3353,1174,5410,374,1441,3274,1635,2091,699,2126,1008,6287,34260
19:00 - 19:59,Entry,3527,1863,1015,3256,671,1699,3174,1468,1840,1299,4053,2773,5383,32020
19:00 - 19:59,Exit,5195,3329,1138,5299,327,1338,3146,1837,2101,769,2001,1024,5835,33339
20:00 - 20:59,Entry,3052,1385,791,2651,539,1199,2585,1205,1567,918,3651,2127,4107,25778
20:00 - 20:59,Exit,4298,3010,998,4380,262,1111,2778,1736,1701,814,1794,922,4769,28572
21:00 - 21:59,Entry,2322,977,442,1870,257,866,2032,909,1296,617,3526,1300,2973,19389
21:00 - 21:59,Exit,3123,2493,814,3528,220,806,2044,1357,1647,671,1277,718,3563,22262
22:00 - 22:59,Entry,23,29,27,135,48,342,695,353,567,317,1379,513,892,5319
22:00 - 22:59,Exit,2345,1656,513,1966,108,234,731,443,666,177,383,248,1379,10850
23:00 - 23:59,Entry,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23:00 - 23:59,Exit,231,74,20,20,0,0,1,0,0,0,0,0,0,346
Daily Average,Entry,69133,34199,20666,47800,8720,18473,44180,22380,36005,13785,38586,30817,81471,466214
Daily Average,Exit,51198,36164,13894,60291,9401,27295,52987,24215,27668,18092,45164,21642,72701,460713
