particulars_1,particulars_2,particulars_3,total
Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,296580387
Calamity Fund,Calamity Fund,70 % Calamity Fund,10320001.01
Calamity Fund,Calamity Fund,30% Calamity fund,4509018.34
Calamity Fund,Calamity Fund,Total ,14829019.35
Less-Disbursement,Pre-Disaster Preparedness Programs,Construction of reinforced concrete box culvert approach at Brgy. Mapangpang,1854800.21
Less-Disbursement,Pre-Disaster Preparedness Programs,Improvement of drainage canal - Purok 1 & 2 Villa Isla,1966846.39
Less-Disbursement,Pre-Disaster Preparedness Programs,Improvement of drainage system -T. Village/P. South,4266106.48
Less-Disbursement,Pre-Disaster Preparedness Programs,"Rehabilitation/construction of drainage system-Paco Roman, Pob. South, SCM",2232247.93
Less-Disbursement,Pre-Disaster Preparedness Programs,Total Disbursements (70%),10320001.01
Less-Disbursement,Pre-Disaster Preparedness Programs,Balance (70%),-
Less-Disbursement,Pre-Disaster Preparedness Programs,Total Balance  (30%),4509018.34
