particulars_1,particulars_2,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Sources of Funds,Current Appropriations,6485448.6,15132713.4,-,-,-,21618162
Sources of Funds,Continuing Appropriations,0,0,-,-,-,-
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,-,8158796.18,-,-,-,8158796.18
Sources of Funds,Transfers/Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,6485448.6,23291509.58,-,-,-,29776958.18
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,334925.28,-,-,-,334925.28
Utilization,"Gasoline, Oil and Lubricants",-,94781,-,-,-,94781
Utilization,Water Installation/Monthly Payment,-,7300.35,-,-,-,7300.35
Utilization,Internet Expenses,-,1100,-,-,-,1100
Utilization,Cable TV Connection/Monthly Payment,-,4010,-,-,-,4010
Utilization,Disaster Consciousness Month,-,86864,-,-,-,86864
Utilization,Fire Prevention Month Activities,-,88952.7,-,-,-,88952.7
Utilization,Mangrove Developemnt and Maintenance/Tree Planting,-,451458,-,-,-,451458
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Life Guarding Equipment,-,240176.75,-,-,-,240176.75
Utilization,Miscellaneous - Other Purpose - Food Ration,-,582952,-,-,-,582952
Utilization,Miscellaneous - Other Purpose - Stock Pile of Foods/Non-Foods,-,245119.25,-,-,-,245119.25
Utilization,Miscellaneous - Other Purpose - Limited Financial/Shelter Assistance,-,420000,-,-,-,420000
Utilization,Relief and Recovery - Financial Assistance,-,269000,-,-,-,269000
Utilization,Relief and Recovery - Transfers to other LGUs,-,0,-,-,-,-
Utilization,Total Utilization,0,2826639.33,-,-,-,2826639.33
Unutilized Balance,Unutilized Balance,6485448.6,20464870.25,-,-,-,26950318.85
