particulars_1,particulars_2,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Sources of Funds,Current Appropriations,6485448.6,15132713.4,-,-,,21618162
Sources of Funds,Continuing Appropriations,-,-,,,,-
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,-,8158796.18,-,-,-,8158796.18
Sources of Funds,Transfers/Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,6485448.6,23291509.58,-,-,-,29776958.18
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,12490,-,-,-,12490
Utilization,"Gasoline, Oil and Lubricants",-,48951,-,-,-,48951
Utilization,Water Installation/Monthly Payment,-,700,-,-,-,700
Utilization,Internet Expenses,-,1100,-,-,-,1100
Utilization,Cable TV Connection/Monthly Payment,-,4010,-,-,-,4010
Utilization,Fire Prevention Month Activities,-,80495.7,-,-,-,80495.7
Utilization,Mangrove Developemnt and Maintenance/Tree Planting,-,284448,-,-,-,284448
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Life Guarding Equipment,-,-,-,-,-,-
Utilization,Miscellaneous - Other Purpose - Food Ration,-,582952,-,-,-,582952
Utilization,Miscellaneous - Other Purpose - Limited Financial/Shelter Assistance,-,420000,-,-,-,420000
Utilization,Relief and Recovery - Financial Assistance,-,230000,-,-,-,230000
Utilization,Relief and Recovery - Transfers to other LGUs,-,-,-,-,-,-
Utilization,Total Utilization,-,1665146.7,-,-,-,1665146.7
Unutilized Balance,Unutilized Balance,6485448.6,21626362.88,-,-,-,28111811.48
