Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Sector,Region,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Disbursement_Rate,Cumulative_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulative_Cancellation,Disbursement_Ratio,Loan_Signing_Date,Loan_Closing_Date,Revised_Closing_Date,Loan_Effectivity_Date,Time_Elapsed,Utilization_Rate,Balance,TE-UR,Loan_Status
1224P,Second Cordillera Highland Agricultural Resource Management Project,OFID,Project,DA,"Agriculture, Natural Resources and Agrarian Reform","Abra,Apayao,Benguet,Ifugao,Kalinga,Mt. Province",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00%,0.00,6.40,10.00,10.00,0.00%,6.4,0.00,0.00%,12/17/08,7/31/13,7/31/14,2/4/09,52.92%,0.00%,10.00,52.92%,Ongoing
1225P,Agrarian Reform Communities Project II,OFID,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform","II,III,IVA,IVB,V,VII,IX,X,XI",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,30.00,0.00%,0.00,16.20,30.00,30.00,0.00%,16.2,0.00,0.00%,12/17/08,12/31/13,,3/4/09,58.54%,0.00%,30.00,58.54%,Ongoing
1668-PHI,Southern Philippine Irrigation Sector Project,ADB,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform","VI, VII, XIII, CARAGA, ARMM",0.08,0.00,0.00,0.00,0.00,0.00,0.00,7.39,0.00,0.00,7.39,7.47,0.08,0.00%,50.01,50.01,60.00,50.01,100.00%,0,9.99,95.24%,3/1/99,6/30/06,6/30/11,10/29/99,104.32%,100.00%,0.00,4.32%,Closed
1772-PHI,Infrastructure for Rural Productivity  Enhancement Sector,ADB,Project,DA,"Agriculture, Natural Resources and Agrarian Reform","IV, V, VIII, IX, X, XI, XII, XIII, ARMM",3.90,3.82,7.05,4.91,14.15,29.93,0.00,0.00,0.00,9.80,9.80,24.09,14.29,13.04%,54.82,65.20,75.00,65.20,84.08%,10.383,9.80,27.33%,10/22/01,6/30/08,8/16/12,2/4/02,94.05%,84.08%,10.38,9.97%,Ongoing
200665240,Provincial Towns Water Supply Programme III,Germany,Project,LWUA,Infrastructure,,0.26,0.00,0.00,0.49,2.43,2.92,0.00,0.00,0.00,0.00,0.00,14.30,14.30,8.90%,0.26,2.43,14.30,14.30,10.70%,2.17,0.00,1.82%,6/30/09,12/31/13,,3/28/11,27.55%,1.82%,14.04,25.73%,Ongoing
200765172,Local Government Unit Investment Programme II,Germany,Project,LBP,Infrastructure,,2.94,2.43,2.43,2.43,2.43,9.72,0.00,0.00,0.00,0.00,0.00,8.89,8.89,30.25%,3.77,9.72,9.72,9.72,38.79%,5.95,0.00,33.08%,4/7/10,12/31/10,6/20/12,10/18/10,71.85%,38.79%,5.95,33.06%,Ongoing
2137-PHI,Health Sector Development Project,ADB,Project,DOH,Social Reform and Community Development,"I, II, IV",1.49,0.53,0.53,0.53,0.53,2.13,0.00,0.00,0.00,0.00,0.00,4.09,4.09,70.03%,10.41,11.74,13.00,13.00,88.67%,1.33,0.00,36.53%,1/10/05,12/31/11,5/16/13,1/12/05,83.52%,80.05%,2.59,3.47%,Ongoing
2311-PHI,Integrated Coastal Resources Management Project,ADB,Project,DENR,"Agriculture, Natural Resources and Agrarian Reform","II,III,  V, VII, XI",2.63,3.05,1.10,1.10,1.10,6.35,0.00,0.00,0.00,0.00,0.00,28.02,28.02,41.43%,8.41,25.37,33.80,33.80,33.15%,16.96,0.00,9.39%,3/28/07,6/30/13,6/30/14,6/29/07,64.35%,24.88%,25.39,39.47%,Ongoing
2465-PHI,Agrarian Reform Communities Project II,ADB,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform","I,II,IV-A,VII,IX,X,XI",1.29,8.74,0.00,9.78,5.31,23.83,0.00,0.00,0.00,0.00,0.00,65.65,65.65,5.40%,5.63,31.29,70.00,70.00,17.99%,25.66,0.00,1.96%,12/8/08,6/30/15,,3/4/09,44.69%,8.04%,64.37,36.65%,Ongoing
2507-PHI,Philippine Energy Efficiency Project,ADB,Project,DOE,Infrastructure,,0.40,0.00,0.00,0.00,1.92,1.92,0.00,0.00,0.00,0.00,0.00,26.66,26.66,20.83%,4.84,19.71,31.10,31.10,24.56%,14.87,0.00,1.50%,3/2/09,10/31/11,12/31/13,5/28/09,56.44%,15.56%,26.26,40.88%,Ongoing
2515-PHI,Credit for Better Health Care Project,ADB,Project,DBP,Social Reform and Community Development,Nationwide except NCR,0.09,1.50,1.50,1.50,1.50,6.00,0.00,0.00,0.00,0.00,0.00,54.39,54.39,1.47%,1.07,21.27,58.64,58.64,5.03%,20.2,0.00,0.16%,4/27/09,8/19/15,,8/19/09,39.43%,1.82%,57.57,37.61%,Ongoing
2662-PHI,Social Protection Support Project,ADB,Program,DSWD,Social Reform and Community Development,,70.88,0.00,0.00,0.00,21.37,21.37,0.00,0.00,0.00,0.00,0.00,400.00,400.00,331.68%,70.88,74.12,400.00,400.00,95.63%,3.24,0.00,17.72%,9/14/10,3/31/16,,1/12/11,18.53%,17.72%,329.12,0.81%,Ongoing
2715-PHI,Financial Market Regulation and Intermediation Program,ADB,Program,DOF,"Industry, Trade and Tourism",,200.00,0.00,0.00,0.00,200.00,200.00,0.00,0.00,0.00,0.00,0.00,200.00,200.00,100.00%,200.00,200.00,200.00,200.00,100.00%,0,0.00,100.00%,2/22/11,4/15/12,12/31/11,6/27/11,100.00%,100.00%,0.00,0.00%,Closed
749-PH,Second Cordillera Highland Agricultural Resource Management Project,IFAD,Project,DA,"Agriculture, Natural Resources and Agrarian Reform",CAR,0.80,3.10,0.00,0.00,3.10,6.20,0.00,0.00,0.00,0.00,0.00,24.62,24.62,12.92%,2.78,11.08,26.60,26.60,25.10%,8.299,0.00,3.25%,6/4/08,6/30/16,,11/14/08,41.01%,10.45%,23.82,30.56%,Ongoing
