category,functions_or_programs_or_projects_or_activities_1,functions_or_programs_or_projects_or_activities_2,code,appropriations,allotments,appropriations_balance_or_deficit,obligations,unobligated_balances
Roads and Bridges,Repairs and Maintenance-General Public Services,Repairs and Maintenance-General Public Services,1917,-,-,-,-,-
Roads and Bridges,Repairs and Maintenance-General Public Services,"Maintenance and Other Operating Expenses-Repairs and Maintenance-Roads, Highways and Bridges",851,38520000,38520000,-,9603868.56,28916131.44
Roads and Bridges,Repairs and Maintenance-General Public Services,Maintenance and Other Operating Expenses-Repairs and Maintenance-Subsidy to Other Funds,877,6600000,6600000,-,-,6600000
Roads and Bridges,Grand Total,Grand Total,-,45120000,45120000,-,9603868.56,35516131.44
Roads and Bridges,Recapitulation,Recapitulation,-,-,-,-,-,-
Roads and Bridges,Recapitulation,Personal Services,-,-,-,-,-,-
Roads and Bridges,Recapitulation,MOOE,-,45120000,45120000,-,9603868.56,35516131.44
Roads and Bridges,Recapitulation,Capital Outlay,-,-,-,-,-,-
Roads and Bridges,Recapitulation,Financial Expenses,-,-,-,-,-,-
"Drainage, Rivers, Canals and Other Environmental Management Projects",Repairs and Maintenance-General Public Services,Repairs and Maintenance-General Public Services,1917,-,-,-,-,-
"Drainage, Rivers, Canals and Other Environmental Management Projects",Repairs and Maintenance-General Public Services,"Maintenance and Other Operating Expenses-Repairs and Maintenance-Irrigation, Canals and Laterals",855,4356000,4356000,-,1775710.64,2580289.36
"Drainage, Rivers, Canals and Other Environmental Management Projects",Grand Total,Grand Total,-,4356000,4356000,-,1775710.64,2580289.36
"Drainage, Rivers, Canals and Other Environmental Management Projects",Recapitulation,Recapitulation,-,-,-,-,-,-
"Drainage, Rivers, Canals and Other Environmental Management Projects",Recapitulation,Personal Services,-,-,-,-,-,-
"Drainage, Rivers, Canals and Other Environmental Management Projects",Recapitulation,MOOE,-,4356000,4356000,-,1775710.64,2580289.36
"Drainage, Rivers, Canals and Other Environmental Management Projects",Recapitulation,Capital Outlay,-,-,-,-,-,-
"Drainage, Rivers, Canals and Other Environmental Management Projects",Recapitulation,Financial Expenses,-,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,Government Facilities,1918,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,"Capital Outlay-Roads, Highways and Bridges",251,12000000,6000000,6000000,65639.95,5934360.05
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,"Capital Outlay-Waterways, Aqueducts, Seawalls, River Walls and Others",257,7200000,3600000,3600000,-,3600000
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Grand Total,Grand Total,-,19200000,9600000,9600000,65639.95,9534360.05
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Recapitulation,-,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Personal Services,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,MOOE,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Capital Outlay,-,19200000,9600000,9600000,65639.95,9534360.05
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Financial Expenses,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,Government Facilities,1918,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,Capital Outlay-Other Structures,215,500000,250000,250000,-,250000
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,"Capital Outlay-Other Property, Plant and Equipment",250,300000,150000,150000,-,150000
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,"Irrigation, Canals and Laterals",255,1739285.95,869642.98,869642.97,-,869642.98
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Grand Total,Grand Total,-,2539285.95,1269642.98,1269642.97,-,1269642.97
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Recapitulation,-,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Personal Services,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,MOOE,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Capital Outlay,-,2539285.95,1269642.98,1269642.97,-,1269642.98
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Financial Expenses,-,-,-,-,-,0
Government Buildings,"Purchase, Construction and Improvement of Government Facilities-Economic Services","Purchase, Construction and Improvement of Government Facilities-Economic Services",8918,-,-,-,-,-
Government Buildings,"Purchase, Construction and Improvement of Government Facilities-Economic Services",Capital Outlay-Other Structures,215,3000000,1500000,1500000,-,1500000
Government Buildings,Grand Total,Grand Total,-,3000000,1500000,1500000,-,1500000
Government Buildings,Recapitulation,Recapitulation,-,-,-,-,-,-
