category,functions_or_programs_or_projects_or_activities_1,functions_or_programs_or_projects_or_activities_2,code,appropriations,allotments,appropriations_balance_or_deficit,obligations,unobligated_balances
Roads and Bridges,Repairs and Maintenance-General Public Services,Repairs and Maintenance-General Public Services,1917,-,-,-,-,-
Roads and Bridges,Repairs and Maintenance-General Public Services,"Maintenance and Other Operating Expenses-Repairs and Maintenance-Roads, Highways and Bridges",851,39770000,39770000,-,38300947.52,1469052.48
Roads and Bridges,Repairs and Maintenance-General Public Services,Maintenance and Other Operating Expenses-Repairs and Maintenance-Subsidy to Other Funds,877,6600000,6600000,-,-,6600000
Roads and Bridges,Repairs and Maintenance-General Public Services,Total,-,46370000,46370000,-,38300947.52,8069052.48
Roads and Bridges,Recapitulation,Recapitulation,-, ,-,-,-,0
Roads and Bridges,Recapitulation,Personal Services,-,-,-,-,-,0
Roads and Bridges,Recapitulation,MOOE,-,46370000,46370000,-,46370000,8069052.48
Roads and Bridges,Recapitulation,Capital Outlay,-,-,-,-,-,0
Roads and Bridges,Recapitulation,Financial Expenses,-,-,-,-,-,0
"Drainage, Rivers, Canals and Other Environmental Management Projects",Repairs and Maintenance-General Public Services,Repairs and Maintenance-General Public Services,1917,-,-,-,-,-
"Drainage, Rivers, Canals and Other Environmental Management Projects",Repairs and Maintenance-General Public Services,"Maintenance and Other Operating Expenses-Repairs and Maintenance-Irrigation, Canals and Laterals",855,4356000,4356000,-,3837226.36,518773.64
"Drainage, Rivers, Canals and Other Environmental Management Projects",Repairs and Maintenance-General Public Services,Total,-,4356000,4356000,-,3837226.36,518773.64
"Drainage, Rivers, Canals and Other Environmental Management Projects",Recapitulation,Recapitulation,-,-,-,-,-,0
"Drainage, Rivers, Canals and Other Environmental Management Projects",Recapitulation,Personal Services,-,-,-,-,-,-
"Drainage, Rivers, Canals and Other Environmental Management Projects",Recapitulation,MOOE,-,4356000,4356000,-,3837226.36,518773.64
"Drainage, Rivers, Canals and Other Environmental Management Projects",Recapitulation,Capital Outlay,-,-,-,-,-,0
"Drainage, Rivers, Canals and Other Environmental Management Projects",Recapitulation,Financial Expenses,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,Government Facilities,1918,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,"Capital Outlay-Roads, Highways and Bridges",251,12000000,12000000,0,10867205.94,1132794.06
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,"Capital Outlay-Waterways, Aqueducts, Seawalls, River Walls and Others",257,3200000,3200000,0,1074121.5,2125878.5
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,Total,-,15200000,15200000,-,11941327.44,3258672.56
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Recapitulation,-,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Personal Services,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,MOOE,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Capital Outlay,-,15200000,15200000,-,11941327.44,3258672.56
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Financial Expenses,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Government Facilities,Government Facilities,1918,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Government Facilities,Capital Outlay-Other Structures,215,500000,500000,-,-,500000
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Government Facilities,"Capital Outlay-Other Property, Plant and Equipment",250,300000,300000,-,-,300000
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Government Facilities,"Capital Outlay-Irrigation, Canals and Laterals",255,1739258.95,1739258.95,-,-,1739285.95
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Government Facilities,Total,-,2539285.95,2539285.95,-,-,2539285.95
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Recapitulation,Recapitulation,-,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Recapitulation,Personal Services,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Recapitulation,MOOE,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Recapitulation,Capital Outlay,-,2539285.95,2539285.95,-,-,2539285.95
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Recapitulation,Financial Expenses,-,-,-,-,-,0
Government Facilities,"Purchase, Construction and Improvement of Government Facilities-Health","Purchase, Construction and Improvement of Government Facilities-Health",8918,-,-,-,-,-
Government Facilities,"Purchase, Construction and Improvement of Government Facilities-Health",Capital Outlay-Land Improvements,202,10000000,10000000,-,-,10000000
Government Facilities,"Purchase, Construction and Improvement of Government Facilities-Health",Capital Outlay-Hospitals and Health Centers,213,10000000,10000000,-,4167392.46,5832607.54
Government Facilities,"Purchase, Construction and Improvement of Government Facilities-Health",Total,-,20000000,20000000,-,4167392.46,15832607.54
Government Facilities,Recapitulation,Recapitulation,-,-,-,-,-,-
Government Facilities,Recapitulation,Personal Services,-,-,-,-,-,0
Government Facilities,Recapitulation,MOOE,-,-,-,-,-,0
Government Facilities,Recapitulation,Capital Outlay,-,20000000,20000000,-,4167392.46,15832607.54
Government Facilities,Recapitulation,Financial Expenses,-,-,-,-,-,0
Government Buildings,"Purchase, Construction and Improvement of Government Facilities-Economic Services","Purchase, Construction and Improvement of Government Facilities-Economic Services",8918,-,-,-,-,-
Government Buildings,"Purchase, Construction and Improvement of Government Facilities-Economic Services",Capital Outlay-Other Structures,215,15750000,15750000,-,933672.29,14816327.71
Government Buildings,"Purchase, Construction and Improvement of Government Facilities-Economic Services",Total,-,15750000,15750000,-,933672.29,14816327.71
Government Buildings,Recapitulation,Recapitulation,-,-,-,-,-,-
Government Buildings,Recapitulation,Personal Services,-,-,-,-,-,0
Government Buildings,Recapitulation,MOOE,-,-,-,-,-,0
Government Buildings,Recapitulation,Capital Outlay,-,15750000,15750000,-,933672.29,14816327.71
Government Buildings,Recapitulation,Financial Expenses,-,-,-,-,-,0
Public Debt-Loan Amortization-Domestic,Loan Amortization-Domestic,Loan Amortization-Domestic,9911,-,-,-,-,-
