category,functions_or_programs_or_projects_or_activities_1,functions_or_programs_or_projects_or_activities_2,code,appropriations,allotments,appropriations_balance_or_deficit,obligations,unobligated_balances
Roads and Bridges,Repairs and Maintenance-General Public Services,Repairs and Maintenance-General Public Services,1917,-,-,-,-,-
Roads and Bridges,Repairs and Maintenance-General Public Services,"Maintenance and Other Operating Expenses-Repairs and Maintenance-Roads, Highways and Bridges",851,39770000,39770000,-,38300947.52,1469052.48
Roads and Bridges,Repairs and Maintenance-General Public Services,Maintenance and Other Operating Expenses-Repairs and Maintenance-Subsidy to Other Funds,877,6600000,6600000,-,-,6600000
Roads and Bridges,Repairs and Maintenance-General Public Services,Total,-,46370000,46370000,-,38300947.52,8069052.48
Roads and Bridges,Recapitulation,Recapitulation,-,-,-,-,-,-
Roads and Bridges,Recapitulation,Personal Services,-,-,-,-,-,-
Roads and Bridges,Recapitulation,MOOE,-,46370000,46370000,-,46370000,8069052.48
Roads and Bridges,Recapitulation,Capital Outlay,-,-,-,-,-,-
Roads and Bridges,Recapitulation,Financial Expenses,-,-,-,-,-,-
"Drainage, Rivers, Canals and Other Environmental Management Projects",Repairs and Maintenance-General Public Services,-,1917,-,-,-,-,-
"Drainage, Rivers, Canals and Other Environmental Management Projects",Repairs and Maintenance-General Public Services,"Maintenance and Other Operating Expenses-Repairs and Maintenance-Irrigation, Canals and Laterals",855,4356000,4356000,-,3837226.36,518773.64
"Drainage, Rivers, Canals and Other Environmental Management Projects",Repairs and Maintenance-General Public Services,Total,-,-,-,-,-,-
"Drainage, Rivers, Canals and Other Environmental Management Projects",Recapitulation,Recapitulation,-,-,-,-,-,-
"Drainage, Rivers, Canals and Other Environmental Management Projects",Recapitulation,Personal Services,-,-,-,-,-,-
"Drainage, Rivers, Canals and Other Environmental Management Projects",Recapitulation,MOOE,-,4356000,4356000,-,3837226.36,518773.64
"Drainage, Rivers, Canals and Other Environmental Management Projects",Recapitulation,Capital Outlay,-,-,-,-,-,-
"Drainage, Rivers, Canals and Other Environmental Management Projects",Recapitulation,Financial Expenses,-,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,Government Facilities,1918,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,"Capital Outlay-Roads, Highways and Bridges",251,12000000,12000000,0,10867205.94,1132794.06
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,"Capital Outlay-Waterways, Aqueducts, Seawalls, River Walls and Others",257,3200000,3200000,0,1074121.5,2125878.5
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Government Facilities,Total,-,15200000,15200000,-,11941327.44,3258672.56
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Recapitulation,-,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Personal Services,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,MOOE,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Capital Outlay,-,15200000,15200000,-,11941327.44,3258672.56
"Purchase, Construction and Improvement of Government Facilities-Roads and Bridges",Recapitulation,Financial Expenses,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Government Facilities,-,1918,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Government Facilities,Capital Outlay-Other Structures,215,500000,500000,-,-,500000
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Government Facilities,"Capital Outlay-Other Property, Plant and Equipment",250,300000,300000,-,-,300000
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Government Facilities,"Capital Outlay-Irrigation, Canals and Laterals",255,1739258.95,1739258.95,-,-,1739285.95
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Government Facilities,Total,-,2539285.95,2539285.95,-,-,2539285.95
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",,-,-,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Recapitulation,Recapitulation,-,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Recapitulation,Personal Services,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Recapitulation,MOOE,-,-,-,-,-,0
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Recapitulation,Capital Outlay,-,2539285.95,2539285.95,-,-,2539285.95
"Purchase, Construction and Improvement of Government Facilities-Drainage Systems, Rivers, Canals and Other ",Recapitulation,Financial Expenses,-,-,-,-,-,0
Government Facilities,Capital Outlay,Capital Outlay,-,-,-,-,-,-
Government Facilities,Capital Outlay,Land Improvements,202,10000000,10000000,-,-,10000000
Government Facilities,Capital Outlay,Hospitals and Health Centers,213,10000000,10000000,-,4167392.46,5832607.54
Government Buildings,"Purchase, Construction and Improvement of Government Facilities-Economic Services","Purchase, Construction and Improvement of Government Facilities-Economic Services",8918,-,-,-,-,-
Government Buildings,"Purchase, Construction and Improvement of Government Facilities-Economic Services",Capital Outlay-Other Structures,215,15750000,1500000,14150000,-,1500000
Government Buildings,Grand Total,Grand Total,-,15750000,1500000,1500000,-,1500000
Government Buildings,Recapitulation,Recapitulation,-,-,-,-,-,-
Government Buildings,Recapitulation,Personal Services,-,-,-,-,-,-
Government Buildings,Recapitulation,MOOE,-,-,-,-,-,-
Government Buildings,Recapitulation,Capital Outlay,-,3000000,1500000,1500000,-,1500000
Government Buildings,Recapitulation,Financial Expenses,-,-,-,-,-,-
Public Debt-Loan Amortization-Domestic,Loan Amortization-Domestic,Financial Expenses-Loans Payable-domestic,444,36297703.68,36297703.68,-,-,36297703.68
Public Debt-Loan Amortization-Domestic,Loan Amortization-Domestic,Financial Expenses-Interest Expenses,975,10359940.94,10359940.94,-,-,10359940.94
Public Debt-Loan Amortization-Domestic,Loan Amortization-Domestic,Financial Expenses-Other Financial Charges,979,33633.63,33633.63,-,-,33633.63
Public Debt-Loan Amortization-Domestic,Grand Total,Grand Total,-,46691278.25,46691278.25,-,-,46691278.25
Public Debt-Loan Amortization-Domestic,Recapitulation,Recapitulation,-,-,-,-,-,-
Public Debt-Loan Amortization-Domestic,Recapitulation,Personal Services,-,-,-,-,-,-
