function_or_program_or_project_or_activity,appropriation,allotment,obligation,balance_of_appropriations,balance_of_allotments
Grand Total,101890712.2,50945356.09,2459239.48,50945356.11,48486116.61
Current Year Appropriations-Maintenance and Other Operating Expenses,44884600.89,22442300.44,1344800,22442300.45,21097500.44
Current Year Appropriations-Capital Outlay,7790000,3895000,0,3895000,3895000
Current Year Appropriations-Financial Expenses,49216111.31,24608055.65,1114439.48,24608055.66,23493616.17
General Public Services,-,-,-,-,-
Local development Fund,-,-,-,-,-
Repairs and Maintenance-General Public Services,44884600.89,22442300.44,1344800,22442300.45,21097500.44
Repairs and Maintenance-General Public Services-Maintenance and Other Operating Expenses,44884600.89,22442300.44,1344800,22442300.45,21097500.44
Government Facilities,6478000,3239000,0,3239000,3239000
Government Facilities-Capital Outlay,6478000,3239000,0,3239000,3239000
Health Services,-,-,-,-,-
Local Development Fund,-,-,-,-,-
"Purchase, Construction and Improvement of Government Facilities-Health",750000,375000,0,375000,375000
"Purchase, Construction and Improvement of Government Facilities-Health-Capital Outlay",750000,375000,0,375000,375000
Economic Services,-,-,-,-,-
Local Development Fund,-,-,-,-,-
"Purchase, Construction and improvement of Government Facilities-Economic Services",562000,24608055.65,0,281000,281000
"Purchase, Construction and improvement of Government Facilities-Economic Services-Capital Outlay",562000,24608055.65,0,281000,281000
Other Purposes,-,-,-,-,-
Local Development Projects-Public Debt,-,-,-,-,-
Loan Amortization-Domestic,49216111.31,24608055.65,1114439.48,24608055.66,23493616.17
Financial Expenses,49216111.31,24608055.65,1114439.48,24608055.66,23493616.17
