category_1,category_2,category_3,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012
Health Status Indicators,Estimated Population,Estimated Population,88574614,90457200,91048652,92335113,95793800,96184368
Health Status Indicators,Total number of households,Total number of households,16388183,17450575,17483333,12626538,18776071,18540736
Health Status Indicators,Live births,Live births,1860871,1917251,1882890,1822233,1853155,1919270
Mortality,Number of Deaths,Number of Deaths,373414,389925,390932,467571,411437,427735
Mortality,Crude Death Rate,Crude Death Rate,4.22,4.31,4.29,5.06,4.3,4.45
Mortality,Number of Infant Mortalities,Number of Infant Mortalities,17142,17754,16195,14858,15947,16654
Mortality,Infant Mortality Rate,Infant Mortality Rate,9.21,9.26,8.6,8.15,8.61,8.68
Mortality,Number of Maternal Deaths,Number of Maternal Deaths,1166,1214,1204,1127,1245,1243
Mortality,Maternal Mortality Rate,Maternal Mortality Rate,62.66,63.32,63.94,0.62,67.18,64.76
Mortality,Number of deaths due to neonatal tetanus,Number of deaths due to neonatal tetanus,179,769,275,139,164,268
Mortality,Neonatal Tetanus Mortality Rate,Neonatal Tetanus Mortality Rate,0.1,0.4,0.15,0.08,0.09,0.14
Mortality,Number of Perinatal Deaths,Number of Perinatal Deaths,5195,4961,4394,5564,6613,8335
Mortality,Perinatal Mortality Rate,Perinatal Mortality Rate,2.79,2.59,2.33,3.05,3.57,4.34
Mortality,Number of Under-Five Mortalities,Number of Under-Five Mortalities,-,-,21018,19228,20538,21107
Mortality,Under Five Mortality Rate,Under Five Mortality Rate,,,1.12,1.06,1.11,1.1
Natality,Livebirths,Livebirths,1860871,1917251,1822890,1822233,1853155,1919270
Natality,Crude Birth Rate,Crude Birth Rate,21.01,21.2,20.02,19.73,19.35,19.95
Natality,Livebirth by Weight,">= 2,500 grams",1609216,1549143,1688958,1676519,1701437,1765198
Natality,Livebirth by Weight,"< 2,500 grams",166166,310588,158857,109966,118601,117632
Natality,Livebirth by Weight,Unknown weight,85489,57520,35075,35748,33117,36440
Natality,Delivery by Attendance,Livebirth delivered by Medical Doctors (MD),564794,601472,639516,666811,700327,812726
Natality,Delivery by Attendance,Livebirth delivered by Public Health Nurses (PHN),26704,21477,25750,23966,30118,33094
Natality,Delivery by Attendance,Livebirth delivered by Midwives,764533,797908,740215,758500,774395,757301
Natality,Delivery by Attendance,Livebirth delivered by hilot/Traditional Birth Attendant (TBA),487886,475729,370225,338525,321962,280108
Natality,Delivery by Attendance,Livebirth delivered by other persons,14444,23512,27089,34432,26353,21660
Natality,Deliveries by Place,Normal deliveries,-,-,-,-,-,-
Natality,Deliveries by Place,Home,1130588,1056993,872273,765559,664386,547708
Natality,Deliveries by Place,Health Facility,605841,720125,719552,852887,1057605,1297481
Natality,Deliveries by Place,Other places,110890,130230,156165,176850,70364,72969
Natality,Deliveries by Place,Other deliveries,-,-,-,-,-,-
Natality,Deliveries by Place,Home,2287,2758,85176,46337,27366,3290
Natality,Deliveries by Place,Health Facility,8179,9701,91001,73115,87390,69448
Natality,Deliveries by Place,Other places,576,291,18789,11939,9435,1078
Health Services Coverage Statistics,Control of Diarrheal Diseases and Pneumonia,Children (0-59 mos.) with diarrhea,-,-,402146,345684,323732,314812
Health Services Coverage Statistics,Control of Diarrheal Diseases and Pneumonia,Children (0-59 mos.) with diarrheas given ORT,-,-,196653,171558,159162,144273
Health Services Coverage Statistics,Control of Diarrheal Diseases and Pneumonia,Children (0-59 mos.) with diarrheas given ORS,455681,477556,328311,271201,258077,235465
Health Services Coverage Statistics,Control of Diarrheal Diseases and Pneumonia,Children (0-59 mos.) with diarrheas given ORS with Zinc,-,-,57256,70126,71564,94917
Health Services Coverage Statistics,Control of Diarrheal Diseases and Pneumonia,Children (0-59 mos.) with Pneumonia seen,430975,461949,340425,353038,334861,283452
Health Services Coverage Statistics,Control of Diarrheal Diseases and Pneumonia,Children (0-59 mos.) with Pneumonia given treatment,419371,447071,323149,340725,326115,273507
Health Services Coverage Statistics,Dental Health,Children (12-71 mos.) eligible population,-,-,2458314,2493048,2586433,2596978
Health Services Coverage Statistics,Dental Health,Children (12-71 mos.) orally fit,-,-,449010,480365,468022,502500
Health Services Coverage Statistics,Dental Health,Children (12-71 mos.) provided with BOHC,-,-,1244576,1377873,1403133,1321606
Health Services Coverage Statistics,Dental Health,Adolescent and youth (10-24 yrs) eligible population,-,-,2731460,2770053,2873814,2885531
Health Services Coverage Statistics,Dental Health,Adolescent and youth (10-24 yrs) given BOHC,-,-,1321299,1742040,1575822,1420977
Health Services Coverage Statistics,Dental Health,Pregnant women eligible population,1054013,1053143,796676,807932,838196,841613
Health Services Coverage Statistics,Dental Health,Pregnant women given BOHC,216592,204019,576995,579530,549768,450651
Health Services Coverage Statistics,Dental Health,Older persons (60 yrs. & above) eligible population,-,-,1666190,1689733,1753027,1760174
Health Services Coverage Statistics,Dental Health,Older persons (60 yrs. & above) given BOHC,-,-,507548,561959,473537,473481
Health Services Coverage Statistics,Environmental Health,Household with access to improved or safe water supply,14051898,14359139,13865658,10375868,15514343,14981350
Health Services Coverage Statistics,Environmental Health,Level 1,-,-,4501627,3481702,4261461,4103974
Health Services Coverage Statistics,Environmental Health,Level 2,-,-,2206891,1879297,2468284,2227320
Health Services Coverage Statistics,Environmental Health,Level 3,-,-,7157140,5014869,8784598,8650056
Health Services Coverage Statistics,Environmental Health,Households with sanitary toilet,12704567,13403048,12610832,9748740,14909943,14816535
Health Services Coverage Statistics,Environmental Health,Households with satisfactory disposal of solid waste,-,-,10722732,8323987,12341812,11936035
Health Services Coverage Statistics,Environmental Health,Households with complete basic sanitation facilities,-,-,10135477,7798632,11598414,11151888
Health Services Coverage Statistics,Environmental Health,Number of food establishments,-,-,546061,409736,598214,606375
Health Services Coverage Statistics,Environmental Health,Food establishments with sanitary permit,-,-,429098,332276,460100,464381
Health Services Coverage Statistics,Environmental Health,Number of food handlers,-,-,1336583,871790,1526983,1495507
Health Services Coverage Statistics,Environmental Health,Food handlers with health certificate,-,-,1179969,750598,1325669,1281408
Health Services Coverage Statistics,Environmental Health,Salt sample tested,-,-,3702604,3174738,4573258,3327542
