year,month,day,hours,baclaran_northbound_in,edsa_southbound_in,edsa_northbound_in,libertad_southbound_in,libertad_northbound_in,gil_puyat_southbound_in,gil_puyat_northbound_in,vito_cruz_southbound_in,vito_cruz_northbound_in,quirino_southbound_in,quirino_northbound_in,pedro_gil_southbound_in,pedro_gil_northbound_in,un_avenue_southbound_in,un_avenue_northbound_in,central_southbound_in,central_northbound_in,carriedo_southbound_in,carriedo_northbound_in,doroteo_jose_southbound_in,doroteo_jose_northbound_in,bambang_southbound_in,bambang_northbound_in,tayuman_southbound_in,tayuman_northbound_in,blumentritt_southbound_in,blumentritt_northbound_in,abad_santos_southbound_in,abad_santos_northbound_in,r_papa_southbound_in,r_papa_northbound_in,5th_avenue_southbound_in,5th_avenue_northbound_in,monumento_southbound_in,monumento_northbound_in,balintawak_southbound_in,balintawak_northbound_in,roosevelt_southbound_in,roosevelt_northbound_in
2013,January,Monday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,January,Monday,5:00-6:00,1010,16,2092,44,253,184,672,51,135,61,268,212,224,136,203,74,14,122,192,613,25,217,16,612,44,582,8,425,38,406,24,1208,17,1869,1386,1262,34,1184,0
2013,January,Monday,6:00-7:00,2251,144,4933,383,517,158,1738,86,522,127,561,151,603,452,249,155,50,208,413,1376,71,385,16,984,216,985,15,812,142,660,103,2613,22,4863,2154,2782,87,3702,0
2013,January,Monday,7:00-8:00,2929,107,6356,369,832,556,1939,118,820,336,667,546,755,601,372,340,90,531,531,1706,527,488,121,1643,102,1531,30,879,219,797,126,3013,57,5421,2584,3205,92,4749,0
2013,January,Monday,8:00-9:00,2746,188,6034,344,721,793,1589,127,635,236,716,539,535,650,415,338,206,594,557,1834,540,471,83,1326,253,1344,65,669,184,618,121,2233,78,5071,1864,2373,70,3632,0
2013,January,Monday,9:00-10:00,2206,98,5417,227,618,1320,868,173,552,218,684,326,835,661,522,524,57,633,815,1743,475,396,64,1074,323,956,54,482,126,476,128,1649,63,3995,1367,1675,55,2310,0
2013,January,Monday,10:00-11:00,1983,128,4349,224,654,603,1763,250,453,280,711,419,979,908,551,361,425,854,753,1722,168,251,177,971,234,831,35,387,132,389,74,1244,57,3117,1247,1214,51,2027,0
2013,January,Monday,11:00-12:00,1805,134,4062,237,593,831,1511,192,803,304,743,854,701,666,1053,750,321,961,867,1301,537,350,51,909,316,831,98,333,105,338,114,1048,52,3045,873,1152,45,1702,0
2013,January,Monday,12:00-1:00 PM,1908,171,4078,184,643,566,1742,110,1017,364,641,572,1182,1269,837,825,426,933,1031,1763,382,431,97,1082,338,838,42,283,193,333,153,962,89,2322,1842,993,35,1729,0
2013,January,Monday,1:00-2:00,1830,146,3739,385,486,529,1540,525,530,289,919,878,1062,1070,1322,825,658,1102,1201,1373,559,429,82,1103,144,766,71,237,234,344,120,889,92,2587,1274,859,32,1645,0
2013,January,Monday,2:00-3:00,1930,123,3491,297,602,1147,1253,285,985,204,1001,1118,1112,1789,1388,982,866,1152,1264,1361,806,431,106,993,362,741,54,196,173,217,129,668,193,1866,1361,641,25,1412,0
2013,January,Monday,3:00-4:00,1933,128,3416,373,511,689,2259,707,653,469,907,1429,1084,1703,1973,1191,1128,1075,1588,1397,836,362,174,786,489,479,226,245,123,165,151,519,173,1696,1123,600,16,1230,0
2013,January,Monday,4:00-5:00,2161,147,3685,452,682,562,2583,485,1811,284,1370,1072,2046,2452,2584,1384,1606,1720,1450,897,1684,374,181,768,624,492,215,241,129,159,148,574,93,1630,1150,573,12,1154,0
2013,January,Monday,5:00-6:00,2539,121,4508,546,773,1359,3081,562,1762,820,1061,1127,2591,3048,2530,1830,1375,1797,2129,1183,1579,290,377,818,704,374,503,195,177,111,216,740,182,1614,822,660,19,1666,0
2013,January,Monday,6:00-7:00,2303,48,4493,461,906,1339,3160,754,1252,847,632,1045,1658,1973,2634,1875,840,1844,1993,1328,1523,120,418,997,490,583,261,316,49,138,94,347,436,1194,933,663,19,1498,0
2013,January,Monday,7:00-8:00,1284,69,3752,425,543,855,2395,483,1088,265,655,1105,1307,1487,1467,955,1346,1071,1248,1393,967,79,377,872,343,511,161,173,115,152,58,426,74,1002,783,575,13,1236,0
2013,January,Monday,8:00-9:00,860,53,2905,345,441,582,1630,330,744,169,418,758,897,985,971,721,1017,465,555,916,755,70,152,634,260,249,223,183,23,189,17,257,97,1109,508,337,9,841,0
2013,January,Monday,9:00-10:00,223,10,698,66,144,270,439,105,585,57,136,373,656,379,520,466,363,168,145,248,461,46,105,552,98,83,208,105,8,124,9,169,16,404,374,136,13,445,0
2013,January,Monday,10:00-11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,January,Tuesday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,January,Tuesday,5:00-6:00,952,16,2098,44,250,175,638,52,137,59,259,207,219,135,201,71,14,121,192,578,23,216,16,630,45,588,8,431,38,408,24,1147,17,1711,1269,1129,31,1140,0
2013,January,Tuesday,6:00-7:00,2123,144,4947,379,511,150,1649,87,527,123,540,147,589,449,247,147,47,208,412,1298,67,385,16,1012,223,995,15,824,144,664,104,2483,21,4451,1971,2488,77,3563,0
2013,January,Tuesday,7:00-8:00,2762,107,6374,365,823,527,1840,119,828,324,643,534,738,597,369,323,86,530,530,1609,497,486,121,1691,104,1547,30,892,222,802,126,2862,54,4961,2365,2866,82,4570,0
2013,January,Tuesday,8:00-9:00,2589,188,6052,340,713,752,1508,128,641,228,690,527,523,645,412,322,196,593,556,1729,509,470,82,1364,260,1357,65,678,187,622,121,2121,74,4642,1706,2122,62,3495,0
2013,January,Tuesday,9:00-10:00,2080,98,5432,225,611,1253,823,175,558,210,659,319,816,656,519,498,54,632,814,1644,448,395,64,1106,333,966,55,489,128,478,129,1566,60,3656,1251,1498,50,2223,0
2013,January,Tuesday,10:00-11:00,1870,128,4361,221,647,573,1672,252,457,270,684,409,957,902,547,344,405,852,751,1623,158,251,176,1000,241,840,36,393,134,391,75,1182,54,2853,1141,1086,46,1950,0
2013,January,Tuesday,11:00-12:00,1703,135,4074,234,586,789,1434,194,811,293,715,834,686,661,1046,714,306,959,865,1226,507,349,51,935,325,839,100,337,107,340,115,995,50,2787,799,1030,40,1638,0
