program_or_project_1,program_or_project_2,program_or_project_3,location,date_started,total_completion_cost,budget_appropriated
Economic Sector,Support to Agriculture or Irrigation PPAs,Canalization and canal structure at Incalbog,Can-Ayan,4/3/2012,1776798.78,1781779.12
Economic Sector,Support to Agriculture or Irrigation PPAs,Dam Rehabilitation and Canalization at Tagilanao,Can-Ayan,4/3/2012,969655.17,971021.81
Economic Sector,Support to Agriculture or Irrigation PPAs,310 Bags Organic Fertilizer for the rice-duck Farming Technology Project,Basakan Barangays,6/22/2012,90000,90000
Economic Sector,Support to Agriculture or Irrigation PPAs,Construction of Diversion Dam at Langasihan,Managok,6/22/2012,103000,103115
Economic Sector,Support to Agriculture or Irrigation PPAs,Construction of MPDP at Purok 6,"Purok 6, Linabo",6/6/2012,249209.39,254226.54
Economic Sector,Support to Agriculture or Irrigation PPAs,Construction of MPDP at Purok 5,Sto. Nino,6/29/2012,250372.09,254226.54
Economic Sector,Support to Agriculture or Irrigation PPAs,Construction of MPDP at Purok 4,Caburacanan,6/29/2012,255657.95,259139.04
Economic Sector,Support to Agriculture or Irrigation PPAs,Construction of MPDP at Purok 4,San Martin,6/29/2012,250780.31,254226.54
Economic Sector,Support to Agriculture or Irrigation PPAs,Construction of MPDP at Purok Candiisan,Can-Ayan,6/29/2012,256776.6,260248.74
Economic Sector,Support to Agriculture or Irrigation PPAs,Construction of MPDP at Purok 4,Sinanglanan,6/29/2012,250780.31,254226.54
Economic Sector,Support to Agriculture or Irrigation PPAs,Construction of MPDP at Purok 8,Linabo,6/29/2012,249209.39,254226.54
Economic Sector,Support to Agriculture or Irrigation PPAs,Construction of MPDP at Purok Maranang,Miglamin,6/29/2012,252766.78,256248.94
Infrastructure Sector,Public Infrastructure,Drilling of one deep well,Simaya,4/3/2012,460088,460088
Infrastructure Sector,Public Infrastructure,Drilling of one deep well,Mapulo,4/3/2012,495420.8,495420.8
Infrastructure Sector,Public Infrastructure,Construction of one unit classroom school building,Sumpong,4/3/2012,1033243.67,1033243.67
Infrastructure Sector,Public Infrastructure,Construction of covered court (additional fund),Barangay 10,4/3/2012,760690.11,760690.11
Infrastructure Sector,Public Infrastructure,Construction of one unit classroom school building,San Jose,4/3/2012,1042207.68,1042207.68
Infrastructure Sector,Public Infrastructure,Construction of one unit classroom school building,Cabangahan,4/3/2012,1090000,1090000
Infrastructure Sector,Public Infrastructure,Construction of one unit classroom school building,Aglayan,4/3/2012,1012992.95,1012992.95
Infrastructure Sector,Public Infrastructure,Proposed Installation Of Tennis Court lighting Facilities at DAR,-,4/3/2012,91869.76,91869.76
Infrastructure Sector,Public Infrastructure,Office extension for Malaybalay City Market Vendors Association Inc. ,"CEEDMO, Barangay 9",4/3/2012,143024.14,143024.14
Infrastructure Sector,Public Infrastructure,"Concreting of Jct. Sayre Highway, Malaybalay City circumferential road",Sumpong,4/3/2012,653246.37,653246.37
Infrastructure Sector,Public Infrastructure,Additional concrete pavement for Tennis Court,Casisang,4/3/2012,117000,117000
