trader_name,address,telephone_number,officers,e-mail_address
Altertrade Corporation,"Block 6-A Lily St., Bata Subd., Bacolod, City",(034)441-00-51,Norma Mugar,-
Antique Federation Of Coop.,"Funda-landing, San Jose, Antique",(036)540-99-65,Tomdoly Antonio,afccui@gmail.com
Bethesda Trading and Gen. Merchandising,"039 Poblacion West, Belson, Antique",0918-2197702,Elizabeth Tacda,-
"Blue Fields Enterprises, Inc.","Taft St., Maasin, Iloilo",(033)522-81-33,Vicente Perlas,-
Cebu Rkt Marketing,"148 San Isidro, Talisay City, Cebu",(032)344-12-99,Remedios Tan,-
DRC General Merchandise,"Highway 77, Talamban, Cebu City",(032)344-12-99,Lucita Tan,-
Hawaiian Philippine Company,"Brgy. Hawaiian, Silay City, Negros Occ.",(034)495-14-95,Ernesto Toledo,-
Iloilo Goodwill Commercial,"58-1-16 Iznart St., Iloilo City",(033)337-44-11,Ronchell Delos Reyes,-
"Macondray Philippines Co., Inc.","2263 Pasong Tamo Ext., Makati City",(02)812-06-51,Martin Lorenzo,gtg@macondray.com
Natan Muscovado Mill,"Guisijan, Laua-an, Antique",0921-614-8767,Jessie Natan,-
Organic Producers In The Island Of Negros Mpc,"Sitio Palanas, Brgy Poblacion 2, Sagay City",(034)476-55-30,Marilyn Manuel,optionmpc20@yahoo.com.ph
Panay Fair Trade Center Corp.,"Sitio Manue, Tagbac Sur, Oton, Iloilo",(033)336-39-11,Angel Panganiban,panayfairtradecenter@yahoo.com
Prymco Enterprises,"Rm. 110 Li Seng Giap Bldg., 344 Barraca St., Binondo, Manila",(02)241-98-76,Peter Co,prymco@gmail.com
"Raw Brown Sugar Milling Co., Inc.","San jose St., Forex Bldg.,  Dumaguete City",(035)225-42-20,Alejandro Florian Alcantara,ianex_17@yahoo.com
"Sagay Central, Inc.","Brgy. Bato, Sagay City",(034)433-38-75,Romie Cortez,sagaycentral@yahoo.com
"Sharmila, Inc.","47  Marcos Alvarez Ave., Talon, Las Piñas  City",(02)887-02-10\bb7-02-10,Lala Mirchandani,sharmilainc@yahoo.com
Trustvision Corporation,"U-317P 3/F Mile Long Bldg., Amorsolo St., Makati City",(02)745-79-81,Rosalie Bolaños,-
"Upland Marketing Foundation, Inc.","Piscor Compound, Amang Rodriguez  Ave., Manggahan, Pasig City",(02)641-44-30,Ruben Evangelista,umfi2001@yahoo.com
Wellnesscare International Corporation,"26 Cabellon St., cor. Batac NSHA BF Exec., Parañaque City",(02)809-54-30,Zigfredo Morales,-
