region,province,accredited_crops,area_sq.m.,business_address,date _of_accreditation,date_of_expiration,registered_business_name,contact_number
RFU II,Isabela,Cassava and Coffee only,-,"San Manuel, Naguilian, Isabela",05/23/2012 - 03:30,"Thursday, May 22, 2014 - 03:30",De Ocampo's Farm Plant Propagation and Nursery Center,-
RFU II,Isabela,Mango and Rambutan only,10000,"San Manuel, Naguilian, Isabela",08/10/2011 - 19:30,"Friday, August 9, 2013 - 19:30",De Ocampo's Farm,9053296767
RFU III,Tarlac,Mango only,14000,"Sto. Domingo II, Capas, Tarlac",05/24/2011 - 20:45,"Thursday, May 23, 2013 - 20:45",Rechelle's Plant Nursery,-
RFU IVA,Quezon,Rambutan only,6000,"Brgy. Bungoy, Dolores, Quezon",12/06/2012 - 03:45,"Friday, December 5, 2014 - 03:45",Angelita Amat Plant Nursery,-
RFU IVA,Quezon,"Mango, Lanzones, Cacao and Coffee only",7700,"Brgy. Bungoy, Dolores, Quezon",09/14/2011 - 22:15,"Friday, September 13, 2013 - 22:15",Liwayway Amat Agri-Trading,"09082739954, 09155850221"
RFU IVA,Quezon,Coffee and Caocao only,-,"Brgy. Bungoy, Dolores, Quezon",08/31/2011 - 21:30,"Friday, August 30, 2013 - 21:30",Angelita Amat Plant Nursery,-
RFU IVA,Quezon,Rambutan only,7700,"Brgy. Bungoy, Dolores, Quezon",04/28/2011 - 21:00,"Saturday, April 27, 2013 - 21:00",Liwayway Amat Agri Trading,9155850221
RFU IVA,Laguna,Rambutan only,13000,"Brgy. San Juan, San Pablo City",11/21/2012 - 03:30,"Thursday, November 20, 2014 - 03:30",Ato Belens Farm,-
RFU IVA,Batangas,Coffee only,2400,"Brgy. San Bartolome, Sto. Tomas Batangas",02/17/2012 - 03:45,"Sunday, February 16, 2014 - 03:45",Green Beans Marketing Cooperative,-
RFU IVA,Batangas,Mango only,3000,"Brgy. Sta. Maria, Talisay, Batangas",05/11/2012 - 04:15,"Saturday, May 10, 2014 - 04:15",Aradji Plant Nursery,9183514698
RFU IVA,Batangas,Mango and Coffee only,10000,"Brgy. Ambulong, Tanauan City, Batangas",09/14/2011 - 22:15,"Friday, September 13, 2013 - 22:15",Green Heights Garden,-
RFU IVA,Batangas,Mango only,10000,"Talisay, Batangas",06/21/2011 - 21:00,"Thursday, June 20, 2013 - 21:00",R.C. Plant Nursery,-
RFU IVA,Batangas,Mango only,10000,"Brgy. Balas, Talisay, Batangas",08/05/2011 - 21:30,"Sunday, August 4, 2013 - 21:30",Talisay Green Plant Nursery,"043-7730247, 09178850881"
RFU IVA,Batangas,Mango only,10200,"Brgy. Balas, Talisay, Batangas",06/29/2011 - 21:00,"Friday, June 28, 2013 - 21:00",Berdies Agri-Trading,-
RFU IVA,Batangas,Mango only,2500,"Brgy. Balas, Talisay, Batangas",05/11/2012 - 04:15,"Saturday, May 10, 2014 - 04:15",Jaime Gardens,(043) 776-0480
RFU IVA,Batangas,Mango and Coffee only,-,"Sta. Maria, Talisay, Batangas",09/01/2011 - 21:30,"Saturday, August 31, 2013 - 21:30",Virgilda M. Austria Plant Nursery,9208068811
RFU IVA,Batangas,"Coffee, Cacao and Lanzones only",4000,"Brgy. Balas/Sta.Maria, Talisay, Batangas",10/22/2012 - 03:30,"Tuesday, October 21, 2014 - 03:30",M. Yusoph Plant Nursery,-
RFU IVA,Batangas,Mango and Rambutan only,4000,"Brgy. Balas/Sta.Maria, Talisay, Batangas",04/16/2012 - 04:00,"Tuesday, April 15, 2014 - 04:00",M. Yusoph Plant Nursery,-
RFU IVA,Batangas,Mango only,12000,"Brgy. Tumaway, Talisay, Batangas",08/05/2011 - 21:15,"Sunday, August 4, 2013 - 21:15",Victor V. Magsino Plant Nursery and Supplies,"043-7730151, 09216905188"
RFU IVA,Batangas,Mango only,15000,"Brgy. Buco, Talisay, Batangas",08/05/2011 - 21:15,"Sunday, August 4, 2013 - 21:15",Virgilio A. Umali Trading and Landscaping,9178210720
RFU IVA,Batangas,Coffee only,10000,"Brgy. Balas, Talisay, Batangas",09/01/2011 - 22:15,"Saturday, August 31, 2013 - 22:15",Greenday Enterprises,9177858909
RFU IVA,Batangas,Mango only,5000,"Brgy. Leynes, Talisay, Batangas",11/23/2012 - 03:45,"Saturday, November 22, 2014 - 03:45",Carros Green Nursery,-
RFU IVA,Batangas,Cacao only,3200,"San Jose, Sto. Tomas, Batangas",11/08/2011 - 22:30,"Thursday, November 7, 2013 - 22:30",Seed and Scions Agri-Farm,"09286395471, 09283426079"
RFU IVA,Batangas,Coffee and Cacao only,1500,"Brgy. Balas, Talisay, Batangas",05/11/2012 - 04:00,"Saturday, May 10, 2014 - 04:00",Berdie's Agri-Trading,"(043) 773-0195, 0917551610"
RFU IVA,Batangas,Mango and Rambutan only,1600,"Brgy. Balas, Talisay, Batangas",08/05/2011 - 21:15,"Sunday, August 4, 2013 - 21:15",Noel P. Umali Plant Nursery,"09205510427, 09165558931"
RFU IVA,Batangas,Mango only,12000,"Brgy. Tumaway, Talisay, Batangas",08/05/2011 - 21:15,"Sunday, August 4, 2013 - 21:15",Victor V. Magsino Plant Nursery and Supplies,"043-7730151, 09216905188"
RFU IVA,Batangas,Mango only,10000,"Talisay, Batangas",06/21/2011 - 21:00,"Thursday, June 20, 2013 - 21:00",R.C. Plant Nursery,-
RFU IVA,Batangas,Mango only,8000,"Brgy. Talisay and Brgy. Ambolong, Tanuan City, Batangas",01/25/2011 - 20:45,"Thursday, January 24, 2013 - 20:45",Talisay Merchandising,-
RFU IVA,Batangas,Lanzones only,3000,"1st St., San Sebastian Village, Tanauan City Batangas",09/18/2012 - 03:30,"Wednesday, September 17, 2014 - 03:30",D.R. Agricultural Merchandising,9184983477
