programs_or_activity_or_projects_1,programs_or_activity_or_projects_2,appropriations,obligation,balance
Social Services,"Construction or rehabilitation of Health Centers, rural health units or hospitals and purchase of Medical Equipment",2000000,-,2000000
Social Services,Establishment or rehabilitationilitation of Man Power Development Center,500000,-,500000
Social Services,Tourism and Cultural Activities,800000,-,800000
Social Services,Installation and maintenance of streetlighting System,2601701.6,625000,1976701.6
Economic Development,"Construction or rehabilitation of communal irrigation or water impunding system and purchase of post harvest facilities such as farm or hand tractor with trailer, thresher and mechanical drier",2500000,-,2500000
Economic Development,"Construction or rehabilitation of local roads or bridges and purchase o appropriate engineering equipment such as dump trucks, graders and payloaders",5000000,2330010.97,2669989.03
Economic Development,Capital expenditures related to theb implementation of livelihood or entrepreneurship or local economic development projects,1650000,1650000,-
Economic Development,Amortization of loans used to finance development projects,26020394.9,4149558.62,21870836.28
Environmental Management ,Reforestation and Urban Greening,2500000,80800,2419200
Environmental Management ,"Construction or rehabilitation of sanitary lanfills, material recovery facilities and purchase of garbage trucks and related equipment",3100000,1000000,2100000
Environmental Management ,"Implementation of flood and erosion control projects such as rehabilitationilitation and construction of drainage system, desilting of rivers, de-clogging  off canals",6000000,2028800,3971200
Environmental Management ,"Other Environmental management projects that promote air and water quality, as well as productivity o the coastal or fresh water habitat, agricultural land and forest land ",1000000,-,1000000
Environmental Management ,Development of Eco-Adventure Park and Mt. Iriga Rainforestation,3779605.1,-,3779605
Total,Total,57451701.6,11864169.59,45587532.01
