programs_or_activity_or_projects_1,programs_or_activity_or_projects_2,appropriations,obligation,balance
Social Services,"Construction or Rehabilitation of Health Centers, rural health units or hospitals and purchase of Medical Equipment",-,-,-
Social Services,Construction or Rehabilitation of Local Government Owned portable water supply system,1500000,949450,550550
Social Services,Establishment or rehabilitation of Manpower Development Center,904066.6,-,904066.6
Social Services,Installation and maintenance of streetlighting System,8000000,4332263.09,3667736.91
Economic Development,Construction or rehab of Local Roads and Bridges,9523423.05,9436492.72,86930.33
Economic Development,Capital expenditures related to theb implementation of livelihood or entrepreneurship or local economic development projects,1000000,299250,700750
Economic Development,"Amortization of loans used to finance development projects, local economic development projects",24187000,19822346.54,4364653.46
Environmental Management ,"Construction or Rehabilitation of sanitary lanfills, material recovery facilities and purchase of garbage trucks and related equipment",2500000,2495800,4200
Environmental Management ,"Implementation of flood and erosion control projects such as rehabilitation and construction of drainage system, desilting of rivers, de-clogging  off canals",6300000,6266783.12,33216.88
Environmental Management ,"Other Environmental management projects that promote air and water quality, as well as productivity o the coastal or fresh water habitat, agricultural land and forest land ",1200000,538588.86,661411.14
Environmental Management ,Development of Eco-Adventure Park and Mt. Iriga Rainforestation,1042409.75,975250,67159.75
Total,Total,56156899.4,45116224.33,11040675.07
