island,site,institution,contact_person,designation,address,contact_number
Luzon,Angeles ,Social Hygiene Clinic,Ms. Rosalinda Velasco,Social Hygiene Clinic HCT Counselor,"1-20 Cristina Drive, Villa Teresa Subd. Angeles City",(045) 3222979
Luzon,Caloocan,Social Hygiene Clinic,Dr. Zenaida Calupaz  ,Social Hygiene Clinic Physician,Mabini St. Calocan Health Dept.,2888811 loc. 2281/0917-6018-331
Luzon,Mandaluyong City,Social Hygiene Clinic,Dr. Diane Mendoza,Social Hygiene Clinic Physician,"San Lazaro, Sta. Cruz, Manila",7116942/0920-5779074
Luzon,Marikina City ,Social Hygiene Clinic,Dr. Honielyn Fernando ,Social Hygiene Clinic Physician,Marikina City ,0917-8298-862
Luzon,Pasay,Social Hygiene Clinic,Dr. Rocylene Roque,Social Hygiene Clinic Physician,"Caruncho Avene. Brgy. San Nicolas, Pasig City",6400111
Luzon,"Taytay, Rizal",Taytay Doctors Multispecialty Hospital,Mr. Rodelin M. Sumiran,"RN, HIV Counselor, Chief Nurse Officer","3rd Flr. Rm. 301, #6 Rizal Ave., Brgy. San Isidro, Taytay, Rizal",-
Luzon,Puerto Galera,Social Hygiene Clinic,Dr. Ginalyn Caguete,Social Hygiene Clinic Physician,"Rural Health Clinic, Puerto Galera, Oriental Mindoro",0927-2383-989
Luzon,Puerto Princesa,Social Hygiene Clinic,Dr. Eunice Herrera,Social Hygiene Clinic Physician,"City Health Office, Puerto Princesa, Palawan",(043) 4658182/0927-2383-989
Luzon,"Quezon City, Batasan",Batasan Social Hygiene Clinic,Dr. Dottie Mercado,Social Hygiene Clinic Physician,"Batasan Hills, Quezon City",0905-3576-353
Luzon,"Quezon City, Bernardo",Bernardo Social Hygiene Clinic,Dr. Suzette Encisa,Social Hygiene Clinic Physician,"Bernardo Clinic, Quezon City",0916-4781-607
Luzon,"Quezon City, Project 7",Project 7 Social Hygiene Clinic,Dr. Monina Santos,Social Hygiene Clinic Physician,"Project 7 , Quezon City",0918-6184-133
Luzon,Santiago,Social Hygiene Clinic ,Dr. Robelyn Vera Go ,Social Hygiene Clinic Physician,"City Health Office, San Andres, Santiago City",078) 6827687/0919-4626-389
Luzon,Sta. Cruz Manila,Jose Reyes Memorial Medical Center (JRMMC),Dr. Ma. Luisa Abad-Venida,Social Hygiene Clinic Physician,"Quiricada St. Sta. Cruz, Manlia ",-
Luzon,Sta. Cruz Manila,MEDI - Jose Reyes Memorial Medical Center,Dr. Ma. Luisa M. Date,Social Hygiene Clinic Physician,"Bldg. 14, DOH compound Sta. Cruz, Manila",7438301 local 1702 
Luzon,Olongapo City,James L. Gordon Memorial Hospital,Mr. Archimedes Domdoma,HACT Nurse,"New Asina, Olongapo City",(047) 222 4120
Visayas,"B. Rodriguez St., Cebu City 6000","Vicente Sotto, Sr. Memorial Medical Center (VSSMC)","Dr. Gerardo M. Aquino, Dr. Regina Melodia ","Chief of Hospital, HIV AIDS Core Team Leader","B. Rodriguez, Cebu City",(032) 2539882/2539982/ 2537564/2532592/0919-3473-658
Visayas,Cebu City,Social Hygiene Clinic,Dr. Ilya Tac –an,Social Hygiene Clinic Physician,Gen. Maxilano St. Cebu City,(022 3659962/0917-3291-663
Visayas,Iloilo,Social Hygiene Clinic,Dr. Odetta Villaruel,Social Hygiene Clinic Physician,Iloilo City,(033) 3208151/0921-5694-450
Visayas,Lapu-Lapu Ciy ,Social Hygiene Clinic,Dr. Rodolfo C. Berame,Social Hygiene Clinic Physician,-,-
Visayas,Mandaue City,Social Hygiene Clinic,Dr. Edna Seno and Dr. Debra Maria Catulong,Social Hygiene Clinic Physician,-,-
Mindanao,Butuan,Social Hygiene Clinic,Dr. Jesus Chin- Chui,Social Hygiene Clinic Physician,"City Health Office, Butuan City",(085) 3423432/815111 local 1039
Mindanao,Davao City,Social Hygiene Clinic,Dr. Jordana Ramitere,Social Hygiene Clinic Physician,"City Health Office, Magallanes St. Davao City",(222) 4187/0920-9102-718
Mindanao,General Santos,Social Hygiene Clinic,Dr. Mely Lastimoso,Social Hygiene Clinic Physician,General Santos City Hospital,(083) 3051510/0908-8877-512/0919-8483-116
Mindanao,Zamboanga,Social Hygiene Clinic,-,-,"Petit Barracks, Zone 4C, Cty Health Office, Zamboanga City",0927-4836-672
