year,teacher_I_sg11,teacher_II_sg12,teacher_III_sg13,master_teacher_I_sg18,master_teacher_II_sg19
1995,4902,5009,5240,6486,6901
1996,6013,6243,6568,8202,8712
35431,7309,7682,8118,10204,10825
35735,8605,9121,9668,12206,12938
1998,8605,9121,9668,12206,12938
1999,8605,9121,9668,12206,12938
2000,9466,10033,10635,13427,14232
2001,9939,10535,11167,14098,14944
2007,10933,11589,12284,15508,16438
2008,12026,12748,13512,17059,18082
2009,14198,15119,16101,22214,23703
2010,15649,16726,17880,25259,27088
2011,17099,18333,19658,28305,30474
2012,18549,19940,21436,31351,33859
