particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total,moa_or_project_aggrement_reference_number,remarks
Sources of Funds,Current Appropriation,4450209,6708094.14,-,-,-,11168303.14,-,-
Sources of Funds,Continuing Appropriation (Trust Fund),4293938.65,13718250.42,-,-,-,18012189.07,-,-
Sources of Funds,Previous Year's Appropriation transferred to the Special Trust Fund,-,29048031.82,-,-,-,29048031.82,-,-
Sources of Funds,Donations,-,-,-,-,-,-,-,-
Sources of Funds,Cash,-,-,-,-,-,-,-,-
Sources of Funds,In Kind,-,-,-,-,-,-,-,-
Sources of Funds,Transfers or Grants,-,-,-,-,-,-,-,-
Sources of Funds,Others (Please specify),-,-,-,-,-,-,-,-
Total Funds Available,-,6754147.55,49474376.38,-,-,-,58228524.03,-,-
Utilization,Medicines,-,-,-,-,-,-,-,-
Utilization,Food Supplies,4059209,4129009.64,-,-,-,6189548.64,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-,-,-
Utilization,"Institutional or Capacity Development (Ex: Trainings, Environmental Assessment and others related activities)",-,650680.5,-,-,-,650680.5,-,-
Utilization,"Construction, Rehabilitation or Restoration (Drainage, Streetlights, etc)",-,21280746.77,-,-,-,21280746.77,-,-
Utilization,Equipment,-,2068033,-,-,-,2068033,-,-
Utilization,Transfers to other LGU's,-,-,-,-,-,-,-,-
Utilization,Others (Please specify),-,-,-,-,-,-,-,-
Utilization,Gasoline Pre-emptive Evacuation,401000,263600,-,-,-,664600,-,-
Total Utilization,-,4480209,28382808.91,-,-,-,32852817.91,-,-
