particulars_1,particulars_2,particulars_3,particulars_4,amount,total
Cash Flow Form from Operating Activities,Cash Flow Form from Operating Activities,Cash Flow Form from Operating Activities,Cash Flow Form from Operating Activities,-,-
Cash Flow Form from Operating Activities,Cash Inflows,Cash Inflows,Cash Inflows,-,-
Cash Flow Form from Operating Activities,Cash Inflows,Collection of share from RPT,Collection of share from RPT,18304118.43,-
Cash Flow Form from Operating Activities,Cash Inflows,Cash Inflows,Total Cash Inflows,-,18304118.43
Cash Flow Form from Operating Activities,Cash Outlaws ,Cash Outlaws ,Cash Outlaws ,-,-
Cash Flow Form from Operating Activities,Cash Outlaws ,Grant of  Cash Advance,Grant of  Cash Advance,3499652.95,-
Cash Flow Form from Operating Activities,Cash Outlaws ,Payment and Reimbursement of Travelling or Training Expenses,Payment and Reimbursement of Travelling or Training Expenses,24270.2,-
Cash Flow Form from Operating Activities,Cash Outlaws ,Payments for Accounts Payable,Payments for Accounts Payable,203805.03,-
Cash Flow Form from Operating Activities,Cash Outlaws ,Payment for Intra-Agency Payable,Payment for Intra-Agency Payable,3304.85,-
Cash Flow Form from Operating Activities,Cash Outlaws ,Payment for Other Liabilities,Payment for Other Liabilities,47050.8,-
Cash Flow Form from Operating Activities,Cash Outlaws ,Payment for Other Maintenance and Other Operating Expenses,Payment for Other Maintenance and Other Operating Expenses,2159145,-
Cash Flow Form from Operating Activities,Cash Outlaws ,Payment for Professional Services,Payment for Professional Services,836950.78,-
Cash Flow Form from Operating Activities,Cash Outlaws ,Payment for Purchase of Inventories Supplies and Materials Directly Issued to End-User,Payment for Purchase of Inventories Supplies and Materials Directly Issued to End-User,1283658.3,-
Cash Flow Form from Operating Activities,Cash Outlaws ,"Payment for Taxes, Premiums and Other Fees","Payment for Taxes, Premiums and Other Fees",39200,-
Cash Flow Form from Operating Activities,Cash Outlaws ,Payment for Utility Expenses,Payment for Utility Expenses,7804.42,-
Cash Flow Form from Operating Activities,Cash Outlaws ,Refund of Guaranly Deposit or Retention Fee,Refund of Guaranly Deposit or Retention Fee,423301.04,-
Cash Flow Form from Operating Activities,Cash Outlaws ,Remittance of Authorized Deduction Withheld ,Remittance of Authorized Deduction Withheld ,272897.39,-
Cash Flow Form from Operating Activities,Cash Outlaws ,Total Cash Outflows,Total Cash Outflows,-,8801040.76
Cash Provided by Operating Activities,Cash Provided by Operating Activities,Cash Provided by Operating Activities,Cash Provided by Operating Activities,-,9503077.67
Cash Provided by Investing Activities,Cash Provided by Investing Activities,Cash Provided by Investing Activities,Cash Provided by Investing Activities,-,0
Cash Provided by Financing Activities ,Cash Provided by Financing Activities ,Cash Provided by Financing Activities ,Cash Provided by Financing Activities ,-,0
"Total Cash Provided by Operating,Investing, Financing Activities","Total Cash Provided by Operating,Investing, Financing Activities","Total Cash Provided by Operating,Investing, Financing Activities","Total Cash Provided by Operating,Investing, Financing Activities",-,953077.67
Add-Cash Balance Beginning 1/1/2014,Add-Cash Balance Beginning 1/1/2014,Add-Cash Balance Beginning 1/1/2014,Add-Cash Balance Beginning 1/1/2014,-,9418175
Cash-Balance Ending 3/31/2014,Cash-Balance Ending 3/31/2014,Cash-Balance Ending 3/31/2014,Cash-Balance Ending 3/31/2014,-,18921252.67
